Wymysorys	Hessian	probability
ˈɪ	ˈi	1.0
ˈu_t	ˈoː_d̥	1.0
ˈoi̯	ˈoi̯	1.0
ˈi_n	ˈĩː	1.0
ˈei̯_n	ˈẽː	1.0
ʧ	ʒ̊	1.0
ɪ_k	i_ʃ	1.0
ɛ	æ̆	1.0
ɑ	ɛː	1.0
ç	ʃ	1.0
z	s	1.0
u_w	l	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f_ˈi	f	1.0
c	ɡ̊	1.0
b̥	b̥	1.0
a	ə	1.0
v	v	0.931
n	n	0.914
ʃ	ʃ	0.887
w	l	0.851
d̥	d̥	0.846
ʦ	ʦ	0.838
ˈai̯	ˈai̯	0.835
f	f	0.832
ˈɘ̟	ˈi	0.806
ŋ	ŋ	0.778
r	ʀ	0.769
ə	-	0.729
d	d̥	0.681
ɡ	ɡ̊	0.66
ˈi	ˈiː	0.646
ˈø	ˈoː	0.632
ɟ	j	0.621
s	s	0.619
t	d̥	0.618
k	kʰ	0.581
ˈʏ	ˈuː	0.575
j	-	0.551
ˈɛ	ˈe	0.544
b	b̥	0.523
ˈu	ˈu	0.481
b	p	0.477
ˈei̯	ˈi	0.468
ɡ̊	ʃ	0.461
j	j	0.449
ˈɑ	ˈɑ	0.446
k	k	0.419
ˈɔ	ˈa	0.398
t	t	0.382
ˈa	ˈɛ	0.38
ɟ	-	0.379
x	x	0.373
ˈi̯ø	ˈɑː_ɣ̊	0.371
ˈi̯ø	ˈɑː	0.371
ˈø	ˈɑː	0.368
x	ʃ	0.344
ɡ	k	0.34
ˈa	ˈaː	0.321
d	t	0.319
ɡ̊	-	0.309
ˈei̯	ˈɛ̃ː	0.301
ˈa	ˈɛː	0.299
ˈʏ	ˈɔ_ɐ	0.298
ˈu	ˈo	0.293
ˈɑi̯	ˈau̯	0.289
x	ɣ̊	0.283
ˈɑi̯	ˈoi̯	0.281
s	z̥	0.281
ˈɑi̯	ˈaː	0.279
ə	æ̆	0.271
ˈɛ	ˈa	0.266
ˈi̯ø	ˈɑ	0.257
ˈei̯	ˈeː	0.231
r	ɐ	0.231
ɡ̊	x	0.23
ŋ	n_i	0.222
ˈɔ	-	0.218
ˈɔ	ˈɑ	0.213
ˈɛ	-	0.19
ˈi	ˈu	0.18
ˈi	-	0.174
ˈɔ	ˈɑː	0.171
ˈu	ˈoː	0.168
f	v̥	0.168
ˈai̯	ˈɑ̃i̯	0.165
ʦ	-	0.162
d̥	-	0.154
w	-	0.149
ˈɑ	ˈaː	0.136
ˈʏ	ˈu	0.127
ˈɘ̟	-	0.12
ˈɑ	ˈɛ	0.116
ʃ	-	0.113
ˈɑ	-	0.11
s	-	0.101
n	v_ə	0.086
ˈɑi̯	-	0.078
ˈɘ̟	ˈeː	0.073
ˈɑi̯	ˈoĩ̯	0.072
v	-	0.069
ˈɑ	ˈæ_ɐ	0.066
ˈɑ	ˈa	0.065
ˈɑ	ɐ	0.061
ˈu	ˈõː	0.059
