Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʊ_ŋ	ɪ	1.0
ˈʊ	ˈʊː	1.0
ˈœʏ̯	-	1.0
ˈøː_#>	ˈi_#>	1.0
ˈæː	ˈeː	1.0
ˈæɪ̯	ˈɛː	1.0
ˈæ	ˈæː	1.0
ʰpː	p	1.0
ʰkː	ŋ_k	1.0
ʋ_e	v_ə	1.0
ʋ_#>	v̥_#>	1.0
ʉ	-	1.0
ɾ_ˈɛ	ʀ	1.0
ɾ_n	ʀ_ə	1.0
ɲ	ŋ	1.0
ɡː	k	1.0
ɛ	-	1.0
ə_n	ə	1.0
ɑ_#>	#>	1.0
ŋː	ŋ	1.0
çː	k	1.0
ç	k	1.0
tː	t	1.0
tʰ	d	1.0
t_#>	#>	1.0
t	t	1.0
sː	s	1.0
s_k	ʃ	1.0
s_e	z̥	1.0
s_#>	z̥_#>	1.0
pʰ	p	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
l_#>	l_#>	1.0
kʰ_ʋ	β	1.0
kʰ_n	k_n	1.0
kʰ	k	1.0
jː	-	1.0
h	ɦ	1.0
f	v	1.0
d_#>	d̥_#>	1.0
d	d	1.0
b	b	1.0
<#_ʋ	<#_β	1.0
<#_ɡ	<#_ɣ	1.0
<#_ç	<#_d	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
ɑ	ə	0.946
nː	n	0.875
l	l	0.862
n	n	0.826
ɾ	ʀ	0.754
e	-	0.75
<#	<#_β	0.75
k_#>	k_#>	0.727
ˈæʉ̯	ˈu	0.714
<#_ɾ	<#_ʀ	0.714
ʰtː	x	0.667
ˈɪ	ˈɪː	0.636
ˈɔ	-	0.6
ˈœ	-	0.6
ɡ	ɣ̊	0.588
#>	d̥_#>	0.585
ˈɑː	ˈaː	0.583
ˈeː	ˈeː	0.583
ˈøː	ˈøː	0.571
ə	ə	0.571
lː	l	0.571
s	z	0.529
ˈoː	ˈɒː	0.5
ʋ	β	0.5
k	k	0.5
k	-	0.5
ˈʉː	ˈuː	0.474
ˈiː	ˈiː	0.471
s	s	0.471
ˈyː	ˈeː	0.444
ˈuː	ˈʊː	0.438
ˈøː	-	0.429
ə	-	0.429
ˈɑ	ˈaː	0.423
ˈʉː	ˈeː	0.421
ʂ	ʃ	0.417
ʂ	z	0.417
ˈʉ	ˈʊː	0.4
ˈœ	ˈʊː	0.4
ˈʏ	-	0.385
ˈɪ	-	0.364
ˈyː	-	0.333
ʰtː	t	0.333
j	ɣ	0.333
j	l	0.333
ˈʏ	ˈœ	0.308
ʋ	v	0.3
ɡ	ɣ	0.294
ˈæʉ̯	ˈɔː	0.286
lː	-	0.286
<#_ɾ	<#	0.286
k_#>	#>	0.273
ˈʉ	ˈɔ	0.267
ˈɑː	-	0.25
ˈeː	-	0.25
<#	<#_j	0.25
ˈiː	ˈeː	0.235
ˈɑ	ˈɑː	0.231
ˈyː	ˈœi̯	0.222
ˈɛ	ˈɑ	0.214
ˈɛ	-	0.214
e	ə	0.208
ˈɔ	ˈɑ	0.2
ˈɔ	ˈœː	0.2
ʋ	p	0.2
ˈɑ	ˈɑ	0.192
ˈuː	ˈoː	0.188
ˈoː	ˈi	0.188
ˈoː	-	0.188
ˈiː	-	0.176
#>	ə_#>	0.171
ˈɑː	ˈɑ	0.167
ˈeː	ˈi	0.167
ʂ	-	0.167
j	ˈeː	0.167
j	ɦ	0.167
ˈʏ	ˈʏ	0.154
ˈʏ	ˈɪː	0.154
ˈɛ	ˈɪ	0.143
ˈɛ	ˈɛ	0.143
ˈɛ	ˈæː	0.143
ˈɛ	ʀ	0.143
lː	w	0.143
ˈʉ	ˈɪ	0.133
ˈʉ	ˈɔː	0.133
ɾ	ʀ_ə	0.131
ˈuː	ˈɔ	0.125
ˈuː	ˈeː	0.125
ˈuː	-	0.125
ˈoː	ˈʊː_n	0.125
nː	n_d	0.125
ˈiː	ˈɛ	0.118
ɡ	x	0.118
ˈʉː	ˈɔ	0.105
#>	k_#>	0.098
n	ʀ	0.087
n	-	0.087
ˈɑ	ˈæː	0.077
ˈɑ	-	0.077
#>	v̥_#>	0.073
#>	n_#>	0.073
l	ə	0.069
l	j	0.069
ˈʉ	ˈʊ	0.067
ɾ	ə_ʀ	0.066
ɑ	-	0.054
