Gothic	East Low German	probability
a	-	0.645
a	æ	0.158
a	ɪ	0.089
a	ɾ	0.087
a_n	n	0.86
a_n	m	0.114
a_r	æ	1.0
aː	m	0.49
b	b	0.834
b	f	0.08
b	-	0.078
d	d	0.842
d	t	0.153
e	-	0.118
f	f	0.873
f	-	0.076
f	v	0.053
f_s	f	1.0
h	h	0.525
h	-	0.195
h	x	0.118
h	ŋ	0.08
h	ç	0.041
i	-	0.831
i	m	0.107
i	ɾ	0.06
iː	-	1.0
j	-	0.523
j	j	0.156
j	ç	0.118
j	ˈʏ	0.096
k	kʰ	0.47
k	k	0.31
k	-	0.184
k_s	k	0.49
kʷ	f	0.49
l	l	1.0
lː	l	1.0
m	m	0.821
m	z	0.099
m	-	0.075
m_s	m	1.0
n	n	0.718
n	-	0.279
n_a	n	1.0
nː	-	0.574
nː	n	0.281
nː_a	n	0.49
oː	-	0.664
oː	æ	0.258
oː	ˈuː	0.072
p	p	0.644
p	b	0.239
p_s	p	1.0
r	r	0.407
r	æ	0.323
r	-	0.262
r_a	æ	0.24
s	-	0.696
s	z	0.107
s	ʃ	0.101
s	s	0.094
s_k	ʃ	1.0
t	t	0.677
t	tʰ	0.229
t	-	0.058
t	d	0.039
u	-	1.0
w	v	0.669
w	-	0.233
w	w	0.086
x	x	0.281
x	ç	0.281
z	-	0.182
z	ʃ	0.089
ð	ɾ	0.561
ð	-	0.171
ð	t	0.171
ŋ	ŋ	0.836
ŋ	n	0.163
ɔː	-	0.058
ɡ	ɡ	0.426
ɡ	-	0.27
ɡ	j	0.108
ɡ	ç	0.082
ɡ	ŋ	0.066
ɡ_s	k	1.0
ɡʷ	-	0.49
ɡːʷ	-	1.0
ɣ	x	0.323
ɣ	ç	0.323
ʍ	v	0.699
ʍ	-	0.146
ˈa	ˈa	0.49
ˈa	ˈɒː	0.146
ˈa	ˈaʊ̯	0.089
ˈa	ˈaː	0.062
ˈa	ˈɔ	0.044
ˈeː	ˈɒː	0.583
ˈeː	ˈiː	0.229
ˈeː	ˈoː	0.148
ˈi	ˈɪ	0.472
ˈi	ˈɛ	0.126
ˈi	ˈiː	0.099
ˈi	ˈʏ	0.053
ˈi	ˈae̯	0.053
ˈiu̯	ˈae̯	0.407
ˈiu̯	ˈiː	0.199
ˈiu̯	ˈyː	0.131
ˈiu̯	ˈɛː	0.131
ˈiː	ˈiː	0.662
ˈiː	ˈɪ	0.17
ˈiː	ˈae̯	0.105
ˈoː	ˈaʊ̯	0.879
ˈoː	ˈyː	0.106
ˈu	ˈʊ	0.44
ˈu	ˈɔ	0.168
ˈu	ˈœː	0.155
ˈu	ˈuː	0.106
ˈu	ˈɒː	0.061
ˈuː	ˈuː	0.742
ˈuː	ˈʊ	0.253
ˈɔ	ˈaʊ̯	0.273
ˈɔ	ˈuː	0.185
ˈɔ	ˈoː	0.18
ˈɔ	ˈɔ	0.122
ˈɔ	ˈœ	0.122
ˈɔː	ˈaʊ̯	0.412
ˈɔː	ˈuː	0.133
ˈɔː	ˈoː	0.099
ˈɔː	ˈyː	0.093
ˈɔː	ˈɔ	0.075
ˈɛ	ˈiː	0.324
ˈɛ	ˈae̯	0.324
ˈɛ	ˈɛ	0.13
ˈɛ	ˈoː	0.088
ˈɛ	ˈœ	0.046
ˈɛ_r	ˈaː	1.0
ˈɛː	ˈae̯	0.4
ˈɛː	ˈɪ	0.31
ˈɛː	ˈeː	0.129
ˈɛː	ˈɛ	0.129
β	m	0.389
β	b	0.18
β	f	0.151
β	p	0.136
θ	d	0.487
θ	-	0.261
θ	t	0.201
θ	l	0.049
θ_a	æ	0.49
θ_s	t	1.0
