Bellunese	Occitan	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ð	<#_ʤ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈe	1.0
<#_θ	<#_s	1.0
a_#>	ɔ_#>	1.0
b	-	1.0
j_ˈa	l_ˈa	1.0
j_ˈe	ˈɛ	1.0
k	k	1.0
l_#>	l_#>	1.0
r_a	ɾ	1.0
r_m	r_m	1.0
s	s	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
u	y	1.0
v	β	1.0
v_e	w_ɾ	1.0
w	-	1.0
z	z	1.0
z_e	ʦ	1.0
ð	-	1.0
ŋ_k	ŋ_k	1.0
ŋ_t	n_t	1.0
ŋ_t_#>	n_#>	1.0
ŋ_ɡ	ŋ	1.0
ɲ	n	1.0
ʧ	l	1.0
ˈa_n	ˈa_n	1.0
ˈa_ŋ_#>	ˈa_#>	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe_d	ˈe_j	1.0
ˈe_ŋ_#>	ˈe_#>	1.0
ˈi	ˈi	1.0
ˈi_o	j_ˈe	1.0
ˈi_ŋ_#>	ˈi_#>	1.0
ˈo_v	ˈɔ_w	1.0
ˈo_ŋ_#>	ˈu_#>	1.0
ˈo_ɡ	ɥ_ˈɔ	1.0
ˈu_r_#>	ˈy_#>	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɛ_r	ˈɛ_r	1.0
θ_#>	s_#>	1.0
<#	<#_ˈa	0.111
<#	<#_k	0.111
l	-	0.231
r_#>	e_#>	0.061
ŋ	-	0.571
ˈa	ˈa_j	0.1
ˈu	ˈy	0.571
#>	s_#>	0.222
a	a	0.842
d	-	0.222
r	ɾ	0.842
ˈe	ˈɛ	0.222
ˈo	ˈy	0.062
ˈo	ɥ_ˈɛ	0.062
ˈɔ	ˈu	0.2
ˈɛ	j_ˈɛ	0.2
e	-	0.133
j	ʤ	0.333
s_#>	ʦ_#>	0.3
t	ð	0.143
t	ʧ	0.143
t_#>	ʧ_#>	0.333
ɡ	-	0.333
<#_j	<#_ʤ	0.4
ˈɔ	ˈɔ	0.4
ˈɔ	w	0.4
θ	l	0.4
#>	e_#>	0.5
<#	<#_e	0.5
<#_ˈɔ	<#_ɥ	0.5
<#_ˈɔ	<#_ˈɔ	0.5
i	i	0.5
i	-	0.5
m	mː	0.25
m	m	0.75
n	-	0.095
n	n	0.905
o	-	0.125
o	u	0.875
ˈo	ˈɔ	0.125
ˈo	ˈu	0.75
<#_j	<#_ɡ	0.6
θ	s	0.6
e	d	0.067
j	l	0.667
o_#>	r_#>	0.097
o_#>	k_#>	0.097
o_#>	#>	0.677
s_#>	s_#>	0.7
t	t	0.357
t	-	0.357
t_#>	t_#>	0.667
ɡ	ɣ	0.667
#>	w_#>	0.278
<#	<#_a	0.278
a	-	0.158
d	ð	0.778
e	e	0.8
ˈe	ˈe	0.778
ˈɛ	ˈɛ	0.8
l	l	0.769
o_#>	e_#>	0.129
r	r	0.079
r	-	0.079
r_#>	#>	0.939
ŋ	m	0.429
ˈa	ˈa	0.9
ˈu	ˈu	0.429
