Palatine German	Palatine German	probability
β_ˈɛː	w	1.0
ˈɛ̃ː	-	1.0
ˈɑ̃ː	-	1.0
ˈɑ̃ɪ̯	ˈəi̯_n	1.0
ˈɑːɪ̯	ˈɛ_ɡ	1.0
ˈɑ_l	ˈɑː	1.0
ˈõː	ˈɪ	1.0
ˈoː_d̥	ˈe_d	1.0
ˈo	ˈi	1.0
ˈĩː	ˈi_n	1.0
ˈi	ˈiː	1.0
ˈeː_ʃ	ˈe_k	1.0
ˈau̯̯	ˈəi̯	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ʃ_#>	#>	1.0
ɡ̊_ə	k	1.0
ɡ̊_#>	#>	1.0
ɑ	-	1.0
ɐ_n	r_n	1.0
ɐ_d̥	r_d	1.0
ŋ	ŋ	1.0
x_ə	k	1.0
x_l	l	1.0
s_ə	t	1.0
r_ə	d	1.0
pʰ	pʰ	1.0
n_s	s	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f_ə	p	1.0
f_r	f_r	1.0
eː	i	1.0
d̥_ˈɪ	θ_ˈɪ	1.0
d̥_r	d_r	1.0
b̥_#>	f_#>	1.0
<#_r	<#_r	1.0
<#_kʰ	<#	1.0
#>	n_#>	1.0
f	f	0.905
b̥	b	0.9
ˈɪ	ˈɪ	0.87
n	n	0.865
ə	-	0.789
f_#>	p_#>	0.75
ˈau̯	ˈu	0.727
β	w	0.724
ɪ_ʃ	i	0.667
ɪ	-	0.667
r	r	0.667
s	s	0.628
n_ə	n	0.6
j	-	0.6
ɡ̊	ɡ	0.591
ˈu	ˈʌ	0.562
d̥	d	0.554
ˈɛː	ˈe	0.545
ˈeː	ˈiː	0.545
ʣ̥	tʰ	0.533
ˈɔ_l	ˈʌu̯	0.5
ˈɔ_l	ˈuː	0.5
ˈɔ	ˈo	0.5
ˈaɪ̯	ˈəi̯	0.476
ʣ̥	t	0.467
ɐ	ə_r	0.455
ɐ	r	0.455
ˈɛ	ˈɛ	0.417
n_ə	n_d	0.4
j	j	0.4
ʃ	ʃ	0.393
ˈiː	ˈiː	0.389
ˈiː	ˈi	0.389
ˈuː	ˈø	0.364
ˈoː	ˈi	0.357
ˈoː	-	0.357
ˈɔ	-	0.333
ˈɑː	ˈeː	0.333
ɪ_ʃ	e	0.333
ɪ	ˈɔɪ̯	0.333
x	ç	0.333
x	x	0.333
x	k	0.333
r	ð	0.333
s	t	0.326
ˈaɪ̯	-	0.286
ʃ	s	0.286
ˈɑ	ˈa	0.276
ˈeː	-	0.273
ˈau̯	ˈuː	0.273
ɡ̊	k	0.273
f_#>	#>	0.25
ˈɑ	ˈɑː	0.241
d̥	θ	0.232
ˈɑː	ˈi	0.222
ˈiː	-	0.222
ə	ə	0.211
ˈɛ	ˈɪ	0.208
ˈɛ	ˈa	0.208
ˈɑ	-	0.207
ˈu	ˈɪ	0.188
ˈu	-	0.188
ˈɛː	ˈɛ	0.182
ˈɛː	ˈeː	0.182
ˈuː	ˈɪ	0.182
ˈuː	ˈuː	0.182
ˈuː	ˈi	0.182
ˈeː	ˈi	0.182
ʃ	ç	0.179
d̥	t	0.179
β	-	0.172
ˈɛ	-	0.167
ˈɔ	ˈi	0.167
ˈɑː	ˈe	0.167
ˈɑː	-	0.167
ˈoː	ˈiː	0.143
ˈoː	ˈeː	0.143
ˈaɪ̯	ˈiː	0.143
ʃ	k	0.143
ˈɑ	ˈɪ	0.138
ˈɑ	ˈe	0.138
ˈɑː	ˈɛ	0.111
n	-	0.108
β	ʍ	0.103
b̥	-	0.1
ˈaɪ̯	ˈaɪ̯	0.095
f	f_ˈo	0.095
ˈɛː	ˈɛː	0.091
ˈuː	ˈøː	0.091
ɡ̊	j	0.091
ˈɪ	-	0.087
ˈu	ˈoː	0.062
