Catalan	Franco-Provençal	probability
d	d	1.0
f	f	1.0
ð	-	1.0
ʃ	s	1.0
ʤ	ð	1.0
i	i	0.121
m	m_j	0.091
r	-	0.101
t	t	0.941
ŋ	ˈɔ̃	0.451
ə	a	0.451
ɣ	v	0.431
ʎ	l	0.771
ˈe	ˈɛː	0.071
ˈi	z_ˈĩ	0.11
ˈo	ˈɔ̃	0.431
ˈu	ˈoː	0.051
ˈu	w	0.461
ˈɔ	ˈɔ	0.061
j	-	0.362
l	l	0.762
w	-	0.122
w	f	0.202
ɣ	ɡ	0.12
ɲ	ɲ	0.422
ɾ	ð	0.262
ʒ	ð	0.802
ˈe	-	0.062
ˈe	ˈɛ̃	0.082
ˈe	j_ˈe	0.102
ˈe	ˈi	0.12
ˈɔ	ˈø	0.262
ˈɛ	ˈɛ̃	0.072
β	-	0.062
b	b	0.313
k	ʃ	0.493
l	-	0.213
m	-	0.163
s	ʃ	0.103
z	-	0.433
ɡ	-	0.163
ɲ	ʁ_#>	0.063
ɾ	ʁ	0.683
ˈa	ˈa	0.553
ˈe	ˈe	0.423
ˈo	ˈu	0.063
ˈo	ˈo	0.253
ˈu	-	0.063
ˈɛ	-	0.083
u	-	0.094
u	ɔ	0.244
ə	ə	0.284
ˈa	ˈaː	0.084
ˈa	ˈɑ̃	0.114
ˈe	ˈa	0.054
ˈi	ˈe	0.164
β	b	0.054
β	v	0.884
b	v	0.665
n	n	0.975
u	o	0.535
ɾ	-	0.055
ˈo	ˈø	0.075
ˈɔ	w	0.085
ˈɛ	ˈɛ	0.335
ˈɛ	ˈɛː	0.35
m	m	0.746
u	u	0.056
w	w	0.676
ˈa	-	0.106
ˈe	ˈɛ	0.086
ˈi	ˈĩ	0.156
ˈo	ˈɔ	0.116
ˈu	w_ˈe	0.056
ˈu	ˈu	0.336
ˈɔ	ˈu	0.056
ˈɔ	ˈɔ̃	0.06
ˈɛ	ˈe	0.16
z	z	0.567
ɡ	ɡ	0.837
j	ˈe	0.638
s	s	0.838
ə	-	0.078
ə	o	0.088
ɲ	-	0.358
ʒ	ʒ	0.198
ˈi	ˈɛ	0.058
ˈɔ	ˈoː	0.428
i	j	0.879
k	-	0.069
k	k	0.439
p	p	0.989
r	ʁ	0.899
ŋ	-	0.549
ɣ	-	0.449
ɲ	ˈɛ̃	0.089
ʎ	ʎ	0.229
ˈi	ˈi	0.479
