Romanian	Romanian	probability
ˈo_w	ˈa_w	1.0
ˈo	ˈo	1.0
ˈau̯	ˈa_v	1.0
ʧʲ	ʦ	1.0
ʦ	ʦ	1.0
ʒ	ʤ	1.0
ʃ	ʃ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
t_r	t_r	1.0
t_#>	t_u_#>	1.0
t	t	1.0
s_ə	s_i	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ˈa	r_ˈa	1.0
r_ə	r_ə	1.0
r_#>	r_#>	1.0
p_j	k	1.0
o̯ˈa	o̯ˈa	1.0
o_r	u_r	1.0
nʲ	n_i	1.0
n_#>	n_#>	1.0
m_j	ɲ	1.0
m_e	m	1.0
m_#>	m_#>	1.0
l_#>	l_#>	1.0
l	l	1.0
kʲ	k_ʎ	1.0
k_ˈo	k_ˈo	1.0
k_u	k_u	1.0
j_e	j	1.0
e_r	i_r	1.0
e_n	i_n	1.0
d	d	1.0
b_ˈi	ɡ_ˈi	1.0
b	b	1.0
a	a	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#	<#_a	1.0
r	r	0.969
n	n	0.966
p	p	0.947
ə	ə	0.943
ˈu	ˈu	0.941
k	k	0.936
m	m	0.903
e	i	0.865
ˈɨ	ˈɨ	0.857
ʧ	ʦ	0.857
ˈi	ˈi	0.853
#>	u_#>	0.833
ˈa	ˈa	0.826
i	i	0.8
z	ʣ	0.778
u	u	0.765
e̯ˈa	e̯ˈa	0.714
ʤ	ʣ	0.7
f	f	0.688
w	w	0.625
ɨ	ɨ	0.6
v	v	0.583
j	j	0.529
ˈe	ˈe	0.444
v	j	0.417
ɨ	-	0.4
w	-	0.375
f	ç	0.312
ʤ	ʤ	0.3
e̯ˈa	e̯ˈa_w	0.286
ˈe	e̯ˈa	0.278
u	-	0.235
j	ʎ	0.235
j	-	0.235
z	z	0.222
i	-	0.2
#>	i_#>	0.167
ˈɨ	ˈi	0.143
ʧ	ʧ	0.143
ˈe	ˈa	0.111
ˈa	e̯ˈa	0.109
m	ɲ	0.097
ˈi	ˈi_ʎ	0.088
ˈe	ˈi	0.083
ˈe	-	0.083
e	e	0.067
ˈa	a	0.065
k	k_ʎ	0.064
ˈu	-	0.059
ˈi	ˈə	0.059
ə	i	0.057
p	-	0.053
