Ripuarian	Old Frisian	probability
ˈʏ	-	1.0
ˈʊ	-	1.0
ˈɔ	ˈo	1.0
ˈøː	ˈeː	1.0
ˈøʏ̯	ˈiː_ə	1.0
ˈy	ˈo	1.0
ˈu	ˈo	1.0
ˈi	ˈi_ʣ	1.0
ˈeɪ̯	ˈaː	1.0
ɪ	i	1.0
ɣ̊	-	1.0
ɡ̊	d	1.0
ɐ	ə_r	1.0
z̥	z	1.0
t	t	1.0
h	h	1.0
e	iː	1.0
b	b	1.0
ʀ	r	0.959
ɫ	l	0.958
m	m	0.956
ʋ	w	0.927
z	s	0.884
l	l	0.873
s	t	0.842
f	f	0.82
p	p	0.815
ə	ə	0.805
d̥	d	0.766
n	n	0.749
ˈɛ	ˈe	0.748
v	v	0.736
ˈe	ˈi	0.717
ˈo	ˈu	0.707
j	ɡ	0.699
k	k	0.678
ˈɪ	ˈi	0.674
d	θ	0.641
ˈɔʊ̯	ˈaː	0.6
ˈuː	ˈuː	0.586
ˈɔː	ˈeː	0.563
ˈeː	ˈi̯aː	0.557
ʃ	s_k	0.54
x	x_t	0.529
ˈœ	ˈe	0.506
ˈœ	-	0.494
ˈiː	ˈiː	0.492
x	-	0.471
ʃ	s	0.46
ˈoː	ˈoː	0.446
ˈaː	ˈa	0.428
ʦ	t	0.424
ˈuː	ˈaː	0.414
ŋ	n	0.414
ˈɔʊ̯	ˈuː	0.4
ˈa	ˈa	0.388
ˈyː	ˈɛː	0.382
ˈyː	ˈi̯uː	0.382
ˈɛː	ˈe	0.376
ɕ	x_t	0.369
ˈaː	-	0.358
ˈiː	-	0.355
ʦ	r_t	0.329
ˈɪ	ˈiː	0.326
k	ʦ	0.322
ˈɛː	ˈe_j	0.307
j	ɣ	0.301
ˈɔː	ˈaː	0.284
ˈoː	ˈɔː_r	0.279
d	d	0.268
v	-	0.264
ɕ	ɣ̥	0.263
ˈɛ	-	0.252
ˈeː	ˈɛː	0.25
ʦ	tː	0.248
ˈa	ˈɔː	0.246
ŋ	ŋ_ɡ	0.239
ˈyː	ˈuː	0.236
d̥	θ	0.234
ˈaː	ˈe	0.214
ŋ	ŋ	0.21
p	pː	0.185
ɕ	ɣ_ə	0.184
ɕ	k_ə	0.184
f	p	0.18
ˈo	ˈo	0.164
ˈe	ˈe	0.164
ˈɛː	ˈi	0.159
ˈɛː	ˈeː_r	0.159
s	s	0.158
ˈoː	ˈaː	0.156
ˈɔː	ˈɔː	0.153
ˈiː	ˈɛː	0.153
ˈa	ˈoː	0.141
ŋ	n_d	0.137
ˈo	ˈɔː	0.129
ˈa	ˈe	0.128
n	n_ə	0.121
ˈoː	-	0.119
ˈe	-	0.119
z	s_w	0.116
ə	j_ə	0.105
n	nː	0.103
ˈeː	ˈe	0.102
ˈa	ˈi	0.097
ʋ	h_w	0.073
l	l_ˈi	0.073
d	ð	0.06
ə	-	0.055
l	h_l	0.055
