Middle Chinese	Middle Chinese	probability
˦_#>	#>	1.0
ʨʰ	ʦʰ	1.0
ʦʰ	ʦʰ	1.0
ʥ	ʨ	1.0
ʤ	t_a	1.0
ʣ_i	ʦ	1.0
ʔˠ	-	1.0
ʑ	ʦ_w	1.0
ʌ_i	a_j	1.0
ʉ_ɐ_n	ŋ̍	1.0
ʈˠ	t	1.0
ʈ	t	1.0
ʃˠ	s	1.0
ʃ	ɕ	1.0
ɳ	l	1.0
ɪ	j	1.0
ɨ_ʌ	u	1.0
ɨ_u	u	1.0
ɦˠ	-	1.0
ɦ	h	1.0
ɡˠ	k	1.0
ɡ	k	1.0
ɛ	-	1.0
ə_u	a_w	1.0
ɖˠ	t	1.0
ɖ	-	1.0
ɕˠ	ʦ	1.0
ɕ	ɕ	1.0
ɑ_ŋ	ŋ̍	1.0
ɐ_ŋ	ŋ	1.0
ȵ	l	1.0
ŋˠ	ɡ	1.0
ŋ_˦	²⁴	1.0
u_ɑ	ɤ	1.0
u_ŋ	ŋ	1.0
u_o	ɔ	1.0
u_k̚	k̚_⁴	1.0
tʰ	tʰ	1.0
t	t	1.0
sˠ	ɕ	1.0
p̚	t̚	1.0
pˠ	p	1.0
pʰˠ	pʰ	1.0
pʰ	pʰ	1.0
p_ɨ	h	1.0
p	p	1.0
mˠ	b	1.0
l	l	1.0
kˠ	k	1.0
kʰˠ	kʰ	1.0
kʰ	kʰ	1.0
k	k	1.0
i_ɪ	i	1.0
i_u	u	1.0
i_e	i	1.0
hˠ	h	1.0
h	h	1.0
e_u	o	1.0
e_n	ĩ	1.0
b	p	1.0
a_i	j̃	1.0
a	e	1.0
<#_ʔ	<#	1.0
<#_ɦ	<#	1.0
<#_ɕ	<#	1.0
<#_ŋ	<#_ɡ	1.0
#>	³²_#>	1.0
˧˥	⁵³	0.861
ŋ	ŋ	0.846
o	-	0.667
ʉ	-	0.6
ə	-	0.6
s	s	0.6
e	j	0.6
d	t	0.6
<#	<#_h	0.6
m	m	0.571
t̚	t̚	0.556
˦	²⁴	0.507
˥˩	³³	0.5
ʦ	ʦ	0.5
ʦ	-	0.5
æ	e	0.5
æ	-	0.5
k̚	ʔ	0.5
k̚	k̚	0.5
n	n	0.48
˥˩	¹¹	0.455
˦	⁴⁴	0.448
t̚	ʔ	0.444
w	-	0.429
ɑ	a	0.421
ʉ	ɔ	0.4
ə	j_ɪ	0.4
s	ɕ	0.4
e	a	0.4
d	tʰ	0.4
<#	<#_kʰ	0.4
u	w	0.379
i	j	0.375
o	ɔ	0.333
ɨ	i	0.308
ʌ	a	0.3
ʌ	-	0.3
w	ɔ	0.286
w	w	0.286
m	b	0.286
u	-	0.276
ɑ	-	0.263
i	e	0.25
ʌ	u	0.2
ʌ	o	0.2
n	ŋ̍	0.2
n	ã	0.2
ɨ	a	0.192
i	-	0.167
ɑ	w	0.158
ɑ	o	0.158
ɨ	j_ɪ	0.154
ɨ	j	0.154
ŋ	ã	0.154
m	-	0.143
˧˥	³³	0.139
u	ɔ	0.138
i	a	0.125
n	l	0.12
ɨ	u	0.115
u	a	0.103
i	i	0.083
ɨ	-	0.077
u	u	0.069
