Icelandic	North Frisian	probability
a	ə	0.681
a	-	0.315
b̥	b	0.964
b̥	-	0.045
c	ʃ	0.616
c	k	0.375
cʰ	ʃ	0.74
cʰ	k	0.137
d̥	d	0.63
d̥	-	0.322
d̥	t	0.049
f	f	0.984
f	-	0.036
h	h	1.0
i	i	0.244
j	-	0.59
j	ˈiː	0.332
j	j	0.071
j_ˈuː	ˈiː	1.0
k	k	1.0
k_ʏ	ʃ	1.0
kʰ	k	0.6
kʰ	-	0.388
l	l	0.817
l	ə_l	0.094
l	l_ə	0.082
l_d̥	lʲ	1.0
l_ʏ	l	1.0
l̥	l	0.834
l̥	lʲ	0.155
l̥_ʏ	l	1.0
m	m	1.0
m_ʏ	m	1.0
n	n	0.828
n	nʲ	0.121
n	-	0.041
n	lʲ	0.032
nː	n	0.603
nː	d	0.137
nː	s	0.124
n̥	n	0.706
n̥	-	0.152
n̥	nʲ	0.132
p	p	0.478
p	-	0.239
p	v	0.239
p	m	0.043
p_ʏ	p	1.0
r	r	0.918
r	-	0.048
r	z	0.033
rː̥	j	0.244
r̥	-	0.709
r̥	r	0.253
r̥	t	0.036
s	s	0.761
s	-	0.169
s	z	0.049
s	ʃ	0.029
s_k	ʃ	1.0
sː	s	0.494
t	-	0.467
t	t	0.434
t	z	0.073
t	d	0.034
t_ʏ	tʲ	1.0
tʰ	t	0.813
tʰ	t_v	0.186
u	-	0.5
u	i	0.5
v	v	0.73
v	-	0.174
v	f	0.043
v	p	0.041
v	s	0.034
x	-	0.326
x	k	0.326
ç	h	1.0
ð	d	0.625
ð	dʲ	0.172
ð	-	0.105
ð	t	0.059
ð	s	0.04
ð_ʏ	dʲ	1.0
ŋ	ŋ	1.0
ɑu̯	i	1.0
ɛ	-	1.0
ɛː	i	0.494
ɟ̊	-	0.4
ɟ̊	j	0.313
ɟ̊	ɡ	0.273
ɡ̊	-	0.615
ɡ̊	ɡ	0.241
ɡ̊	j	0.137
ɡ̊_ʏ	ə	1.0
ɣ	-	0.61
ɣ	k	0.144
ɣ	w	0.094
ɣ	j	0.064
ɪ	ə	0.743
ɪ	-	0.238
ɲ	ŋ	0.244
ʏ	-	0.78
ʏ	ə	0.096
ʏ	n	0.058
ʏ	i	0.033
ʏ	ə_n	0.032
ʰk	k	0.517
ʰk	ŋ_k	0.45
ʰp	b	0.574
ʰp	p	0.284
ʰt	x	0.699
ʰt	t	0.297
ʰt_ʏ	x	1.0
ˈa	ˈœ	0.212
ˈa	ˈa	0.191
ˈa	ˈeː	0.153
ˈa	ˈɒ	0.123
ˈa	ˈʊ	0.107
ˈai̯	ˈɛi̯	0.277
ˈai̯	ˈa	0.241
ˈai̯	ˈyː	0.137
ˈaː	ˈeː	0.28
ˈaː	ˈɒ	0.213
ˈaː	ˈɒː	0.14
ˈaː	ˈɔː	0.14
ˈaː	ˈɛi̯	0.099
ˈaːi̯	ˈuː	0.322
ˈaːi̯	ˈɛ	0.277
ˈaːi̯	ˈɒː	0.198
ˈaːu̯	ˈyː	1.0
ˈeːi̯	ˈiː	0.494
ˈi	ˈɔu̯	0.232
ˈi	ˈai̯	0.232
ˈi	ˈɛ	0.232
ˈi	ˈʏ	0.143
ˈi	ˈʊ	0.093
ˈiː	ˈi	0.551
ˈiː	ˈiː	0.248
ˈiː	ˈyː	0.091
ˈiː	-	0.059
ˈiː	ˈai̯	0.046
ˈou̯	ˈi	0.66
ˈou̯	ˈɔ	0.161
ˈoːu̯	-	0.425
ˈoːu̯	ˈœ	0.324
ˈoːu̯	ˈɔu̯	0.149
ˈoːu̯	ə	0.079
ˈu	ˈʊ	0.889
ˈu	ˈʏ	0.086
ˈuː	ˈyː	0.862
ˈuː	ˈuː	0.118
ˈœ	ˈɔː	0.28
ˈœ	ˈɛː	0.28
ˈœ	ˈa	0.173
ˈœ	ˈɛi̯	0.112
ˈœ	ˈœ	0.045
ˈœy̯	ˈyː	0.494
ˈœː	ˈɛː	0.392
ˈœː	ˈɔː	0.255
ˈœː	ˈɔu̯	0.137
ˈœːy̯	ˈuː	0.635
ˈœːy̯	ˈyː	0.356
ˈɑu̯	ˈɒ	0.441
ˈɑu̯	ˈuː	0.19
ˈɑu̯	ˈʊ	0.102
ˈɑu̯	ˈɔː	0.102
ˈɑːu̯	ˈiː	0.236
ˈɑːu̯	ˈuː	0.156
ˈɑːu̯	ˈeː	0.135
ˈɑːu̯	ə	0.135
ˈɑːu̯	ˈɛi̯	0.099
ˈɔ	ˈɔ	0.474
ˈɔ	ˈɒː	0.132
ˈɔ	ˈɔu̯	0.132
ˈɔ	ˈuː	0.099
ˈɔ	ˈyː	0.09
ˈɔu̯	ˈɔː	0.461
ˈɔu̯	ˈɒ	0.304
ˈɔu̯	ˈœ	0.173
ˈɔː	ˈɛi̯	0.326
ˈɔː	ˈaː	0.326
ˈɛ	ˈa	0.168
ˈɛ	ˈɒː	0.124
ˈɛ	ˈi	0.088
ˈɛ	ˈʊ	0.082
ˈɛ	-	0.082
ˈɛi̯	ˈɒ	0.5
ˈɛi̯	ˈiː	0.5
ˈɛː	ˈeː	0.282
ˈɛː	ˈɛː	0.163
ˈɛː	ˈɛi̯	0.158
ˈɛː	ˈi	0.115
ˈɛː	ˈɒː	0.112
ˈɛːi̯	ˈiː	0.678
ˈɛːi̯	ˈuː	0.165
ˈɛːi̯	ˈeː	0.121
ˈɪ	ˈʊ	0.214
ˈɪ	ˈʏ	0.186
ˈɪ	ˈi	0.186
ˈɪ	ˈɔ	0.107
ˈɪ	ˈa	0.107
ˈɪː	ˈa	0.367
ˈɪː	ˈaː	0.242
ˈɪː	ˈi	0.158
ˈɪː	ˈeː	0.149
ˈʏ	ˈøː	0.318
ˈʏ	ˈyː	0.222
ˈʏ	ˈeː	0.123
ˈʏ	ˈœ	0.115
ˈʏ	ˈɔː	0.081
ˈʏ_t	ˈʊ	1.0
ˈʏː	ˈɔː	0.326
ˈʏː	ˈœ	0.326
ˈʏː	ˈøː	0.114
ˈʏː	ˈiː	0.081
θ	t	0.523
θ	d	0.248
θ	tʲ	0.211
