Štokavian	Štokavian	probability
̌	-	1.0
̂_z	z	1.0
̂_r	r_i	1.0
̂_d	d_i	1.0
̂	-	1.0
ʨ	t	1.0
ʧ	i_t	1.0
ʦ	-	1.0
ʒ	ɡ	1.0
ʎ_a	eː	1.0
ʎ	l	1.0
ʃ	k_a	1.0
x	s	1.0
u_̂	a	1.0
t_i	t	1.0
s	s	1.0
r̩ː	r_au̯	1.0
r̩	r	1.0
r	r	1.0
p	p	1.0
oː_̂	a	1.0
m	m	1.0
l	l	1.0
j_e	ai̯	1.0
iː	-	1.0
i_̂	u	1.0
eː_̌	aːi̯	1.0
e_̌	e	1.0
e_̂	e	1.0
b	b	1.0
a_#>	#>	1.0
<#_s	<#_s	1.0
<#_j	<#	1.0
#>	s_#>	0.917
ʋ	v	0.8
z	z	0.778
e	-	0.75
d	d	0.75
aː	-	0.75
u	-	0.667
k	k	0.667
t	t	0.636
eː	-	0.571
ɡ	ɡ_i	0.5
ɡ	ɡ	0.5
n	n	0.455
eː	e	0.429
o	-	0.417
uː	au̯	0.375
uː	-	0.375
n	n_a	0.364
a	o	0.35
a	-	0.35
u	aːu̯	0.333
o	a	0.333
k	i	0.333
a	e	0.3
i	u	0.286
i	o_n	0.286
i	-	0.286
uː	u	0.25
o	o	0.25
j	j	0.25
j	iː	0.25
j	a	0.25
j	-	0.25
e	e	0.25
d	-	0.25
aː	aː	0.25
z	-	0.222
ʋ	v_i	0.2
t	s	0.182
t	n_t	0.182
n	-	0.182
i	oːu̯	0.143
#>	o_#>	0.083
