Sassarese	Sassarese	probability
β_u	ˈɛ_f	1.0
ˈɛ_rː	ˈɛ_r	1.0
ˈɔ_ɬ	ˈɔ_r	1.0
ˈi_#>	r_ə_#>	1.0
ˈe_#>	j_r_#>	1.0
ˈa_ɡ	ˈa_j	1.0
ˈa_#>	ˈe_r_#>	1.0
ʧː	ʎ	1.0
ʧ	k_l	1.0
ʦ_i	j_s	1.0
ʤː	-	1.0
ʣ	-	1.0
ʒ	-	1.0
ʎː	ʎ	1.0
ʃː	s	1.0
ɮ	-	1.0
ɬ_t	t	1.0
ɬ	s	1.0
ɡː	-	1.0
ɔ	ˈũ	1.0
ŋ	ŋ	1.0
z	-	1.0
xː	k	1.0
x	s_k	1.0
v	v	1.0
u_r	u_l	1.0
u_#>	#>	1.0
t	t	1.0
sː	s	1.0
rː	r	1.0
r_u	r_ə	1.0
pː	s_p	1.0
p	p	1.0
nː	n	1.0
n_a	n_ə	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
kː	ʧ	1.0
j_u	ʤ_ə	1.0
i_ɡː	ə	1.0
i_d	ˈɔ	1.0
i_#>	#>	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
dː_u_#>	#>	1.0
dː_a	ə	1.0
d_u	t	1.0
d	-	1.0
a_r	r	1.0
a_n	ã_n	1.0
a_#>	#>	1.0
<#_ʦ	<#_ʦ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_e	1.0
<#_d	<#_d	1.0
<#	<#_e	1.0
n	n	0.944
b	b	0.833
ʤ	ʤ	0.778
a	ə	0.695
r	r	0.681
ʦ	ʦ	0.667
ɲː	ɲ	0.667
bː	-	0.667
tː	t	0.636
<#_ˈo	<#_w	0.6
j	l	0.556
dː	l	0.533
k	k	0.531
ˈu	ˈy	0.529
ʦː	s	0.5
ʦː	j_s	0.5
ɡ	ɡ	0.5
w	w	0.5
w	-	0.5
#>	n_#>	0.444
β	-	0.4
ˈɛ	ˈẽ	0.4
<#_ˈo	<#_ˈɔ	0.4
k	ʧ	0.375
ˈa	ˈa	0.373
tː	j_t	0.364
ˈe	ˈɛ	0.346
ʦ	-	0.333
ɲː	-	0.333
bː	v	0.333
#>	r_ə_#>	0.333
β	v	0.3
β	f	0.3
ˈo	ˈũ	0.294
ˈo	ˈu	0.294
ˈɔ	ˈũ	0.257
ˈi	ˈĩ	0.25
ˈi	ˈi	0.25
ɡ	k	0.25
ɡ	-	0.25
ˈo	ˈy	0.235
ˈa	ˈã	0.235
r	l	0.234
ˈɛ	ˈɛ	0.233
ˈe	ˈi	0.231
ˈɔ	ˈɔ	0.229
ˈɔ	w	0.229
ʤ	-	0.222
j	s	0.222
j	r	0.222
i	ə	0.222
#>	ə_#>	0.222
ˈɔ	ˈu	0.2
dː	j_t	0.2
i	ˈi	0.185
ˈu	ˈỹ	0.176
ˈu	ˈu	0.176
ˈo	ˈɔ	0.176
ˈa	ˈɛ	0.176
u	ə	0.176
u	u	0.176
a	a	0.169
ˈɛ	ˈɔ	0.167
b	v	0.167
ˈi	ˈi_r	0.156
i	j	0.148
i	-	0.148
dː	j	0.133
dː	-	0.133
ˈi	ˈɔ_j	0.125
ˈi	-	0.125
ˈu	ˈũ_j	0.118
u	s	0.118
u	l	0.118
ˈe	ˈɔ_j	0.115
ˈe	j_ˈɛ	0.115
ˈe	j	0.115
i	n	0.111
i	e	0.111
ˈɛ	j	0.1
ˈɛ	-	0.1
ˈa	ˈe	0.098
k	ʧ_j	0.094
u	j	0.088
u	-	0.088
ˈa	ˈã_j	0.078
ˈe	-	0.077
i	s	0.074
a	-	0.068
ˈi	j	0.062
u	ˈũ	0.059
u	w	0.059
u	ũ	0.059
u	r	0.059
ˈɔ	ˈy	0.057
n	-	0.056
