Štokavian	Štokavian	probability
̌	̌	1.0
̂_t	̂_t	1.0
̂_r	̂_r	1.0
̂_p	̂_p	1.0
̂_l	̂_l	1.0
̂_k	̂_k	1.0
̂_#>	̂_#>	1.0
̂	̂	1.0
ʨ	ʨ	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ʋ_a	ʋ_a	1.0
ʋ	ʋ	1.0
ʃ	-	1.0
ɲ	ɲ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
z	z	1.0
x	x	1.0
uː	uː	1.0
u	u	1.0
t_a	t_a	1.0
t	t	1.0
s	s	1.0
r̩ː	r̩ː	1.0
r̩	r̩	1.0
r	r	1.0
p	p	1.0
oː	oː	1.0
o	o	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j	j	1.0
iː	iː	1.0
i	i	1.0
eː	eː	1.0
e_̂	e_̂	1.0
e_t	e_t	1.0
e	e	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
aː	aː	1.0
a_̌	a_̌	1.0
a_̂	a_̂	1.0
a_t	a_t	1.0
a_o	a_o	1.0
a_n	a_n	1.0
a	a	1.0
