Insular North Frisian	Insular North Frisian	probability
ˈɛː	-	1.0
ˈɛ_ɾ	ˈɛː	1.0
ˈɛ_n	ˈʏ_n	1.0
ˈøː	-	1.0
ˈaʊ̯	ˈoː	1.0
ˈaɪ̯	-	1.0
ˈa	ˈa	1.0
ʃ	-	1.0
ɪ	ɪ	1.0
ə_#>	n_#>	1.0
ə	-	1.0
ç_ə	ɣ	1.0
z	z	1.0
tʲ	d	1.0
tʰ	d	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
r_ə	ɐ	1.0
p	p	1.0
n	n	1.0
m	m	1.0
lʲ	l_ə	1.0
l_ˈeː	l	1.0
l	l	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
f_#>	v_ə_#>	1.0
e	-	1.0
d_ɐ	t_ɐ	1.0
d	d	1.0
b_ˈeː	b	1.0
b	b	1.0
aɪ̯	ɒː	1.0
<#_ˈɔː	<#_ˈa	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
#>	n_#>	1.0
ɐ	ɐ	0.938
r	r	0.926
f	f	0.909
v	v	0.875
ŋ	ŋ	0.846
t	t	0.838
ˈɔː	ˈɒː	0.778
ˈɔ	-	0.667
ɡ	ɣ	0.667
x	x	0.667
ˈɔa̯	ˈeo̯	0.6
x_t	t	0.6
<#	<#_v	0.6
k	k	0.562
ˈuː	-	0.556
ˈoː	ˈeo̯	0.556
ɾ	d̥	0.556
s	s	0.514
ˈœ_n	ˈa_n	0.5
ˈœ_n	n	0.5
ç	ç	0.5
nʲ	n_n	0.5
nʲ	n	0.5
ˈœ	-	0.444
ˈoː	-	0.444
ˈiː	ˈɛɪ̯	0.444
ˈɪ	ˈɪ	0.417
ˈɪ	ˈiː	0.417
ˈeː	-	0.417
s	z	0.405
x_t	d̥	0.4
<#	<#_ˈa	0.4
ˈʏ	-	0.381
ˈyː	ˈuː	0.375
ˈyː	-	0.375
ˈʏ	ˈuː	0.333
ˈɛ	ˈɪ	0.333
ˈɔ	ˈɔ	0.333
ˈœ	ˈʏ	0.333
ˈeː	ˈɛɪ̯	0.333
x	-	0.333
ˈʊ	ˈʊ	0.316
k	k_ə	0.312
ɾ	-	0.278
ˈʊ	ˈɪ	0.263
ˈʊ	-	0.263
ˈyː	ˈyː	0.25
ç	ɣ_ə	0.25
ç	ɡ	0.25
ˈɔː	ˈɔ	0.222
ˈœ	ˈɔ	0.222
ˈuː	ˈɒː	0.222
ˈuː	ˈoː	0.222
ˈiː	ˈiː	0.222
ˈɔa̯	ˈa	0.2
ˈɔa̯	-	0.2
ˈʏ	ˈʊ	0.19
ˈɛ	ˈɛɪ̯	0.185
ˈɛ	-	0.185
ˈɪ	-	0.167
ˈeː	ˈɛ	0.167
ɾ	d	0.167
ɡ	j	0.167
ɡ	-	0.167
ŋ	-	0.154
v	w	0.125
k	ə	0.125
ˈɛ	ˈɛ	0.111
ˈɛ	ˈœ	0.111
ˈiː	ˈɛː	0.111
ˈiː	ˈɒː	0.111
ˈiː	ˈeː	0.111
ˈʊ	ˈa	0.105
ˈʏ	ˈiː	0.095
ˈeː	ˈɛə̯	0.083
t	d̥	0.081
t	-	0.081
s	ʃ	0.081
ˈɛ	ˈɔʏ̯	0.074
r	-	0.074
ɐ	-	0.062
f	v	0.061
ˈʊ	ˈaɪ̯	0.053
