Polish	Proto-Slavic	probability
b	b	1.0
d	d	1.0
f	v	1.0
j	-	1.0
m	m	1.0
n	n	1.0
v	v	1.0
w̃	-	1.0
x	x	1.0
z	z	1.0
ɔ	o	1.0
ɕ	s	1.0
ʂ	-	1.0
ʑ	z	1.0
ʥ	d	1.0
ʦ	ĭ_ʦ	1.0
ˈɨ	i	1.0
k	k_ŭ	0.231
k	k	0.651
r	r	0.921
s	s	0.721
ɲ	n	0.181
ʐ	-	0.711
ˈu	ŭ	0.581
l	l_ĭ	0.142
ˈɔ	e	0.212
ˈɛ	ẽ̂ː	0.202
i	ŭ	0.33
t	t	0.793
w	l	0.923
ɛ	ɛː	0.103
ɡ	ŭ_#>	0.053
ɨ	ŭ_j	0.53
ʈ͡ʂ	ʧ	0.933
ˈa	ɛ̌	0.223
ˈa	ɛ̂ː	0.423
ˈu	ûː	0.293
ˈɛ	ê	0.063
ˈɛ	ĭ̌	0.063
ˈɛ	-	0.083
ˈɛ	ĭ	0.333
w	-	0.054
ɡ	ɡ_ôː	0.164
ˈa	aˀ	0.354
ˈi	ǐ	0.154
ˈɔ	ô	0.274
ˈɛ	e	0.165
a	aˀ	0.186
ɡ	ɡ	0.666
ɲ	n_ĭ	0.086
ʨ	t	0.256
ʨ	t_i	0.346
ˈi	ĭ̂	0.156
ˈɔ	ǒ	0.166
a	a	0.247
a	ǎ	0.567
i	ŭ_j	0.67
k	ɡ_ŭ	0.117
p	p	0.957
ɨ	ŭ	0.47
ʈ͡ʂ	ʧ_e	0.067
ˈu	ô	0.127
l	l	0.858
t	-	0.088
ɛ	-	0.398
ɡ	ĭ_#>	0.118
ˈɔ	o	0.268
r	r_d	0.079
s	s_ŭ	0.279
t	t_ŭ	0.119
ɛ	e	0.499
ɲ	-	0.689
ʐ	ʒ	0.289
ʨ	t_ĭ	0.399
ˈi	i	0.69
