Neapolitan	Galician	probability
a	a	1.0
d	d	1.0
e	e	1.0
f	f	1.0
kː	k	1.0
lː	l	1.0
m	m	1.0
mː	m	1.0
nː	n	1.0
o	ʊ	1.0
s	s	1.0
ŋ	ŋ	1.0
ʎː	ʎ	1.0
ʦ	θ	1.0
ʦː	θ	1.0
p	β	0.231
u	-	0.331
v	b	0.681
ə	ɐ	0.291
ˈe	ˈe	0.841
ˈo	ˈɔ	0.21
j	w	0.062
k	k	0.782
r	r	0.252
r	-	0.32
ˈa	ˈa_ɾ	0.122
ˈa	ˈa	0.632
ˈo	ˈu	0.102
n	ɲ	0.233
n	n	0.573
tː	j_t	0.663
v	-	0.063
ɲː	n	0.153
ʤ	-	0.323
ˈɛ	ˈɛ	0.33
i	e	0.514
n	-	0.194
t	ð	0.504
w	w	0.754
ə	-	0.124
ɡ	ɡ	0.914
ɾ	ɾ	0.634
ʃ	θ	0.664
ˈi	ˈi	0.544
ˈɔ	ˈo	0.524
j	-	0.65
l	-	0.155
l	l	0.845
ˈu	ˈo	0.455
i	i	0.486
t	t	0.496
v	β	0.256
w	-	0.246
ə	ʊ	0.416
ɡ	ɣ	0.086
ˈa	a	0.06
ˈa	ˈɑ	0.186
ˈi	ˈe	0.456
ˈu	ˈu	0.516
ˈɔ	ˈɔ	0.476
tː	t	0.337
ɲː	ɲ	0.847
ʃ	-	0.097
ʤ	ʃ	0.677
ˈɛ	ˈe	0.67
k	ɣ	0.218
r	ɾ	0.428
ɾ	-	0.318
ˈe	ˈi	0.128
ˈo	ˈo	0.688
j	ʃ	0.289
p	p	0.769
u	o	0.669
ə	ɪ	0.139
ʃ	s	0.239
