Friulian	Emilian	probability
a	a	1.0
b	b	1.0
c	k	1.0
m	m	1.0
o	u	1.0
p	p	1.0
v	v	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ʤ	ð	1.0
ʧ	θ	1.0
ˈeː	ˈa_j	1.0
ˈiː	ˈiː_r	1.0
ˈoː	ˈʌu̯	1.0
ˈɔ	ˈɔ	1.0
d	-	0.11
f	f	0.781
i	-	0.291
j	ˈɛː	0.1
k	ɡ	0.161
r	e_r	0.141
w	-	0.51
ɲ	ɲ	0.881
ˈaː	ˈɛ	0.491
ˈo	ˈʌu̯	0.11
ˈuː	ˈuː	0.741
l	l	0.792
n	ŋ	0.452
t	t	0.852
ˈɛ	ˈɛ	0.332
i	e	0.053
i	i	0.213
i	e_r	0.443
l	j	0.073
r	-	0.063
w	w	0.293
ˈa	ˈɛ	0.283
ˈu	ˈo	0.933
ˈɛ	-	0.533
e	-	0.14
j	j	0.404
u	-	0.094
ˈe	ˈa_j	0.344
ˈi	ˈæ	0.124
s	z	0.15
s	s	0.85
z	-	0.155
z	z	0.845
ˈa	ˈaː	0.325
ˈɛ	ˈæ	0.135
e	a	0.86
j	-	0.496
u	u	0.906
ˈe	ˈa	0.656
ˈo	ˈo	0.076
r	r_e	0.057
w	ˈo	0.197
ˈo	ˈʌ	0.527
ˈu	ˈuː	0.067
n	n	0.548
t	d	0.148
ˈa	ˈa	0.368
d	d	0.89
f	v	0.219
k	k	0.839
l	-	0.09
r	r	0.739
ɲ	n	0.119
ˈaː	ˈɛ_r	0.509
ˈi	ˈe	0.799
ˈo	-	0.249
ˈuː	ˈɔː	0.259
