Old English	Icelandic	probability
a	ɪ	1.0
b	b̥	0.958
bː	v	1.0
d	ð	0.459
d	d̥	0.448
d	k	0.052
dː	ð	1.0
e	a	0.464
e	ʏ	0.361
e	ɪ	0.098
e	-	0.06
eo̯	ɛ	1.0
f	f	0.788
f	v	0.152
h	h	0.75
h	ç	0.221
i	ʏ	0.386
i	u	0.294
i	ɑu̯	0.164
i	-	0.157
iː	ɛː	1.0
iːy̯	aːu̯	1.0
j	ɡ̊	0.368
j	-	0.178
j	ɟ̊	0.125
j	r̥	0.09
j	u	0.09
j	ɣ	0.09
j	ɡ̊ː	0.056
k	k	0.463
k	kʰ	0.242
k	ʰk	0.126
k	-	0.09
k	cʰ	0.053
kː	ʰk	1.0
l	l	0.815
l	t_l̥	0.069
l	l̥	0.054
lː	t_l̥	1.0
l̥	l̥	1.0
m	m	0.92
m	-	0.067
n	n	0.495
n	t_n̥	0.199
n	-	0.123
n	ŋ	0.076
n	n̥	0.067
nː	nː	0.772
nː	ð	0.228
o	ɪ	0.566
o	ʏ	0.248
o	ˈœː	0.139
p	p	0.687
p	ʰp	0.241
p	v	0.072
pː	ʰp	1.0
r	r	0.604
r	r̥	0.362
rː	rː̥	0.56
rː	ˈa	0.44
r̥	r̥	1.0
s	s	0.95
t	t	0.608
t	tʰ	0.191
t	ʰt	0.093
t	-	0.081
tː	t	1.0
u	ʏ	0.697
u	-	0.152
u	r̥	0.152
v	v	0.823
v	-	0.149
w	v	0.514
w	-	0.312
w	ˈɛː	0.077
w	r̥	0.054
x	ʰt	0.567
x	r̥	0.151
x	s	0.145
x	j	0.137
z	s	0.931
z	v	0.069
ç	ʰt	0.898
ç	-	0.102
ð	ð	0.845
ð	nː	0.155
ŋ	ŋ	0.829
ŋ	ɲ	0.171
ɑ	a	0.757
ɑ	j_a	0.089
ɑ	ɪ	0.082
ɡ	ɡ̊	0.915
ɡ	ɟ̊	0.085
ɣ	ɣ	0.556
ɣ	ɡ̊	0.241
ɣ	ɟ̊	0.077
ɣ	-	0.071
ɣ	j	0.054
ɫ	l	0.572
ɫ	l̥	0.428
ʃ	s	0.837
ʃ	r̥	0.163
ʃː	k	0.92
ʃː	c	0.08
ʍ	kʰ	1.0
ʤ	ɡ̊ː	0.667
ʤ	ɟ̊ː	0.333
ʤː	-	1.0
ʧ	kʰ	0.418
ʧ	k	0.154
ʧ	cʰ	0.149
ʧ	x	0.1
ʧ	ɣ	0.1
ʧ	c	0.079
ʧː	ʰc	1.0
ˈe	ˈɛ	0.413
ˈe	ˈaːi̯	0.131
ˈe	ˈœ	0.115
ˈe	ˈɛː	0.083
ˈeo̯	ˈɛ	0.334
ˈeo̯	j	0.288
ˈeo̯	ˈa	0.132
ˈeo̯	ˈʏː	0.091
ˈeo̯	ˈœ	0.055
ˈeo̯	ˈɔu̯	0.051
ˈeo̯	ˈɪ	0.051
ˈeː	ˈaːi̯	0.278
ˈeː	ˈɛː	0.264
ˈeː	ˈai̯	0.172
ˈeː	ˈu	0.172
ˈeː	ˈɪː	0.062
ˈeː	ˈɛːi̯	0.051
ˈeːo̯	j	0.536
ˈeːo̯	ˈiː	0.157
ˈeːo̯	ˈai̯	0.111
ˈeːo̯	ˈi	0.058
ˈeːo̯	ˈɛ	0.058
ˈi	ˈɪ	0.304
ˈi	ˈi	0.276
ˈi	ˈɪː	0.131
ˈi	ˈɛ	0.127
ˈi	ˈiː	0.078
ˈiy̯	ˈɛ	0.446
ˈiy̯	ˈɛː	0.213
ˈiy̯	ˈaːi̯	0.17
ˈiy̯	ˈœ	0.17
ˈiː	ˈiː	0.921
ˈiː	ˈɪ	0.079
ˈiːy̯	ˈiː	0.683
ˈiːy̯	ˈɛːi̯	0.223
ˈiːy̯	ˈeːi̯	0.093
ˈo	ˈɔ	0.608
ˈo	ˈɪ	0.132
ˈo	ˈi	0.073
ˈo	ˈɪː	0.052
ˈoː	ˈoːu̯	0.495
ˈoː	ˈaːu̯	0.156
ˈoː	ˈɑːu̯	0.156
ˈoː	ˈœ	0.069
ˈoː	ˈɔu̯	0.051
ˈu	ˈʏ	0.417
ˈu	ˈu	0.391
ˈu	ˈɔː	0.098
ˈu	ˈʏː	0.08
ˈuː	ˈuː	0.676
