Palatine German	Palatine German	probability
ˈɑ̃ː	n	1.0
ˈɑː_ɐ	ˈaː	1.0
ˈɑ_ɐ	ˈaː	1.0
ˈo	ˈoː	1.0
ˈĩː	ˈe_ŋ	1.0
ˈi	ˈɜɪ̯	1.0
ˈeː_ʃ	ˈeː_ɕ	1.0
ˈau̯̯	ˈæːʊ̯	1.0
ʣ̥	ʦ	1.0
ɪ_ʃ	ə_ɕ	1.0
ɑ	-	1.0
ɐ_n_#>	ʀ_#>	1.0
ŋ	ŋ	1.0
x_l	l	1.0
r_ɐ	d_ɐ	1.0
pʰ	pʰ	1.0
n_ʃ	n_ʃ	1.0
m	m	1.0
l_d̥	l	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
eː	e_ŋ	1.0
d̥_ɐ	t_ɐ	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
ɐ	ɐ	0.949
n	n	0.9
r	ʀ	0.875
ə	ə_n	0.872
ˈeː	ˈɜɪ̯	0.778
ˈɛː	ˈeː	0.75
j	ə	0.75
ˈɑː	ˈaː	0.737
β	v	0.722
ʃ	ʃ	0.689
ˈiː	ˈɜɪ̯	0.688
b̥	b	0.667
x	χ	0.6
ˈɔ	ˈo	0.556
ˈau̯	ˈæːʊ̯	0.556
ˈaɪ̯	ˈæːɪ̯	0.545
ɡ̊	ɡ	0.5
ˈoː	ˈəʊ̯	0.471
ˈɑ	ˈaː	0.448
ˈuː	ˈu	0.444
ˈau̯	ˈɑʊ̯	0.444
ˈɑ	ˈɑ	0.414
s	s	0.408
ˈɪ	ˈə	0.406
ˈu	ˈo	0.4
x	ɕ	0.4
d̥	d	0.382
s	z	0.367
ɡ̊	k	0.357
ˈuː	ˈʊ	0.333
d̥	d̥	0.329
ˈaɪ̯	ˈɑɪ̯	0.318
ˈɪ	ˈɑ	0.312
ˈoː	ˈoː	0.294
d̥	t	0.276
ˈɛː	-	0.25
j	j	0.25
ʃ	ɕ	0.244
s	z̥	0.224
β	w	0.222
ˈuː	ˈəʊ̯	0.222
ˈeː	ˈiː	0.222
b̥	v̥	0.222
ˈɪ	ˈe	0.219
ˈu	ˈɔ	0.2
ˈɛ	ˈiː	0.192
ˈɛ	ˈiə̯	0.192
ˈiː	ˈi	0.188
ˈɔ	ˈuː	0.167
ˈɔ	ˈaː	0.167
ˈɑː	-	0.158
ˈɛ	ˈɛ	0.154
ˈɛ	ˈə	0.154
ɡ̊	-	0.143
ˈaɪ̯	-	0.136
ˈu	ˈuː	0.133
ˈu	ˈu	0.133
ˈu	-	0.133
ˈiː	ˈiː	0.125
ˈoː	ˈɜɪ̯	0.118
ˈoː	ˈu	0.118
ˈɛ	ˈɛː	0.115
ˈɛ	ˈæ	0.115
ˈɔ	-	0.111
b̥	p	0.111
ˈɑː	ˈuə̯	0.105
ˈɛ	-	0.077
ə	n	0.077
ˈɑ	ˈuə̯	0.069
ˈɑ	-	0.069
ʃ	-	0.067
ˈɪ	ˈi	0.062
r	ə_ʀ	0.062
r	d	0.062
β	-	0.056
ə	-	0.051
ɐ	-	0.051
