Lombard	Galician	probability
#>	#>	0.735
#>	ɪ_#>	0.12
#>	ɾ_#>	0.112
<#	<#	0.992
a	ɐ	0.688
a	a	0.18
a	-	0.084
ã	e	0.327
ã	ɑ	0.327
b	b	0.619
b	β	0.26
b	k	0.073
b	-	0.052
d	d	0.442
d	ð	0.284
d	-	0.226
e	e	0.338
e	-	0.245
e	ʊ	0.098
e	o	0.077
e	ˈe	0.077
e	a	0.076
e	ˈi	0.061
ẽ	ɪ	1.0
f	f	0.675
f	β	0.174
f	β_ʊ	0.115
i	e	0.796
i	ʊ	0.09
i	i	0.064
ĩ	i	0.723
ĩ	ɪ	0.206
j	-	0.298
j	j	0.166
j	ˈe	0.133
j	o	0.099
j	ʎ	0.099
j	i	0.065
j	u	0.055
k	k	0.739
k	ɣ_ʊ	0.115
l	l	0.718
l	-	0.168
m	m	0.947
n	n	0.739
n	-	0.226
o	o	1.0
p	p	0.876
p	ʧ	0.106
r	ɾ	0.664
r	r	0.176
r	ɾ_ʊ	0.102
r_#>	#>	0.122
s	s	0.447
s	θ	0.238
s	s_ʊ	0.106
s	ʃ_ʊ	0.058
s	ʃ	0.056
t	t	0.608
t	t_ʊ	0.206
t	ð	0.07
t	d_ʊ	0.059
t_e	t	1.0
u	o	0.39
u	ɪ	0.219
u	ʊ	0.191
u	u	0.097
u	a	0.069
ũ	o	1.0
v	b	1.0
w	w	0.776
w	ˈɑ	0.173
y	j	0.66
y	ˈo	0.162
z	θ	0.488
z	m	0.28
z	s	0.173
ɛ	a	0.106
ɛ	ɐ	0.106
ɡ	ɡ	0.557
ɡ	ɣ	0.253
ɡ	b	0.09
ɡ	β	0.087
ɲ	ɲ	0.848
ɲ	-	0.152
ʃ	s	0.461
ʃ	ʃ	0.262
ʃ	θ	0.085
ʋ	b	0.483
ʋ	β	0.365
ʋ	v	0.092
ʋ_e	b	1.0
ʤ	ʃ	0.621
ʤ	ʎ	0.191
ʤ	-	0.125
ʦ	θ	0.407
ʦ	θ_ʊ	0.326
ʦ	t	0.123
ʦ	-	0.084
ʧ	-	0.235
ʧ	θ	0.212
ʧ	j	0.204
ʧ	ʧ	0.112
ʧ	s	0.074
ʧ	t	0.06
ʧ	k	0.053
ʧ	ð	0.051
ʧ_#>	#>	1.0
ˈa	ˈa	0.754
ˈa	a	0.076
ˈa	ˈe	0.061
ˈaː	ˈa	0.771
ˈaː	ˈa_ð	0.222
ˈãː	ˈɑ_ŋ	0.523
ˈãː	ˈa_n	0.271
ˈãː	ˈe_n	0.08
ˈãː	ŋ	0.062
ˈãː	ˈa	0.058
ˈe	ˈe	0.629
ˈe	ˈɛ	0.364
ˈeː	e	0.361
ˈeː	ˈe	0.361
ˈeː	ʊ	0.206
ˈẽː	ˈe_n	0.422
ˈẽː	ˈi	0.32
ˈẽː	n	0.242
ˈi	ˈi	0.772
ˈi	ˈe	0.109
ˈi	ˈu	0.094
ˈiː	ˈi	1.0
ˈĩː	ˈi	1.0
ˈo	ˈo	1.0
ˈu	ˈo	0.618
ˈu	ˈɔ	0.253
ˈu	ˈu	0.107
ˈuː	ˈo	0.496
ˈũː	ŋ	0.321
ˈũː	ˈo_n	0.258
ˈũː	ˈu_n	0.224
ˈũː	ˈo	0.148
ˈy	ˈu	0.422
ˈy	ˈo	0.306
ˈy	-	0.092
ˈy	u	0.072
ˈy	ˈe	0.067
ˈyː	ˈu	0.478
ˈyː	ˈo	0.237
ˈyː	-	0.104
ˈỹː	ŋ	0.496
ˈø	ˈo	0.456
ˈø	ˈɔ	0.25
ˈø	-	0.143
ˈø	ʎ_ʊ	0.143
ˈøː	ˈɔ	0.786
ˈøː	ˈo	0.166
ˈɔ	ˈɔ	0.461
ˈɔ	ˈo	0.169
ˈɔ	ˈo_w	0.136
ˈɔ	ˈa	0.066
ˈɔ	ˈe	0.066
ˈɔ	-	0.057
ˈɛ	ˈɛ	0.599
ˈɛ	ˈe	0.304
ˈɛ	ɾ_ˈe	0.059
ˈɛ̃ː	ˈe	0.496
ˈˈi	ɾ	0.496
