Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈœʏ̯	ˈɛːi̯	1.0
ʋ_n	p_n̥	1.0
ʋ_#>	v_ʏ_r̥_#>	1.0
ʈː	r̥_t	1.0
ʈ	t	1.0
ə_ɾ	ɪ_r̥	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ç	cʰ	1.0
sː	-	1.0
s_#>	s_#>	1.0
s	s	1.0
pː	ʰp	1.0
pʰ	pʰ	1.0
p	p	1.0
mː	m	1.0
kʰ	kʰ	1.0
i	-	1.0
h	h	1.0
f	f	1.0
d_#>	ð_#>	1.0
b	b̥	1.0
<#_ˈʉ	<#_ˈʏ	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_n	<#_n	1.0
<#_kʰ	<#	1.0
<#_h	<#_ç	1.0
<#_d	<#_d̥	1.0
#>	ð_#>	1.0
ŋː	ŋ	0.889
ʋ	v	0.87
ˈɑː	ˈaː	0.8
l	l	0.763
t	t	0.75
<#_ɾ	<#_r	0.75
m	m	0.737
ˈɔ	-	0.667
ˈœ	-	0.667
ɡː	ɡ̊ː	0.667
kː	ʰk	0.667
ə	a	0.662
ˈʉː	ˈuː	0.632
ˈiː	ˈiː	0.611
ˈʉ	ˈʏ	0.6
tʰ	θ	0.591
tː	ʰt	0.583
ˈɑ	ˈa	0.579
ˈæː	-	0.571
ɳ	t͡n̥	0.571
ˈæɪ̯	-	0.556
ɾ	r	0.542
ˈøː	ˈœːy̯	0.5
ˈoː	ˈɑːu̯	0.5
ˈeː	ˈɛː	0.5
ˈeː	-	0.5
ɪ	ɑu̯	0.5
ɪ	i	0.5
ɡ	ɡ̊	0.5
d	θ	0.5
d	-	0.5
n	n	0.478
ˈɪ	ˈɪ	0.467
ˈɛ	ˈɛ	0.45
ˈæɪ̯	ˈɛːi̯	0.444
ˈæː	ˈɛː	0.429
ʂ	s_c	0.429
ɳ	r_t͡n̥	0.429
nː	nː	0.429
nː	n_d̥	0.429
k	k	0.429
tː	t	0.417
tʰ	tʰ	0.409
ˈʉ	ˈu	0.4
ˈuː	ˈoːu̯	0.381
ˈyː	j_ˈoːu̯	0.364
ˈyː	-	0.364
ɾ	r̥	0.356
ˈʏ	ˈɪ	0.333
ˈɔ	ˈœ	0.333
ˈoː	ˈaːu̯	0.333
ɡː	ɟ̊ː	0.333
kː	ʰc	0.333
k	k_ʏ	0.333
j	j	0.3
j	-	0.3
ʂ	s_j	0.286
ʂ	s	0.286
ˈyː	j_ˈuː	0.273
lː	t͡l̥_ʏ	0.273
lː	l_d̥	0.273
lː	l	0.273
m	m_ʏ	0.263
ˈɛ	-	0.25
ˈøː	ˈaːi̯	0.25
ɡ	ɟ̊	0.25
ɡ	-	0.25
t	t_ʏ	0.25
<#_ɾ	<#_r̥	0.25
ˈuː	ˈɔ	0.238
k	c	0.238
ˈʏ	ˈʏ	0.222
ˈʏ	ˈi	0.222
ˈʏ	-	0.222
ˈʉː	-	0.211
ˈɑ	ˈɑu̯	0.211
ˈɪ	ˈɛ	0.2
ˈɪ	ˈi	0.2
ˈɑː	ˈa_r	0.2
j	ç	0.2
j	j_ˈœ	0.2
lː	t͡l̥	0.182
n	n̥	0.174
ˈœ	ˈɪ	0.167
ˈœ	ˈɔː	0.167
ˈoː	ˈɔː	0.167
ˈiː	j	0.167
ˈʉː	ˈʏː	0.158
ˈuː	ˈoːu̯_ð	0.143
ˈuː	-	0.143
ə	ʏ	0.135
ˈɪ	-	0.133
l	l̥	0.132
ʋ	kʰ_v	0.13
n	t͡n̥	0.13
n	-	0.13
ˈøː	ˈɛːi̯	0.125
ˈøː	ˈoːu̯_r̥	0.125
ə	ɪ	0.122
ˈiː	ˈɪː	0.111
ˈiː	ˈiː_j	0.111
ŋː	ɲ	0.111
ˈɑ	ˈɔu̯	0.105
ˈɑ	ˈœ	0.105
l	t͡l̥	0.105
ˈɛ	ˈau̯	0.1
ˈɛ	ˈai̯	0.1
ˈɛ	ˈa	0.1
ˈuː	r	0.095
nː	-	0.095
n	n_ʏ	0.087
ɾ	ɪ_r̥	0.068
