Old West Norse	East Franconian	probability
θ	d̥	1.0
ˈɛː	-	1.0
ˈɛi̯	ˈaː	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈuː	1.0
ˈɔ	-	1.0
ˈøy̯	-	1.0
ˈuː	ˈaʊ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈeː_r̥	ˈiː_ɐ	1.0
ˈa	ˈɒ	1.0
ʦ	d̥	1.0
ʝː	ˈoː_ŋ	1.0
ɾ	ɐ	1.0
ɡː	ɡ̊_n	1.0
ɡ_r̥	ɐ	1.0
ɟː	-	1.0
ɟ	ɡ̊	1.0
ɑː	eː	1.0
ŋ	ŋ	1.0
ð_i	ɾ	1.0
ç_ˈɑ	h_ˈɛ	1.0
x	v	1.0
w	-	1.0
v_ɑ	m	1.0
v_r̥	b̥	1.0
u	-	1.0
tʰ	ʦ	1.0
t_ɑ	z̥_n	1.0
sː	-	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r_ð	ɐ_d̥	1.0
r_i	ɐ	1.0
pː	ˈɒ_f	1.0
pʰ	b̥͡v̥	1.0
p	f	1.0
n̥	n	1.0
nː_ɑ	n_a	1.0
n_d	n	1.0
n	n	1.0
mː	m	1.0
m_ˈa	m	1.0
m	m	1.0
l̥	l	1.0
lː	l	1.0
l	l	1.0
kː	ɡ̊	1.0
kʰ	kʰ	1.0
k_ˈɑ	ˈa	1.0
j_ˈɑ	ˈɛ	1.0
j_ˈuː	ˈiː	1.0
j_ˈoː	ˈiː	1.0
j_ɑ	n	1.0
i_r̥	ɐ	1.0
i	-	1.0
h	h	1.0
e	ˈɛ	1.0
d_ˈɒu̯	d̥	1.0
d	d̥	1.0
cː	ɡ̊_n	1.0
cʰ	kʰ	1.0
c	ʃ	1.0
b	b̥	1.0
f	f	0.908
r̥ː	ɐ	0.837
ˈi	ˈɪ	0.809
ð	d̥	0.757
ɡ	-	0.697
ˈy	ˈɪ	0.677
j	-	0.667
r	ɐ	0.645
ˈeː	ˈiː	0.629
ˈɑu̯	ˈaː	0.619
s	s	0.601
ˈøː	ˈiː	0.594
t	s	0.582
ˈoː	ˈuː	0.574
a	-	0.571
tː	d̥	0.567
ɑ	n	0.561
ˈyː	ˈaɪ̯	0.544
v	v	0.531
ˈɑ	ˈɒ	0.524
nː	-	0.515
ˈu	ˈʊ	0.498
ˈɑː	ˈoː	0.491
nː	n	0.485
ˈe	ˈɛ	0.471
ˈyː	-	0.456
ˈo	ˈɔ	0.456
tː	x	0.433
a	a	0.429
k	ç	0.424
ˈøː	-	0.406
ˈɑu̯	ˈuː	0.381
ɣ	ç	0.381
k	-	0.372
ˈeː	-	0.371
r	r	0.355
r̥	x	0.34
j	ˈiː	0.333
r̥	ɐ	0.33
r̥	d̥	0.33
ɣ	ŋ	0.324
ˈy	ˈɔ	0.323
ˈoː	ˈʊ	0.314
ˈo	ˈʊ	0.303
ɡ	ɣ̊	0.303
ˈe	-	0.291
ˈɑː	-	0.276
s	ʃ	0.268
ˈɑ	-	0.254
ɑ	a	0.251
ˈo	ˈuː	0.241
ɣ	ɣ̊	0.239
ˈɑː	ˈɒ	0.233
ˈu	ˈɔ	0.218
t	ʦ	0.207
k	ŋ	0.204
v	β	0.202
ˈu	-	0.199
ˈi	ˈiː	0.191
ɑ	-	0.189
ˈɑ	ˈoː	0.166
r̥ː	ə	0.163
ˈe	ˈeː	0.147
v	f	0.138
s	n	0.131
v	m	0.129
ð	ɾ	0.122
ð	-	0.121
ˈoː	-	0.112
t	d̥	0.107
t	z̥	0.104
f	b̥	0.092
ˈe	ˈɪ	0.09
ˈu	ˈɛ	0.085
ˈɑ	ˈaː	0.056
ɣ	ɣ	0.056
