Slovenian	Macedonian	probability
́	-	1.0
̀	-	1.0
ʦ	ʦ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʋ	v	1.0
ʃ	ʃ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛː	ɛ	1.0
ɛ_l	ɛ_l	1.0
ə_́	r̩	1.0
ə_r	a_r	1.0
ə_n	ɛ_n	1.0
ə_k	o_k	1.0
ɔː_́	o	1.0
ɔː	o	1.0
z̥	z̥	1.0
w	ɫ	1.0
uː	u	1.0
u	u	1.0
s_ə	s	1.0
s	s	1.0
r_t	t	1.0
r_j	r	1.0
p	p	1.0
oː_̀	a	1.0
o	o	1.0
m	m	1.0
l_aː	ɫ_a	1.0
k	k	1.0
iː	i	1.0
i_́	i	1.0
i	i	1.0
eː	ɛ	1.0
e	ɛ	1.0
d̥	d̥	1.0
b̥	b̥	1.0
b	b	1.0
a	a	1.0
n	n	0.97
d	d	0.961
z	z	0.95
ʧ	ʧ	0.879
aː	a	0.855
ɛ	ɛ	0.844
ɔ	o	0.773
r	r	0.733
j	j	0.731
oː	o	0.678
oː_́	o	0.671
t	t	0.568
l	l	0.559
x	-	0.462
t	-	0.432
x	v	0.41
l	ɫ	0.356
ə	r̩	0.349
oː	u	0.322
j	-	0.269
oː_́	a	0.238
ɔ	ɔ	0.227
ə	ɛ	0.173
ɛ	-	0.156
ə	ɔ	0.155
r	-	0.149
aː	-	0.145
x	x	0.127
ʧ	c	0.121
ə	o	0.118
ə	a	0.104
ə	u	0.1
oː_́	ɔ	0.091
l	-	0.085
r	r̩	0.083
z	ʣ	0.05
