Middle High German	Hessian	probability
ˈɛ_b	ˈɛ_v	1.0
ˈɑː_r	ˈɑː	1.0
ˈɑː_n	ˈɛ̃ː	1.0
ˈɑ_d̥	ˈɑː_d̥	1.0
ˈøː_n	ˈẽː	1.0
ˈæː	ˈeː	1.0
ˈyː_n	ˈoĩ̯	1.0
ˈyː	ˈoi̯	1.0
ˈyə̯_n	ˈĩː	1.0
ˈyə̯	ˈiː	1.0
ˈou̯	ˈaː	1.0
ˈiː_n	ˈɑ̃i̯	1.0
ˈiː	ˈai̯	1.0
ˈeː	ˈeː	1.0
ˈe	ˈe	1.0
ʦː	ʦ	1.0
ʃː	ʃ	1.0
ɡ̊	ʃ	1.0
ɡ_ə	ɣ̊	1.0
ɡ_r	k_ʀ	1.0
ɛ_h	ɛː	1.0
ə_r	æ̆	1.0
ə_n	ə	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
tː	d̥	1.0
s̻ː	z̥	1.0
rː	ɐ	1.0
r_n	ɐ_n	1.0
p	ʒ̊_p	1.0
oː	ɑ	1.0
ou̯	ˈaː	1.0
nː	n	1.0
n_t	n	1.0
n_d	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_d̥	l_d̥	1.0
l	l	1.0
k	ɡ̊	1.0
j	j	1.0
i	i	1.0
fː	f	1.0
d̥	d̥	1.0
d_ˈi	d̥_ˈi	1.0
d_r	t_ʀ	1.0
d	d̥	1.0
b̥	b̥	1.0
v	f	0.953
ə	-	0.951
s	s	0.932
ʃ	ʃ	0.909
ʦ	ʦ	0.897
w	v	0.883
ˈi	ˈi	0.876
ˈiə̯	ˈiː	0.858
ˈoː	ˈoː	0.851
ˈuː	ˈau̯	0.845
h	h	0.803
kʰ	kʰ	0.795
s̻	s	0.77
f	f	0.741
ˈuə̯	ˈuː	0.699
ˈu	ˈu	0.679
ˈɑ_r	ˈɑː	0.656
kː	k	0.607
ˈy	ˈi	0.589
t	d̥	0.565
x	ʃ	0.564
ɡ	ɡ̊	0.549
ˈɑː	ˈɑː	0.532
xː	ɣ̊	0.5
xː	x	0.5
b	b̥	0.494
r	ɐ	0.48
ˈɑː	ˈoː	0.468
ˈɑ	ˈɑ	0.46
ˈei̯	ˈaː	0.44
ˈei̯	-	0.43
ˈy	-	0.411
ˈo	ˈɔ	0.403
p͡f	f	0.4
p͡f	-	0.4
kː	ɡ̊	0.393
t	t	0.388
ˈo	ˈo	0.375
ˈɑ_r	ˈɑ	0.344
r	ʀ	0.341
x	x	0.306
ˈuə̯	ˈu	0.301
ˈɛ	ˈæ	0.286
b	p	0.28
ˈɑ	ˈa	0.274
ˈɛ	ˈɛ	0.259
f	v̥	0.259
ˈu	ˈɔ	0.239
s̻	-	0.23
ˈɑ	ˈɑː	0.228
b	v	0.226
ˈo	ˈoː	0.222
kʰ	k	0.205
p͡f	pʰ	0.2
h	-	0.197
ɡ	ʒ̊	0.171
ɡ	j	0.171
ˈuː	-	0.155
ˈɛ	ˈɛː	0.149
ˈoː	oː	0.149
ˈiə̯	ˈi	0.142
ˈɛ	ˈæː	0.137
ˈei̯	ˈai̯	0.13
x	k	0.13
ˈi	ˈiː	0.124
r	æ̆	0.124
w	-	0.117
ɡ	ɣ̊	0.109
ʦ	-	0.103
ˈɛ	-	0.099
ʃ	-	0.091
ˈu	ˈõː	0.082
ˈɛ	ˈe	0.069
s	-	0.068
r	ˈæː_ɐ	0.055
