Portuguese	Portuguese	probability
β	v	1.0
ˈɨ	-	1.0
ˈɔ_ʃ	w_ˈiː	1.0
ˈɔ_l	ˈuː	1.0
ˈɐ_j	ˈeː	1.0
ˈũ	ˈy_ŋ	1.0
ˈõ	ˈu_ŋ	1.0
ˈo_β	ˈuː	1.0
ˈo_ð	ˈy_t	1.0
ˈo_w	ˈɔː	1.0
ˈo_j	ˈø	1.0
ˈĩ	ˈi_ŋ	1.0
ˈi_ɲ	ŋ	1.0
ˈẽ	ˈe_ŋ	1.0
ˈa_ɫ	ˈaː	1.0
ˈa_ð	ˈɛː	1.0
ˈa_j	ˈa	1.0
ʒ	ʤ	1.0
ʎ	ʤ	1.0
ʃ_t	s_t	1.0
ɾ_u	u	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɾ_m	r_m	1.0
ɾ_k	r_k	1.0
ɾ_#>	#>	1.0
ɲ_u	ŋ	1.0
ɨ_ɾ	e_r	1.0
ɨ_#>	#>	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɐ_ɾ	ˈɛ	1.0
ɐ_ð	ɥ	1.0
ɐ_#>	#>	1.0
w̃_#>	ŋ_#>	1.0
v_ˈa	v_ˈa	1.0
u_ʃ	i	1.0
u_#>	#>	1.0
s_u	s_u	1.0
s	s	1.0
p	p	1.0
õ	u_ŋ	1.0
o	-	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j̃	-	1.0
j_v	sː	1.0
j_u	z_u	1.0
j_t	t	1.0
j_m	y	1.0
ĩ	i_ŋ	1.0
i_ʃ	s	1.0
i	i	1.0
f	f	1.0
d	d	1.0
<#_ˈo	<#	1.0
<#_ʒ	<#_z	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɔ	<#	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#	<#_a	1.0
u	u	0.923
t	t	0.923
n	n	0.87
b	b	0.846
ɐ	a	0.793
v	v	0.743
ɨ	e	0.707
ˈa	ˈaː	0.686
ɾ_ɐ	j_a	0.667
<#_ʃ	<#_ʧ	0.667
ɲ	ɲ	0.636
ɾ	r	0.61
ɐ̃	u	0.6
z	-	0.571
j	-	0.529
ʁ	r	0.5
ʁ	-	0.5
ɫ	r	0.5
ɫ	-	0.5
w	w	0.5
w	-	0.5
ˈe	ˈe	0.469
ˈɐ̃	ˈa	0.45
ˈi	ˈi	0.444
#>	e_#>	0.444
z	z	0.429
ð	-	0.412
ˈɐ̃	ˈa_ŋ	0.4
ɐ̃	a	0.4
ˈu	ˈyː	0.364
ˈɐ	ˈa	0.353
ð	t	0.353
ɾ_ɐ	a	0.333
<#_ʃ	<#_ʃ	0.333
#>	u_#>	0.333
ˈɛ	ˈeː	0.318
ʃ	ʒ_e	0.318
ˈi	ˈiː	0.296
ˈɐ	ˈe	0.294
j	j	0.294
ˈo	ˈu	0.265
ˈɔ	ˈøː	0.263
ˈi	-	0.259
ˈɐ	-	0.235
ð	d	0.235
ˈa	ˈa	0.229
ˈɛ	ˈe	0.227
ʃ	ʃ	0.227
ʃ	-	0.227
#>	a_#>	0.222
ˈɔ	ˈɔː	0.211
ˈɔ	ˈɔ	0.211
ˈɔ	ˈuː	0.211
ˈo	ˈøː	0.206
ˈe	-	0.188
ˈɛ	ˈɛː	0.182
ˈɛ	ˈɛ	0.182
ˈu	ˈy	0.182
ˈu	ˈu	0.182
ɲ	ŋ	0.182
ɲ	-	0.182
ˈo	ˈø	0.176
j	ŋ	0.176
ˈe	ˈiː	0.156
b	-	0.154
ˈɐ̃	ˈu	0.15
ˈo	ˈɔː	0.147
ɾ	-	0.146
ˈu	ˈuː	0.136
ˈu	-	0.136
ʃ	s	0.136
n	ŋ	0.13
ɨ	-	0.122
ˈɐ	ˈeː	0.118
ˈo	ˈuː	0.118
v	-	0.114
ˈɔ	-	0.105
ɐ	-	0.103
ɨ	u	0.098
ˈe	ˈeː	0.094
ˈe	e	0.094
ˈɛ	-	0.091
ʃ	e	0.091
ˈo	ˈɔ	0.088
ˈa	ˈɛː	0.086
v	b	0.086
t	s	0.077
ɾ	j	0.073
ɾ	e	0.073
ɨ	i	0.073
v	ʒ	0.057
u	-	0.051
