Limburgish	East Low German	probability
β	v	1.0
ˈʏː	ˈʏ	1.0
ˈʊː_ʀ	ˈuː_æ	1.0
ˈɪː	ˈɪ	1.0
ˈɔː	ˈaʊ̯	1.0
ˈɔu̯	ˈuː	1.0
ˈɑː_n	ˈa_n	1.0
ˈœ_k	ˈʏ_ç	1.0
ˈæː	ˈaː	1.0
ˈyː_ʀ	ˈyː_æ	1.0
ˈuː	ˈuː	1.0
ˈu	ˈaʊ̯	1.0
ˈiː	ˈiː	1.0
ˈi_#>	ˈae̯_#>	1.0
ˈi	ˈeː	1.0
ʀ_ˈœ	r_ˈʏ	1.0
ʀ_ə	æ	1.0
ʀ_s	s_t	1.0
ɣ_ə	ŋ	1.0
ɣ	ɡ	1.0
ɡ̊_#>	k_#>	1.0
ɡ_ə	ŋ	1.0
ə_x	ɪ_ç	1.0
ə_m_#>	m_#>	1.0
ə	-	1.0
ŋ_ə	ŋ	1.0
ŋ	ŋ	1.0
z_β	ʃ_w	1.0
x_#>	ç_#>	1.0
v̥_#>	f_#>	1.0
v_ə	m	1.0
v	v	1.0
t_ə	t	1.0
t_#>	t_#>	1.0
t	t	1.0
p_#>	p_#>	1.0
p	p	1.0
n_ɪ	n_ɪ	1.0
n_ə	n	1.0
n_d	n_æ	1.0
n_#>	n_#>	1.0
m_ə	m	1.0
m_#>	m_#>	1.0
l_ə	l	1.0
l_#>	l_#>	1.0
l	l	1.0
k_ə	k_n	1.0
j_#>	t_#>	1.0
f_#>	f_#>	1.0
d	-	1.0
<#_β	<#_v	1.0
<#_ˈɛː	<#_ˈae̯	1.0
<#_ˈɑː	<#_ˈa	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ˈuː	<#_ˈuː	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʀ	<#_r	1.0
<#_ɦ	<#_h	1.0
<#_z	<#_z	1.0
<#_v	<#_f	1.0
<#_t	<#_tʰ	1.0
<#_s	<#_ʃ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
ə_#>	n_#>	0.885
n	n	0.833
ˈɒː	ˈɒː	0.818
k_#>	k_#>	0.818
ˈɑ	ˈa	0.8
ˈɛː	ˈae̯	0.75
ʀ_#>	æ_#>	0.75
ʀ	r	0.741
ˈɪ	ˈɪ	0.714
ˈøː	ˈɔʏ̯	0.714
s_#>	s_#>	0.684
<#_ɣ	<#_ɡ	0.643
x	x	0.636
ˈɛ	ˈɪ	0.6
ˈaː	ˈa	0.6
d̥_#>	d_#>	0.536
ˈɔ	ˈʊ	0.5
ˈɔ	ˈɔ	0.5
ˈoː	ˈaʊ̯	0.5
ŋ_#>	ŋ_#>	0.5
ŋ_#>	ç_#>	0.5
j_ə	ɾ	0.5
j_ə	d_n	0.5
ˈɛ	ˈɛ	0.4
ˈʊː	ˈʊ	0.375
ˈʊː	ˈaʊ̯	0.375
ˈeː	ˈae̯	0.375
d̥_#>	t_#>	0.357
<#_ɣ	<#_j	0.357
s_#>	ʃ_#>	0.316
ˈɪ	ˈɛ	0.286
ˈøː	ˈœː	0.286
ˈaː	ˈɒː	0.267
ˈɛː	ˈɪ	0.25
ˈoː	ˈɔ	0.25
ˈoː	ˈɒː	0.25
ʀ_#>	#>	0.25
ˈeː	ˈɛ	0.208
ˈɑ	ˈaː	0.2
ʀ	-	0.185
ˈɒː	ˈoː	0.182
x	x_t	0.182
x	k	0.182
k_#>	ç_#>	0.182
ˈeː	ˈɛː	0.167
n	-	0.167
ˈaː	ˈaː	0.133
ˈʊː	ˈɒː	0.125
ˈʊː	ˈœː	0.125
ˈeː	ˈɪ	0.125
ˈeː	ˈiː	0.125
ə_#>	b_m_#>	0.115
d̥_#>	#>	0.107
ʀ	æ	0.074
