Latin	Emilian	probability
ˈɛ̃ː	ˈi	1.0
ˈu	ˈʌu̯	1.0
ˈoː_r	ˈʌu̯_r	1.0
ˈoː_n	ˈʌ_ŋ	1.0
ˈoe̯	ˈa	1.0
ˈo	-	1.0
ˈĩː	-	1.0
ˈiː_r	ˈiː	1.0
ˈe	ˈi	1.0
ˈaː_t	ˈɛ	1.0
ˈau̯	ˈɔː	1.0
ˈae̯	ˈiː	1.0
ʊ̃ː	ŋ	1.0
ɫ_ˈa	j_ˈa	1.0
ɫ_ãː	a	1.0
ɡʷ	ɡ	1.0
ɡ_ɫ	ʤ	1.0
ɡ_n	ɲ	1.0
ɛ̃	-	1.0
ɛ_r	r	1.0
ŋ	ŋ	1.0
uː	-	1.0
u	-	1.0
tː	t	1.0
tʰ	d	1.0
t_ɪ	θ	1.0
t_i	θ	1.0
s_i	z	1.0
rː	r	1.0
r_ʊ̃ː	e_r	1.0
p_ɫ	p_j	1.0
o	-	1.0
nː	-	1.0
n_i	ɲ	1.0
mː	-	1.0
lʲː	l	1.0
lʲ	l	1.0
kː	k	1.0
k_ˈa	k_ˈɛ	1.0
k_ʊ	ʧ	1.0
k_ɪ	θ	1.0
k_ɛ	e	1.0
k_t	t	1.0
k_r	k_r	1.0
k_i	θ	1.0
k_a	k_a	1.0
j	ð	1.0
ĩː	i_n	1.0
iː	i	1.0
f	f	1.0
eː	-	1.0
b_ɛ	v_e	1.0
b	b	1.0
ae̯	-	1.0
a	a	1.0
m	m	0.959
ãː	a	0.957
r	r	0.894
w	v	0.789
ɛ	e	0.754
ˈaː	ˈɛ	0.736
aː	a	0.721
ɫ	l	0.716
s	s	0.694
ɪ	-	0.693
p	p	0.685
ˈoː	ˈo	0.668
ˈiː	ˈe	0.653
e	-	0.652
ˈuː	ˈo	0.651
ʊ	-	0.608
oː	-	0.608
t	t	0.598
kʷ	k_w	0.589
lʲ_i	j	0.58
i	j	0.574
ɡ	ð	0.543
ɔ	u	0.531
d	d	0.524
ˈɪ	ˈa	0.487
d	-	0.476
n	ŋ	0.472
n	n	0.429
i	-	0.426
ˈa	ˈaː	0.424
lʲ_i	ˈɔː_l	0.42
ˈɛ	ˈɛ	0.406
ˈʊ	ˈʌ	0.403
ˈeː	-	0.402
ʊ	u	0.392
oː	u	0.392
ˈɔ	ˈɔː	0.386
k	ɡ	0.369
e	e	0.348
t	d	0.339
ˈoː	ˈʌu̯	0.332
ˈeː	ˈa	0.309
s	z	0.306
ˈɔ	ˈɔ	0.305
ˈuː	ˈuː	0.289
ˈeː	ˈiː	0.289
p	v	0.28
aː	-	0.279
ˈɪ	ˈa_j	0.275
ˈa	ˈɛ	0.271
ˈʊ	ˈʌu̯	0.265
ɔ	-	0.265
ˈa	ˈa	0.264
ɡ	-	0.26
k	θ	0.254
ɛ	-	0.246
ˈɛ	ˈæ	0.241
ˈʊ	ˈo	0.228
k	k	0.227
ɪ	i	0.221
ˈɛ	ˈɛː	0.22
kʷ	k	0.209
ɔ	e	0.204
kʷ	θ	0.202
ɡ	ɡ	0.196
ˈaː	ˈa	0.172
ˈiː	j	0.159
ɫ	j	0.151
k	-	0.149
ˈɪ	-	0.143
w	-	0.128
ˈiː	-	0.119
ˈɔ	ˈuː	0.118
ˈɔ	ˈo	0.106
ˈʊ	ˈɔ	0.104
n	ɲ	0.099
ˈɪ	ˈiː	0.095
ˈaː	ˈaː	0.091
ˈɔ	-	0.086
ɪ	ˈa	0.086
w	ˈɔː_v	0.083
ˈɛ	ˈa	0.078
ɫ	ʧ	0.073
ˈiː	ˈiː	0.069
ˈuː	-	0.061
ɫ	-	0.06
ˈɛ	ˈiː	0.055
