Saterland Frisian	Saterland Frisian	probability
ˈɛː_x	ˈœ_k	1.0
ˈɛː	-	1.0
ˈɔːɪ̯	ˈɛːi̯	1.0
ˈœː	ˈøː	1.0
ˈøː	ˈuː	1.0
ˈyː	-	1.0
ˈu	-	1.0
ˈoːu̯_d	ˈʊː_ʀ	1.0
ˈoː_l	ˈaː	1.0
ˈiːu̯	ˈeː_v	1.0
ˈeːu̯	ˈeː_v	1.0
ˈeː_#>	ˈi_#>	1.0
ˈaːu̯	-	1.0
ɪ	ə	1.0
ɡ	ɣ	1.0
ə_r	ʀ	1.0
ə_n	ə	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z_ə	ə	1.0
z	z̥	1.0
x_t	x	1.0
x_#>	#>	1.0
w	-	1.0
s_t	s	1.0
s_l	s_l	1.0
s_j	z	1.0
p	p	1.0
j_ˈoː	ˈeː	1.0
j_ə	ə	1.0
i	i	1.0
h_ˈeː	ɦ	1.0
h	ɦ	1.0
f_ˈɔː	v	1.0
f_#>	v̥_#>	1.0
f	v	1.0
d_r	d_ʀ	1.0
d_#>	#>	1.0
b	b	1.0
a	-	1.0
<#_ˈa	<#	1.0
<#_t	<#_d	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
v	β	0.931
r	ʀ	0.925
n	n	0.907
ə	ə	0.905
t	t	0.891
l	l	0.875
m	m	0.846
k	k	0.8
d	d̥	0.794
s	z	0.71
ɣ	ɣ	0.667
j	-	0.667
<#_j	<#_ɣ	0.667
x	ɣ̊	0.636
s_#>	z̥_#>	0.625
ˈa	ˈɑ	0.6
d_ə	j_ə	0.6
ˈeː	ˈɛː	0.571
ˈi	ˈiː	0.545
s_k	ʃ	0.533
ˈɛ	-	0.5
v_ə	ə_v̥	0.5
v_ə	ə	0.5
ˈɪ	ˈɪː	0.467
s_k	s	0.467
ˈi	ˈeː	0.455
ˈɔ	ˈɔ	0.444
ˈɔː	ˈaː	0.438
ˈaː	ˈɑ	0.429
ˈʊ	ˈʊː	0.412
ˈʊ	-	0.412
ˈa	ˈɪ	0.4
d_ə	j	0.4
s_#>	#>	0.375
ˈɔ	-	0.333
j	ˈeː	0.333
<#_j	<#_j	0.333
ˈɛ	ˈæː	0.3
ˈɛɪ̯	ˈøː	0.294
ˈɛɪ̯	-	0.294
s	s	0.29
ˈaː	ˈɛː	0.286
ˈaː	-	0.286
ˈuː	ˈuː	0.269
ˈɪ	-	0.267
ˈɔː	-	0.25
ˈoː	ˈu	0.25
ˈoː	-	0.25
ˈoːu̯	ˈʊː	0.238
ˈiː	ˈiː	0.235
ˈɔ	ˈaː	0.222
ˈeː	ˈeː	0.214
ˈeː	-	0.214
ˈɛ	ˈɑ	0.2
ˈuː	-	0.192
ˈɔː	ˈɑ	0.188
x	x	0.182
x	v̥	0.182
ˈɛɪ̯	ˈɒː	0.176
ˈiː	ˈɪː	0.176
ˈiː	ˈɛː	0.176
ˈiː	ˈɛ	0.176
ˈoː	ˈɔː	0.167
ˈuː	ˈoː	0.154
m	ə_m	0.154
d	d	0.147
ˈoːu̯	ˈɑː	0.143
ˈoːu̯	ˈoː	0.143
ˈɪ	ˈɛ	0.133
ˈɪ	ˈi	0.133
k	ə_k	0.133
ˈɔː	ˈɒː	0.125
ˈoː	ˈɒː	0.125
ˈoː	ˈi	0.125
ˈʊ	ˈɔ	0.118
ˈɛɪ̯	ˈi	0.118
ˈɛɪ̯	ˈeː_ʀ	0.118
ˈiː	ˈɒː	0.118
ˈiː	ˈæː	0.118
ˈuː	ˈʊː	0.115
ˈuː	ˈøː	0.115
ɣ	ɣ̊	0.111
ɣ	v	0.111
ɣ	k	0.111
ˈoːu̯	ˈʊː_ʀ	0.095
ˈoːu̯	ˈɔː	0.095
ˈoːu̯	ˈɔ	0.095
ˈoːu̯	ˈɒː	0.095
ˈoːu̯	ˈaː	0.095
n	-	0.093
ˈoː	n	0.083
ˈuː	ˈɔu̯	0.077
ˈuː	ˈœi̯	0.077
r	ə_ʀ	0.075
v	v̥	0.069
k	s	0.067
t	-	0.065
l	l_ə	0.062
ˈʊ	ˈʊ	0.059
d	-	0.059
