Catalan	Neapolitan	probability
f	f	1.0
i	i	1.0
j	-	1.0
ð	t	1.0
ʃ	ʃː	1.0
d	d	0.861
k	kː	0.071
r	ɾ	0.621
s	ʃ	0.301
w	ɾ_ə	0.081
ə	a	0.161
ɾ	-	0.121
ʒ	ʤː	0.1
m	mː	0.112
r	ɾ_ə	0.142
t	t_ə	0.072
u	ə	0.242
w	ʦː_ə	0.112
ɲ	ɲː	0.662
ʎ	lː_ə	0.232
ˈi	j_ˈɛ	0.062
ˈo	ˈu	0.732
n	n_t	0.23
w	w	0.133
ə	ə	0.753
ɲ	ɲː_ə	0.213
ʎ	j_ə	0.053
ʎ	l	0.513
ʒ	j	0.63
ˈe	j_ˈɛ	0.323
ˈi	ˈi	0.893
β	p	0.343
k	k	0.764
t	t	0.474
ŋ	ŋ_k	0.744
ɡ	ɡ	0.84
ɣ	k	0.274
ˈe	ˈa	0.104
ˈɔ	ˈɔ	0.424
b	b	0.085
b	v	0.915
k	k_ə	0.165
l	j	0.315
p	k	0.075
s	-	0.135
ˈo	ˈo	0.155
ˈɛ	ˈi	0.185
l	-	0.056
m	m	0.86
u	u	0.56
w	v_ə	0.06
ŋ	ŋ	0.256
ɡ	-	0.16
ɣ	ɡ	0.726
ɲ	nː	0.126
ˈa	ˈa	0.826
ˈe	ˈi	0.186
ˈe	ˈɛ	0.26
ˈɛ	ˈɛ	0.246
p	p	0.917
t	tː_ə	0.377
ʎ	-	0.07
ʒ	ʤ	0.27
ˈa	i_#>	0.07
ˈe	ˈe	0.127
ˈo	ˈo_n	0.07
β	v	0.657
l	l_ə	0.278
l	l	0.288
n	n	0.718
r	r	0.198
ɾ	ɾ	0.658
ˈu	ˈɔ	0.208
ˈɔ	ˈo	0.108
ˈɔ	w_ˈɔ	0.468
ˈɛ	j_ˈɛ	0.078
ˈɛ	ˈe	0.408
d	-	0.139
s	s	0.519
u	o	0.079
u	-	0.119
w	i	0.079
w	ə	0.499
ɾ	r	0.179
ˈa	ˈa_n	0.09
ˈu	ˈu	0.739
