Swabian	English	probability
a	-	0.488
a	əʊ̯	0.266
a	ə	0.246
b	b	0.715
b	v	0.12
b	f	0.115
b̥	p	1.0
b̥͡f	p	1.0
d	d	0.655
d	θ	0.18
d	ð	0.083
d	t	0.077
eə̯	ˈiː	1.0
f	f	0.633
f	p	0.293
f	v	0.051
h	h	1.0
i	ŋ	1.0
j	j	1.0
k	k	1.0
kʰ	kʰ	0.813
kʰ	ʧ	0.187
l	l	0.539
l	ɫ	0.446
m	m	0.832
m	-	0.168
n	n	0.813
n	-	0.187
s	s	0.571
s	t	0.345
t	d	1.0
x	t	0.543
x	k	0.249
x	ʧ	0.076
x	-	0.075
x	f	0.056
ç	k	0.376
ç	ʧ	0.328
ç	t	0.296
ŋ	ŋ	0.929
ŋ	-	0.071
ɐ	n	1.0
ə	-	1.0
ɡ	-	0.383
ɡ	ɡ	0.303
ɡ	ʤ	0.153
ɡ	k	0.137
ɪ	ɪ	1.0
ʁ	ɹ	0.82
ʁ	-	0.098
ʃ	ʃ	0.537
ʃ	s	0.463
ʋ	w	0.901
ʋ	-	0.053
ʌ	ə	1.0
ʕ	-	1.0
ʦ	tʰ	0.683
ʦ	t	0.317
ˈa	ˈæ	0.314
ˈa	ˈɑː	0.158
ˈa	ˈəʊ̯	0.111
ˈa	ˈɒ	0.11
ˈa	ˈeɪ̯	0.094
ˈa	ˈɐ	0.069
ˈa	ˈɔː	0.063
ˈa	ˈe	0.052
ˈae̯	ˈaɪ̯	0.305
ˈae̯	ˈəʊ̯	0.291
ˈae̯	ˈiː	0.213
ˈae̯	ˈe	0.09
ˈae̯	ˈaʊ̯	0.057
ˈao̯	ˈaʊ̯	0.492
ˈao̯	ˈiː	0.242
ˈao̯	ˈɐ	0.095
ˈao̯	ˈaɪ̯	0.089
ˈao̯	ˈe	0.082
ˈaː	ˈeɪ̯	0.476
ˈaː	ˈɑː	0.174
ˈaː	ˈɛ	0.132
ˈaː	ˈuː	0.124
ˈaː	ˈæ	0.093
ˈe	ˈɪ	0.919
ˈe	ˈe	0.05
ˈeə̯	ˈe	0.395
ˈeə̯	ˈiː	0.395
ˈeə̯	j	0.209
ˈeː	ˈɪ	0.52
ˈeː	ˈiː	0.233
ˈeː	ˈəʊ̯	0.155
ˈeː	ˈeɪ̯	0.093
ˈi	ˈɪ	0.366
ˈi	ˈiː	0.318
ˈi	ˈaɪ̯	0.13
ˈi	ˈe	0.089
ˈi	ˈɔː	0.087
ˈiə̯	ˈiː	0.672
ˈiə̯	ˈuː	0.2
ˈiə̯	ˈaɪ̯	0.128
ˈiː	ˈiː	0.685
ˈiː	j	0.135
ˈiː	ˈe	0.094
ˈiː	ə	0.087
ˈo	ˈɐ	0.556
ˈo	ˈʊ	0.103
ˈo	ˈaʊ̯	0.084
ˈo	ˈuː	0.06
ˈoː	ˈɐ	0.453
ˈoː	ˈiː	0.272
ˈoː	ˈe	0.157
ˈoː	ˈeɪ̯	0.053
ˈu	ˈɐ	0.49
ˈu	ˈɪ	0.244
ˈu	ˈe	0.225
ˈuə̯	ˈʊ	0.359
ˈuə̯	ˈɐ	0.298
ˈuə̯	ˈiː	0.226
ˈuə̯	ˈaʊ̯	0.117
ˈuː	ˈuː	0.786
ˈuː	ˈaʊ̯	0.214
ˈɔ	ˈɔː	0.475
ˈɔ	ˈɐ	0.223
ˈɔ	ˈaɪ̯	0.162
ˈɔ	ˈɒ	0.141
ˈɔe̯	ˈəʊ̯	0.579
ˈɔe̯	ˈe	0.229
ˈɔe̯	ˈuː	0.103
ˈɔe̯	ˈɒ	0.089
ˈɔə̯	ˈuː	1.0
ˈɔː	ˈiː	0.361
ˈɔː	ˈeɪ̯	0.176
ˈɔː	ə	0.175
ˈɔː	ˈəʊ̯	0.151
ˈɔː	ˈæ	0.074
ˈɔː	ˈɛ	0.063
ˈəi̯	ˈaɪ̯	0.75
ˈəi̯	ˈɪ	0.181
ˈəi̯	j	0.068
ˈɛ	ˈe	0.425
ˈɛ	ˈaɪ̯	0.158
ˈɛ	ˈiː	0.082
ˈɛ	ˈɜː	0.082
ˈɛ	ˈɔː	0.075
ˈɛ	ˈæ	0.054
ˈɛ	ˈɑː	0.051
ˈɛː	ˈeɪ̯	0.231
ˈɛː	ˈiː	0.231
ˈɛː	ˈɛ	0.231
ˈɛː	ˈe	0.158
ˈɛː	ˈɪ	0.149
ˈɪ	ˈɪ	0.746
ˈɪ	ˈaɪ̯	0.254
ˈʌ	ˈɜː	0.672
ˈʌ	ˈæ	0.328
