Ligurian	Occitan	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_z	<#_ʤ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʃ	f_l	1.0
<#_ʒ	v	1.0
<#_ʤ	<#_ʤ	1.0
<#_ʧ	p_l	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈaː	<#_a	1.0
<#_ˈø	<#_ɥ	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a_#>	ɔ_#>	1.0
a_l	a_l	1.0
a_v	a_β	1.0
a_ŋ	a_n	1.0
d	ɾ	1.0
d_u	t	1.0
j_a	ɾ_ɔ	1.0
k	k	1.0
l	l	1.0
l_u_#>	l_#>	1.0
m	m	1.0
n	n	1.0
o	-	1.0
p_u	p_#>	1.0
r_k	r_k	1.0
r_n	r	1.0
r_s	r_s	1.0
r_ˈa	ɾ_ˈa	1.0
s_t	s_t	1.0
t_r	t_ɾ	1.0
v_e	w_ɾ	1.0
v_e_#>	w_#>	1.0
v_u	w	1.0
w_ˈiː	ˈu_s	1.0
w_ˈɛː	ˈa_j	1.0
ŋ_#>	#>	1.0
ŋ_a	n_ɔ	1.0
ŋ_k	ŋ_k	1.0
ŋ_t	n_#>	1.0
ʃ	j_s	1.0
ʒ_e	ʦ_#>	1.0
ʤ_u_#>	l_#>	1.0
ʧ	k_l	1.0
ˈa	ˈa	1.0
ˈa_s	ˈa	1.0
ˈa_ŋ	ˈa_n	1.0
ˈa_ŋ_#>	ˈa_#>	1.0
ˈaː_#>	ˈa_#>	1.0
ˈaː_t	w_t	1.0
ˈe_j	ˈe	1.0
ˈe_j_#>	ˈe_#>	1.0
ˈe_k	ˈe_k	1.0
ˈe_ŋ	ˈe_n	1.0
ˈeː_#>	ˈɛ_#>	1.0
ˈeː_ʒ	ˈɛ_ʦ	1.0
ˈeː_ʤ	ʎ	1.0
ˈi	ˈi	1.0
ˈiː_#>	ˈi_#>	1.0
ˈu_ŋ	ˈu_n	1.0
ˈu_ŋ_#>	ˈu_#>	1.0
ˈɔ	ˈɔ	1.0
ˈɛː_#>	ˈa_t	1.0
ˈɛː_r	ˈɛ_r	1.0
<#_s	<#_e	0.111
r	-	0.061
u	u	0.471
ɡ	z	0.091
ɡ	ʤ	0.091
ˈaː	ˈa_l	0.111
#>	r_#>	0.12
#>	s_#>	0.32
#>	e_#>	0.32
<#	<#_u	0.2
<#	<#_ˈa	0.2
i	e	0.412
r	r	0.212
v	-	0.222
ɲ	n	0.222
ˈiː	ˈe	0.222
<#	<#_a	0.3
<#	<#_e	0.3
<#_l	<#_l	0.913
e_#>	#>	0.703
i	i	0.353
p	s	0.333
u_#>	#>	0.703
w	ɾ	0.273
ʒ	s	0.333
ʒ	z	0.333
ʒ	m	0.333
ʤ	ʎ	0.333
ʤ	ʤ	0.333
ʤ	l	0.333
ˈuː	ˈu	0.833
ˈy	ˈu	0.3
ˈɔː	ˈɔ	0.583
ˈɛ	j	0.333
#>	ɔ_#>	0.24
a	-	0.364
s	-	0.154
u	i_#>	0.294
z	ʧ	0.4
ɡ	ɣ	0.364
ˈe	ˈe	0.44
ˈu	ˈy	0.214
ˈø	ˈu	0.4
ˈøː	ɥ_ˈɔ	0.364
ˈɛː	e	0.4
b	β	0.5
b	-	0.5
e	a_s	0.125
i	-	0.235
j	d_ɾ	0.25
j	e	0.25
j	j	0.25
j	z_ˈa	0.25
u	-	0.235
ŋ	-	0.5
ŋ	ŋ	0.5
ɡ	k	0.455
ˈyː	ˈu	0.25
ˈyː	ˈy	0.75
a	a	0.636
s	s	0.846
t	ʧ	0.276
z	z	0.6
ˈe	ˈɛ	0.56
ˈu	ˈu	0.786
ˈø	ɥ_ˈɛ	0.6
ˈøː	ˈɔ	0.636
ˈɛː	ˈa	0.6
<#_l	<#_ˈe	0.087
e_#>	e_#>	0.297
p	s_p	0.667
r	ɾ	0.727
w	-	0.727
ˈeː	ˈɛ_l	0.167
ˈeː	j_ˈɛ	0.417
ˈeː	ˈɛ	0.417
ˈuː	ˈu_l	0.167
ˈy	ˈy	0.7
ˈɔː	ˈa_w	0.417
ˈɛ	ˈɛ	0.667
e	-	0.188
e	e	0.688
t	ð	0.138
t	-	0.138
t	t	0.448
v	β	0.778
ɲ	ɲ	0.778
ˈiː	ˈi	0.778
<#_s	<#_s	0.889
u_#>	e_#>	0.219
ˈaː	ˈa	0.889
