English	Middle English	probability
θ	θ	1.0
ˈɜː	ˈu_r	1.0
ˈaʊ̯	ˈuː	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ʃ	ʃ	1.0
ɹ	r	1.0
ɡ	ɡ	1.0
ɜː	r_ˈi	1.0
əʊ̯	ɔu̯	1.0
z	z	1.0
v	v	1.0
s	s	1.0
p	p	1.0
m	m	1.0
kʰ	k	1.0
k	k	1.0
h	h	1.0
d_ˈɪ	d_ˈeː	1.0
d_ˈe	d_ˈɛː	1.0
d	d	1.0
b	b	1.0
f	f	0.973
l	l	0.959
t	t	0.946
ˈaɪ̯	ˈiː	0.893
w	w	0.871
j	j	0.87
n	n	0.833
ˈəʊ̯	ˈɔː	0.832
ˈɪ	ˈi	0.827
ɫ	ɫ	0.779
ɪ	iː	0.716
ˈɐ	ˈu	0.697
ˈiː	ˈeː	0.658
ˈɔː	ˈɔ_r	0.628
ð	ð	0.597
ˈe	ˈɛ	0.596
ˈɛ	ˈɛ	0.588
ˈuː	ˈoː	0.547
ˈæ	ˈa	0.507
ˈʊ	ˈu	0.5
ˈʊ	ˈoː	0.5
ˈɑː	ˈa	0.499
ˈeɪ̯	ˈæi̯	0.474
ˈeɪ̯	ˈaː	0.474
ˈɒ	ˈɔ	0.447
ŋ	ŋ_ɡ	0.446
ˈɛ	ˈɛː	0.412
ð	d_ə	0.403
ŋ	ŋ	0.386
ə	r	0.347
ˈɒ	ˈɔː	0.329
ˈæ	ˈɔː	0.324
ˈiː	ˈɛː	0.305
ə	ə_r	0.292
ˈuː	ə	0.282
ˈe	ˈɛː	0.247
ˈɒ	ˈa	0.224
ə	r_ə	0.2
ˈɑː	ˈa_r	0.186
ˈɐ	ˈoː	0.174
ɫ	l	0.174
ˈuː	-	0.171
ˈæ	-	0.169
ŋ	n_ɡ	0.169
n	n_ə	0.167
ə	ə	0.162
ˈɔː	ˈa_r	0.157
ˈe	-	0.157
ɪ	ɛ	0.142
ɪ	i	0.142
ˈɪ	ˈɛː	0.131
j	ˈɛu̯	0.13
ˈɑː	ˈɛ_r	0.129
ˈɑː	ˈa_ɫ	0.129
w	ʍ	0.129
ˈɔː	r	0.107
ˈɔː	-	0.107
ˈaɪ̯	ˈi_ç	0.107
ˈəʊ̯	ˈɔu̯	0.084
ˈəʊ̯	-	0.083
ˈɐ	ˈɔː	0.082
ˈɑː	ˈau̯	0.057
t	ç_t	0.054
ˈeɪ̯	ˈɛi̯	0.052
