Dutch	Yiddish	probability
b	b	1.0
d	t	0.556
d	d	0.404
f	b	0.639
f	f	0.287
f	p	0.073
i	-	1.0
j	ˈɪ	0.651
j	j	0.349
k	k	0.585
k	χ	0.415
m	m	0.897
m	ɛ_m	0.067
n	n	0.947
p	f	0.922
p	p	0.078
s	ʃ	0.542
s	z	0.264
s	s	0.099
s	k_s	0.051
t	t	0.392
t	s	0.263
t	ʦ	0.178
t	d	0.105
v	f	0.823
v	b	0.168
w	-	0.5
w	ˈaɪ̯	0.5
z	z	0.845
z	ʃ	0.128
ŋ	ŋ	0.721
ŋ	ɡ	0.202
ŋ	k	0.076
ə	-	0.566
ə	ə	0.429
ɦ	h	0.977
ɪ	ɪ	1.0
ɫ	l	0.968
ɾ	ʀ	0.996
ʋ	v	1.0
ˈaː	ˈɔ	0.597
ˈaː	ˈɛ	0.19
ˈaː	ˈa	0.134
ˈaː	ˈɛɪ̯	0.079
ˈeː	ˈɛɪ̯	0.476
ˈeː	ˈɛ	0.412
ˈi	ˈɪ	0.49
ˈi	ˈɛ	0.282
ˈi	ˈaɪ̯	0.164
ˈi	-	0.064
ˈoː	ˈɔɪ̯	0.429
ˈoː	ˈɔ	0.202
ˈoː	ˈʊ	0.129
ˈoː	ˈɛ	0.111
ˈoː	ˈɛɪ̯	0.052
ˈoː	ˈa	0.052
ˈu	ˈʊ	0.637
ˈu	ˈɪ	0.363
ˈyː	ˈaɪ̯	0.716
ˈyː	ə	0.284
ˈøː	ˈɔ	1.0
ˈœy̯	ˈɔɪ̯	0.85
ˈœy̯	ˈaɪ̯	0.15
ˈɑ	ˈa	0.816
ˈɑ	ˈɔ	0.116
ˈɑ	ˈɛ	0.068
ˈɑu̯	ˈa	0.584
ˈɑu̯	l	0.281
ˈɑu̯	ˈɔɪ̯	0.135
ˈɔ	ˈʊ	0.71
ˈɔ	ˈɔ	0.248
ˈɛ	ˈɛ	0.362
ˈɛ	ˈɪ	0.268
ˈɛ	-	0.179
ˈɛ	ˈa	0.156
ˈɛi̯	ˈaɪ̯	0.496
ˈɛi̯	ˈɪ	0.197
ˈɛi̯	ʀ	0.162
ˈɛi̯	ˈɛɪ̯	0.144
ˈɪ	ˈɪ	0.882
ˈɪ	ˈa	0.073
ˈʏ	ˈɪ	0.568
ˈʏ	ˈɛ	0.432
χ	ɡ	0.513
χ	-	0.186
χ	χ	0.173
χ	k	0.128
