Portuguese	Brazilian Portuguese	probability
b	b	1.0
f	f	1.0
j̃	j̃	1.0
k	k	1.0
l	l	1.0
m	m	1.0
n	n	1.0
p	p	1.0
s	s	1.0
v	v	1.0
w	w	1.0
w̃	w̃	1.0
z	z	1.0
ɐ̃	ẽ	1.0
ɔ	o	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ɫ	w	1.0
ɲ	j̃	1.0
ʁ	h	1.0
ʎ	ʎ	1.0
ʒ	ʒ	1.0
ˈa	ˈa	1.0
ˈẽ	ˈẽ	1.0
ˈĩ	ˈĩ	1.0
ˈõ	ˈõ	1.0
ˈũ	ˈũ	1.0
ˈɛ	ˈɛ	1.0
β	b	1.0
i	e	0.621
ɾ	h	0.411
ˈe	ˈẽ	0.051
ˈu	ˈũ	0.21
t	ʧ	0.22
ð	ʤ	0.122
ɾ	ɾ	0.452
ˈɐ	ˈɐ̃	0.232
d	ʤ	0.293
u	u	0.913
ɐ	a	0.253
ɨ	e	0.3
ˈɐ̃	ˈẽ	0.083
j	j	0.914
ˈi	ˈi	0.644
ˈɔ	ˈɔ	0.844
ʃ	j_ʃ	0.115
ʃ	ʃ	0.885
ˈo	ˈõ	0.075
ˈo	ˈo	0.925
ɾ	ɦ	0.136
ˈi	ˈĩ	0.356
ˈɔ	ˈɔ_j	0.156
d	d	0.707
u	o	0.087
ɐ	ɐ	0.747
ɨ	i	0.7
ˈɐ̃	ˈɐ̃	0.917
t	t	0.78
ð	d	0.878
ˈɐ	ˈe	0.768
i	i	0.379
j	-	0.069
ˈe	ˈe	0.949
ˈu	ˈu	0.79
