Mainland North Frisian	Mainland North Frisian	probability
ˈɛi̯	-	1.0
ˈɔu̯_d	θ	1.0
ˈɔ	ˈɔ	1.0
ˈɒː_d	ˈa_t	1.0
ˈɒː	ˈa	1.0
ˈɒ	ˈa	1.0
ˈœː	ɡʷː	1.0
ˈai̯	-	1.0
ʃ	s_k	1.0
ʀ_#>	#>	1.0
ɡ	ɡ	1.0
ə_v̥	b	1.0
ə_l	l_s	1.0
z̥	θ_u	1.0
w	ɣ	1.0
v̥	f_s	1.0
tʲ	t	1.0
t_#>	#>	1.0
t	t	1.0
s	s	1.0
p	p	1.0
nʲ	n	1.0
m	m	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
d̥	θ	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
l	l	0.864
k	k	0.857
ʀ	r	0.829
x	h	0.714
n	n	0.667
j	-	0.667
d	d	0.667
<#_t	<#_t	0.667
v	w	0.632
ŋ	ŋ	0.625
ˈʊ	ˈu	0.6
ˈɔu̯	-	0.6
ˈaː	ˈi	0.6
dʲ	θ_s	0.6
#>	s_#>	0.585
ə	a	0.565
ˈuː	ˈɔː	0.556
ˈiː	ˈɛː	0.538
ˈɛː	ˈa	0.5
ˈɛː	-	0.5
ˈɛ	ˈi	0.5
ˈɛ	-	0.5
ˈi	ˈiː	0.5
ˈi	ˈi	0.5
ə_n	n	0.5
ə_n	i_f	0.5
lʲ	l_θ	0.5
lʲ	l	0.5
ˈuː	ˈa	0.444
ˈʏ	ˈuː	0.429
ˈyː	-	0.429
ˈeː	ˈa	0.429
<#	<#_h	0.429
ˈɔu̯	ˈeː	0.4
ˈœ	ˈoː	0.4
ˈœ	ˈa	0.4
ˈaː	-	0.4
dʲ	θ	0.4
ˈa	ˈi	0.357
j	ɡ	0.333
<#_t	<#_θ	0.333
ˈiː	ˈiu̯	0.308
ˈɔː	ˈa	0.3
ˈɔː	-	0.3
ˈʏ	ˈu	0.286
ˈʏ	-	0.286
ˈyː	ˈɔː	0.286
ˈyː	ˈɔ	0.286
ˈeː	ˈi	0.286
ˈeː	ˈeː	0.286
ˈa	ˈa	0.286
x	-	0.286
<#	<#_ˈu	0.286
<#	<#_ˈa	0.286
#>	n_#>	0.268
ŋ	ɡ	0.25
ˈa	-	0.214
ˈʊ	ˈa_ŋ	0.2
ˈʊ	w_ˈu	0.2
ˈɔː	ˈu	0.2
ˈɔː	ˈi	0.2
ˈœ	-	0.2
n	nː	0.167
n	n_d	0.167
d	θ	0.167
d	ð	0.167
v	β	0.158
ˈiː	ˈɛ	0.154
ˈa	ˈɛ	0.143
k	kʷ	0.143
l	lː	0.136
ŋ	ɡʷ	0.125
v	ʍ	0.105
v	-	0.105
ə	oː	0.087
ə	j_a	0.087
ə	-	0.087
#>	oː_#>	0.085
ə	s	0.065
#>	a_#>	0.061
ʀ	ˈɛ_r	0.057
ʀ	ˈɔ_r	0.057
ʀ	-	0.057
