Icelandic	Icelandic	probability
θ_ˈɪ	tʲ	1.0
ˈʏː	-	1.0
ˈʏ_nː	ˈɛ_n	1.0
ˈɛi̯	-	1.0
ˈɛ	-	1.0
ˈɔː	-	1.0
ˈœː	-	1.0
ˈu	ˈʊ	1.0
ˈou̯	-	1.0
ˈiː_j	ˈiː	1.0
ˈaːu̯	-	1.0
ˈau̯	-	1.0
ˈai̯	-	1.0
ʰt͡n̥	d_ɐ	1.0
ʰt_aːu̯	aɪ̯	1.0
ʰp	p	1.0
ʰk	ŋ_k	1.0
ʰc	ɡ	1.0
ʏ_r̥_#>	#>	1.0
ɪ_r̥	ɐ	1.0
ɣ_ʏ_r̥_#>	ˈaɪ̯_#>	1.0
ɣ	ç	1.0
ɡ̊ː	-	1.0
ɡ̊_ʏ	ɐ	1.0
ɡ̊	-	1.0
ɟ̊ː	-	1.0
ɟ̊	ɡ	1.0
ɛ	-	1.0
ɑu̯	-	1.0
ŋ_ɡ̊	ŋ	1.0
ŋ	ŋ	1.0
ç	h	1.0
v_a	f	1.0
u	-	1.0
t͡n̥	n	1.0
t͡l̥_ʏ	lʲ	1.0
t͡l̥	l	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
p	p	1.0
nː	ɾ	1.0
n_d̥	nʲ	1.0
n	n	1.0
m_ʏ	ə_m	1.0
m	m	1.0
l̥	l	1.0
kʰ_v	v	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈoːu̯	ˈɛ	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
c	k	1.0
b̥	b	1.0
a_r̥	ɐ	1.0
a	-	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_r̥	<#_r	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
s	s	0.979
t	t	0.933
l	l	0.923
a_#>	#>	0.85
ɪ	-	0.846
v_ʏ	f	0.8
tʰ	tʰ	0.8
r̥_#>	#>	0.781
ˈɑːu̯	-	0.778
ˈœːy̯	ˈɔa̯	0.714
ˈœ	-	0.714
r	r	0.7
ˈɛːi̯	ˈiː	0.667
ð	ɾ	0.667
r_t͡n̥	ɐ_n	0.667
<#	<#_j	0.667
v	v	0.654
ʰt	t	0.625
ˈɪː	ˈeː	0.6
ˈɑu̯	-	0.6
ˈi	ˈɪ	0.6
n̥	n	0.6
d̥	d	0.571
j	-	0.542
θ	tʰ	0.5
θ	d	0.5
ˈʏ	ˈʏ	0.5
ˈɛː	-	0.5
ˈɔu̯	x	0.5
ˈɔu̯	-	0.5
ˈɔ	ˈuː	0.5
ˈɔ	-	0.5
ˈuː	ˈʏ	0.5
ˈiː	ˈɪ	0.5
ˈaːi̯	ˈɛ	0.5
ˈaːi̯	-	0.5
#>	ç_#>	0.5
ˈaː	ˈɔː	0.455
ˈa	-	0.444
d̥	-	0.429
ˈɪː	ˈɛ	0.4
ˈɑu̯	ˈa	0.4
ˈi	-	0.4
n̥	kʰ_n	0.4
ˈuː	-	0.375
ʰt	x_t	0.375
r̥	ç	0.364
v	-	0.346
ˈɛːi̯	-	0.333
ʏ	ɐ	0.333
r_t͡n̥	ɐ	0.333
<#	<#_v	0.333
ˈiː	ˈiː	0.312
ˈɪ	ˈɪ	0.308
ˈɪ	ˈɛ	0.308
ˈœːy̯	ˈoː	0.286
ˈœ	ˈɛ	0.286
ˈaː	ˈa	0.273
ˈaː	-	0.273
r̥	f	0.273
ʏ	ə	0.267
ʏ	-	0.267
ˈɛː	ˈɪ	0.25
ˈɛː	ˈeː	0.25
#>	ɐ_#>	0.25
#>	s_#>	0.25
ˈɪ	-	0.231
ˈoːu̯	ˈɔ	0.231
ˈoːu̯	ˈœ	0.231
ˈoːu̯	-	0.231
ˈɑːu̯	ˈɔː	0.222
ˈa	ˈa	0.222
v_ʏ	e	0.2
tʰ	tʰ_v	0.2
r	ɐ	0.2
ˈiː	-	0.188
r̥	ɐ_x	0.182
r̥	x	0.182
ˈʏ	ˈʊ	0.167
ˈʏ	ˈœ	0.167
ˈʏ	-	0.167
j	ˈɛ	0.167
ˈɪ	ˈœ	0.154
ˈoːu̯	ˈʊ	0.154
ˈoːu̯	ˈoː	0.154
ɪ	ɐ	0.154
a_#>	ə_#>	0.15
ʏ	n	0.133
ð	x_t	0.133
ˈuː	ˈyː	0.125
r̥_#>	ɐ_#>	0.125
j	ˈiː	0.125
ˈa	ˈœ	0.111
ˈa	ˈeː	0.111
ˈa	j	0.111
ð	t	0.1
ð	-	0.1
r	-	0.1
r̥_#>	x_#>	0.094
j	ˈøː	0.083
j	ˈeː	0.083
l	l_ˈeː	0.077
t	-	0.067
