Campidanese	Western Lombard	probability
f	f	1.0
j	-	1.0
ŏ	-	1.0
p	p	1.0
rː	r	1.0
s	s	1.0
sː	s	1.0
ŋ	-	1.0
ɖː	-	1.0
ɲː	ɲ	1.0
ʤ	ʧ	1.0
ʧ	ʧ	1.0
β	v	1.0
b	b	0.261
ʣ	-	0.11
ˈu	ˈu	0.101
d	d	0.972
i	-	0.532
n	-	0.262
r	r	0.542
ɡ	ɡ	0.912
ˈa	ˈa	0.422
l	-	0.063
o	u	0.623
i	a	0.064
r	-	0.354
t	t	0.944
u	-	0.614
z	ʧ	0.194
ˈi	ˈɛ	0.124
ˈi	ˈeː	0.254
ˈo	ˈøː	0.14
a	-	0.125
a	a	0.875
e	-	0.475
m	-	0.105
m	m	0.895
u	a	0.375
w	-	0.105
w	w	0.895
ɣ	ɡ	0.285
ɣ	-	0.715
ˈe	ˈeː	0.355
ˈi	ˈe	0.055
r	j	0.086
t	t_e	0.056
z	-	0.806
ˈu	ˈyː	0.596
b	ʒ	0.087
i	i	0.127
l	l	0.937
ð	t	0.147
ð	-	0.197
ð	d	0.657
ˈi	ˈiː	0.347
b	v	0.638
e	a	0.058
e	e	0.468
n	n	0.738
o	y	0.098
ɡ	k	0.088
ˈa	ˈɑː	0.48
ˈe	ˈe	0.058
ˈe	-	0.058
ˈi	ˈi	0.188
ˈo	ˈuː	0.098
ˈo	ˈɔ	0.548
i	e	0.259
k	k	0.959
o	-	0.279
ʣ	l	0.89
ˈe	ˈɛ	0.529
ˈo	ˈu	0.139
ˈu	ˈuː	0.219
