Latin	Latin	probability
ˈʊ_ɫ	ˈuː	1.0
ˈɪ_lʲː	l_ˈeː	1.0
ˈɛ_rː	ˈɛː_r	1.0
ˈɛ_r	ˈɛː_r	1.0
ˈɛ_n	ˈe_ŋ	1.0
ˈɛ_d	ˈeː	1.0
ˈɔ_k	ˈø	1.0
ˈyː	ˈi	1.0
ˈuː_r	ˈyː	1.0
ˈu	w	1.0
ˈoː_s	w_ˈiː	1.0
ˈoː_r	ˈuː	1.0
ˈoe̯	ˈe	1.0
ˈo	-	1.0
ˈĩː	ˈi	1.0
ˈiː_n	ŋ	1.0
ˈi	-	1.0
ˈe	ˈiː	1.0
ˈaː_t	ˈɛː	1.0
ˈau̯	ˈɔː	1.0
ˈae̯	ˈeː	1.0
ˈa_p	ˈaː_v	1.0
ʊ̃ː_#>	#>	1.0
ʊ_ɫ	ʤ	1.0
ʊ_s	u	1.0
ʊ	u	1.0
ɫ_ãː	a	1.0
ɪ̃	-	1.0
ɡʷ	w	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃	e	1.0
ɛ_ɫ	j	1.0
uː	u	1.0
u	-	1.0
tː	t	1.0
tʰ	-	1.0
t_ˈaː	ɥ	1.0
t_ɛ̃ː	t_e	1.0
t_i	ʒ	1.0
t_e	s	1.0
t_ãː	a	1.0
sː_ʊ̃ː	s_u	1.0
s_ˈaː	s_ˈa	1.0
s_k	ʃ	1.0
s_i	ʒ	1.0
r_ˈa	r_ˈa	1.0
r_ʊ̃ː	u	1.0
r_ɛ̃ː	u	1.0
r_ɛ_#>	#>	1.0
r_n	r_n	1.0
p_ɫ	ʧ	1.0
o	-	1.0
nː	-	1.0
n_ʊ̃ː	ŋ	1.0
n_i	ɲ	1.0
mː	m	1.0
lʲː	l	1.0
lʲ_i	ʤ	1.0
lʲ	l	1.0
kː	k	1.0
k_ˈa	k_ˈa	1.0
k_ʊ̃ː	ɡ_u	1.0
k_ɫ	ʧ	1.0
k_ɛ̃ː	ʒ_e	1.0
k_t	t	1.0
k_s	ʃ	1.0
k_r	k_r	1.0
k_a	k_a	1.0
j	z	1.0
ĩː	i_ŋ	1.0
iː	i	1.0
fː	f	1.0
f	f	1.0
eː	e	1.0
e	-	1.0
ãː_#>	#>	1.0
ãː	a	1.0
au̯	ɔː	1.0
ae̯	e	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_k	1.0
<#_h	<#	1.0
<#_f_ɫ	<#_ʃ	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
ʊ̃ː	u	0.985
m	m	0.875
d	d	0.833
ˈɪ	ˈe	0.812
w	v	0.8
oː	u	0.8
t	t	0.788
p	p	0.776
s	s	0.75
ɛ̃ː	e	0.739
r	r	0.682
ˈaː	ˈaː	0.68
ˈa_ɫ	ˈaː	0.667
ˈa	ˈa	0.667
ŋ	ŋ	0.667
sː	ʃ	0.667
r_ãː	a	0.667
n	ŋ	0.667
b	b	0.667
a	a	0.667
ˈeː	ˈe	0.643
i	-	0.625
d_i	ʤ	0.6
aː	a	0.6
ɫ	-	0.588
ɛ	e	0.545
ˈɛ	ˈeː	0.536
ˈoː	ˈu	0.533
ˈʊ	ˈu	0.526
ɪ	-	0.5
ɡ	z	0.5
kʷ	k_w	0.5
ˈiː	ˈi	0.481
ˈuː	ˈy	0.471
ˈiː	ˈiː	0.407
d_i	z	0.4
aː	-	0.4
i	j	0.375
ɔ	w	0.364
ɔ	-	0.364
ˈeː	-	0.357
ˈa_ɫ	ˈaː_r	0.333
ɡ	-	0.333
sː	sː	0.333
r_ãː	j_a	0.333
k	s	0.333
a	-	0.333
ˈɛ	ˈe	0.321
ˈaː	ˈa	0.32
ˈuː	ˈyː	0.294
k	ɡ	0.282
ɪ	i	0.273
ɔ	u	0.273
r	-	0.273
ˈɔ	ˈøː	0.27
ˈʊ	ˈuː	0.263
kʷ	s	0.25
kʷ	k	0.25
ˈa	ˈaː	0.242
ɛ	-	0.242
ˈuː	-	0.235
n	n	0.231
ɪ	e	0.227
ˈɔ	ˈɔː	0.216
ˈɔ	ˈɔ	0.216
ɛ	j	0.212
ˈʊ	-	0.211
k	k	0.205
ˈoː	ˈuː	0.2
oː	w	0.2
ˈɔ	ˈu	0.189
ˈɪ	-	0.188
ɫ	l	0.176
ɡ	ɡ	0.167
ŋ	ŋ_ɡ	0.167
ŋ	n	0.167
d	-	0.167
b	v	0.167
b	-	0.167
s	z	0.15
ˈɛ	ˈɛ	0.143
w	-	0.143
ˈoː	ˈy	0.133
ˈoː	-	0.133
t	-	0.121
ɫ	ʤ	0.118
ɫ	j	0.118
ˈiː	-	0.111
ˈɔ	ˈø	0.108
n	ɲ	0.103
p	v	0.102
s	j	0.1
ˈa	ˈɛː	0.091
t	s	0.091
ɛ̃ː	u	0.087
ɛ̃ː	j_a	0.087
ɛ̃ː	a	0.087
p	-	0.082
k	ʤ	0.077
m	ŋ	0.075
w	ʒ	0.057
k	ʒ	0.051
k	-	0.051
