Campidanese	Ligurian	probability
d	d	1.0
f	f	1.0
nː	n	1.0
sː	-	1.0
w	w	1.0
ŋ	ŋ	1.0
ɖː	l	1.0
ɡ	ɡ	1.0
ʃː	ʃ	1.0
ʒ	ʒ	1.0
ʣ	ʤ	1.0
ʦ	s	1.0
i	e	0.631
n	ŋ	0.471
t	t	0.91
ɣ	-	0.11
ˈi	ˈe_j	0.051
a	a	0.792
b	-	0.132
b	b	0.182
k	-	0.052
l	-	0.182
o	w	0.592
r	-	0.432
z	-	0.82
ʧ	s	0.872
ˈo	ˈy	0.052
ˈo	ˈøː	0.172
ˈo	ˈu	0.342
k	k	0.93
o	u	0.313
p	p	0.963
rː	-	0.213
ð	d	0.153
ð	-	0.663
ˈo	ˈɔː	0.13
i	i	0.144
n	n	0.424
ð	t	0.184
ʤ	ʤ	0.374
ˈa	ˈa	0.614
ˈe	ˈɛː	0.114
β	v	0.874
a	-	0.135
j	-	0.105
j	ʤ	0.895
o	-	0.095
ˈe	ˈeː	0.225
ˈi	ˈi	0.435
ˈu	ˈy	0.185
e	j	0.116
e	-	0.246
i	a	0.066
n	-	0.096
t	-	0.06
u	u	0.806
ˈo	ˈuː	0.086
β	-	0.126
b	v	0.687
m	m	0.987
r	r	0.437
rː	r_n	0.787
ˈe	ˈɛ	0.07
ˈe	ˈe	0.477
ˈi	ˈe	0.287
ˈo	ˈø	0.07
ˈu	ˈu	0.327
e	e	0.638
i	u	0.08
l	l	0.818
r	j	0.088
z	z	0.18
ʤ	-	0.118
ʧ	ʧ	0.128
ˈa	ˈaː	0.298
ˈi	ˈiː	0.08
ˈi	ˈeː	0.118
ˈu	ˈyː	0.358
s	s	0.99
u	-	0.089
ɣ	ɡ	0.89
ʤ	z	0.509
ˈo	ˈɔ	0.119
ˈu	ˈuː	0.119
