Ripuarian	Alsatian	probability
b	b̥	0.959
d	d̥	0.612
d	t	0.388
e	eː	1.0
f	f	0.949
f	b̥	0.051
h	h	0.933
h	-	0.067
j	ɡ̊	0.751
j	j	0.249
k	kʰ	0.329
k	k	0.321
k	d̥	0.164
k	t	0.139
l	l	1.0
m	m	0.965
n	n	0.944
n	-	0.056
p	p͡f	0.678
p	f	0.188
p	p	0.134
s	s	0.919
s	ʃ	0.081
t	t	0.769
t	d̥	0.101
t	s	0.062
v	v	0.404
v	b̥	0.306
v	n	0.176
v	ʋ	0.071
x	x	0.778
x	ʃ	0.128
x	-	0.094
z	s	0.906
z	w	0.094
ŋ	n	0.654
ŋ	ŋ	0.346
ɐ	-	0.63
ɐ	ə	0.317
ɐ	ʁ_i	0.053
ɕ	ʃ	0.698
ɕ	k	0.167
ɕ	x	0.078
ɕ	j	0.057
ə	ə	0.812
ə	i	0.092
ə	-	0.078
ɣ	v	1.0
ɪ	i	1.0
ʀ	ʁ	1.0
ʃ	ʃ	1.0
ʋ	ʋ	0.9
ʋ	w	0.1
ʦ	ʦ	1.0
ˈa	ˈɒ	0.816
ˈa	ˈɒː	0.11
ˈa	ˈi	0.074
ˈaʊ̯	ˈøi̯	0.498
ˈaʊ̯	ˈɔi̯	0.196
ˈaʊ̯	ˈo	0.153
ˈaʊ̯	ˈʊː	0.153
ˈaː	ˈɒ	0.469
ˈaː	ˈɒː	0.462
ˈaː	ˈaː	0.068
ˈe	ˈi	0.889
ˈe	ˈe	0.054
ˈeɪ̯	ˈei̯	0.753
ˈeɪ̯	ˈəi̯	0.174
ˈeɪ̯	ˈi	0.072
ˈeː	ˈəi̯	0.41
ˈeː	ˈiː	0.227
ˈeː	ˈi	0.108
ˈeː	ˈæː	0.098
ˈeː	ˈeː	0.082
ˈeː	ˈei̯	0.075
ˈiː	ˈiː	0.537
ˈiː	ˈeː	0.321
ˈiː	ˈæː	0.142
ˈo	ˈu	0.685
ˈo	ˈoː	0.12
ˈo	ˈo	0.115
ˈo	ˈʊː	0.081
ˈoʊ̯	ˈø	0.5
ˈoʊ̯	ˈʊː	0.5
ˈoː	ˈʊː	0.472
ˈoː	ˈoː	0.187
ˈoː	ˈeː	0.094
ˈoː	ˈo	0.084
ˈoː	ˈæː	0.062
ˈu	ˈu	1.0
ˈuː	ˈyː	0.549
ˈuː	ˈoː	0.451
ˈyː	ˈiː	0.404
ˈyː	ˈeː	0.245
ˈyː	ˈe	0.156
ˈyː	ˈi	0.119
ˈyː	ˈu	0.076
ˈøʏ̯	ˈei̯	1.0
ˈøː	ˈiː	0.572
ˈøː	ˈai̯	0.296
ˈøː	ˈi	0.068
ˈøː	ˈɒː	0.064
ˈœ	ˈi	0.444
ˈœ	ˈe	0.287
ˈœ	ˈu	0.269
ˈɔ	ˈo	0.573
ˈɔ	ˈu	0.208
ˈɔ	ˈoː	0.149
ˈɔ	ˈyː	0.07
ˈɛ	ˈe	0.362
ˈɛ	ˈæ	0.259
ˈɛ	ˈi	0.108
ˈɛ	ˈəi̯	0.094
ˈɛ	ˈiː	0.073
ˈɛ	ˈɛ	0.072
ˈɛː	ˈæː	0.383
ˈɛː	ˈæ	0.222
ˈɛː	ˈe	0.203
ˈɛː	ˈɒː	0.083
ˈɛː	ˈaː	0.067
ˈɪ	ˈi	0.692
ˈɪ	ˈiː	0.191
ˈɪ	ˈe	0.117
ˈʊ	ˈu	1.0
ˈʏ	ˈi	0.493
ˈʏ	ˈiː	0.264
ˈʏ	ˈaː	0.243
