Faroese	Swiss German	probability
a	ə	0.915
b̥	b̥	1.0
d̥	t	0.615
d̥	d̥	0.362
f	f	0.954
h	h	1.0
j	-	0.299
j	ˈæ	0.188
j	h	0.182
j	tː	0.181
j	d̥	0.125
k	χ	0.641
k	-	0.308
kʰ	χ	0.926
kʰ	f	0.074
l	l	0.933
l	-	0.067
l̥	l	0.853
l̥	w	0.147
m	m	0.796
m	-	0.112
m	mː	0.092
mː	m	0.806
mː	mː	0.194
n	n	0.739
n	-	0.248
nː	n	0.591
nː	nː	0.327
n̥	ə	0.501
n̥	r_n	0.298
n̥	n	0.114
n̥	-	0.087
p	f	0.845
p	p͡f	0.155
r	-	0.665
r	r	0.335
s	s	0.624
s	ʃ	0.366
sː	sː	0.671
sː	s	0.329
t	-	0.251
t	sː	0.244
t	t	0.23
t	s	0.184
t	ʦ	0.092
tʰ	d̥	0.424
tʰ	ʦ	0.39
tʰ	t	0.11
tʰ	-	0.076
tː	p	1.0
v	ʋ	0.476
v	-	0.256
v	b̥	0.162
v	f	0.05
w	t	0.481
w	d̥	0.317
w	-	0.202
ŋ	ŋ	0.554
ŋ	-	0.413
ɑ	ə	1.0
ɛ	i	1.0
ɡ̊	ɡ̊	0.669
ɡ̊	-	0.331
ɡ̊ː	-	0.518
ɡ̊ː	ɡ̊ː	0.482
ɪ	ə	0.675
ɪ	-	0.284
ɲ	ŋ	1.0
ɹ	r	0.845
ɹ	-	0.111
ɹː	χ	1.0
ʃ	ʃ	0.795
ʃ	s	0.205
ʈ	ʦ	1.0
ʊ	-	0.775
ʊ	ə	0.196
ʎ	ˈo	1.0
ʤ̊	ɡ̊	0.522
ʤ̊	t	0.281
ʤ̊	-	0.198
ʤ̊ː	ɡ̊ː	0.755
ʤ̊ː	-	0.245
ʧ	χ	0.513
ʧ	ɡ̊	0.487
ʧʰ	χ	0.529
ʧʰ	d̥	0.292
ʧʰ	k	0.179
ʧː	n	1.0
ʰk	χ	1.0
ʰkː	ŋ_k	0.916
ʰkː	k	0.084
ʰp	fː	0.858
ʰp	p͡f	0.142
