Pennsylvania German	Nynorsk Norwegian	probability
b	b	1.0
d	d	0.364
d	-	0.303
d	tʰ	0.268
d	ç	0.035
d	t	0.034
f	f	0.621
f	ʋ	0.155
f	p	0.125
f	-	0.063
h	h	0.948
h	-	0.053
j	-	0.418
j	ɡ	0.364
j	j	0.209
k	ɡː	0.369
k	ɡ	0.329
k	ç	0.112
k	-	0.083
k	k	0.083
kʰ	kʰ	0.702
kʰ	ç	0.163
kʰ	-	0.111
l	l	0.849
l	-	0.07
l	lː	0.063
l	nː	0.027
l_t	lː	0.479
m	m	0.942
m	mː	0.057
m_ə	m	0.229
n	n	0.544
n	nː	0.325
n	-	0.113
n	m	0.027
p	ʋ	0.704
p	ʋ_ʉ	0.132
p	p	0.091
p͡f	pʰ	0.479
s	s	0.481
s	t	0.341
s	-	0.065
s	s_e	0.053
s	ʃ	0.051
t	-	0.453
t	t	0.255
t	d	0.254
t	ç	0.038
v	ʋ	0.752
v	-	0.12
x	-	0.181
x	k	0.181
x	ɡ	0.181
x	ʰtː	0.181
x_t	ʰtː	1.0
ç	ɡ	0.39
ç	k	0.25
ç	-	0.217
ç	ç	0.085
ç	s	0.05
ç_t	ʰtː	1.0
ŋ	ŋː	0.91
ŋ	ɲ	0.072
ŋ_k	ʰkː	1.0
ɑ	ɾ	0.511
ɑ	e	0.236
ɑ	-	0.144
ɑ	ɑ	0.043
ɑ	ɛ	0.038
ɑ_t	ɾ	1.0
ə	ɑ	0.632
ə	-	0.335
ə	e	0.033
ə_m	m	0.479
ɡ	ɡ	0.627
ɡ	j	0.278
ɡ	kʰ	0.079
ɣ	ɡ	0.608
ɣ	j	0.121
ɣ	-	0.072
ɪ	-	0.348
ɪ	e	0.348
ɪ	ŋ	0.089
ɪ	ɑ	0.089
ɪ	ˈœ	0.089
ɾ	ɾ	0.977
ɾ	-	0.033
ʃ	s	0.739
ʃ	s_k	0.159
ʃ	ʃ	0.08
ʋ	ʋ	0.48
ʋ	-	0.127
ʋ	ˈuː	0.108
ʋ	kʰ_ʋ	0.082
ʋ	v	0.052
ʋ_ˈɔ	ˈʉ	1.0
ʦ	tʰ	0.557
ʦ	t	0.169
ʦ	d	0.111
ʦ	ç	0.083
ʦ	çː	0.06
ˈa	ˈɑ	0.541
ˈa	ˈɑː	0.149
ˈa	ˈɔ	0.073
ˈa	ˈɛ	0.063
ˈa	ˈʊ	0.042
ˈaɪ̯	ˈiː	0.466
ˈaɪ̯	ˈyː	0.219
ˈaɪ̯	ˈɛ	0.166
ˈaɪ̯	ˈeː	0.054
ˈaɪ̯	ˈæɪ̯	0.054
ˈaʊ̯	ˈʉː	0.864
ˈaʊ̯	ˈœʏ̯	0.068
ˈaʊ̯	ˈʉ	0.048
ˈaː	ˈɑ_ɾ	0.185
ˈaː	ˈɔ	0.167
ˈaː	ˈʊ_ɾ	0.167
ˈaː	ɾ	0.14
ˈaː	ˈɑː	0.14
ˈeː	ˈæɪ̯	0.199
ˈeː	ˈoː	0.121
ˈeː	ˈøː	0.115
ˈeː	ˈæɪ̯_n	0.097
ˈeː	ˈœʏ̯	0.07
ˈiː	ˈyː	0.351
ˈiː	ˈøː	0.282
ˈiː	ˈʉː	0.182
ˈiː	ˈeː	0.089
ˈiː	ˈiː	0.063
ˈoː	ˈoː	0.595
ˈoː	ˈœʏ̯	0.144
ˈoː	ˈɔ	0.144
ˈoː	ˈæʉ̯	0.099
ˈoː_t	ˈæʉ̯	1.0
ˈuː	ˈuː	0.702
ˈuː	ˈʉː	0.282
ˈuː_t	ˈuː	1.0
ˈɔ	ˈʉ	0.369
ˈɔ	ˈɔ	0.207
ˈɔ	ˈʏ	0.157
ˈɔ	ˈoː	0.107
ˈɔ	ˈʉː	0.107
ˈɔɪ̯	ˈɛ	1.0
ˈɔː	ˈɑː	0.285
ˈɔː	ˈoː	0.222
ˈɔː	ˈæʉ̯	0.222
ˈɔː	ˈɑ	0.152
ˈɔː	ˈœʏ̯	0.07
ˈɛ	ˈɛ	0.414
ˈɛ	ˈeː	0.22
ˈɛ	j	0.131
ˈɛ	-	0.099
ˈɛ	ˈʉ	0.059
ˈɛː	ˈɛ	0.274
ˈɛː	ˈʏ	0.158
ˈɛː	ˈæ	0.111
ˈɛː	ˈœ	0.111
ˈɛː	ˈɛː	0.108
ˈɪ	ˈɪ	0.409
ˈɪ	ˈʏ	0.224
ˈɪ	ˈeː	0.118
ˈɪ	ˈiː	0.076
ˈɪ	j	0.065
ˈʊ	ˈʊ	0.308
ˈʊ	ˈʏ	0.223
ˈʊ	ˈʉ	0.194
ˈʊ	ˈuː	0.169
ˈʊ	-	0.081
