Hessian	Elfdalian	probability
ˈɛ̃ː	ˈoː	1.0
ˈɛː	-	1.0
ˈɑ̃i̯	ˈɪː_n	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈuː	ˈʉːə̯	1.0
ˈõː	ˈʉː	1.0
ˈoi̯_s	ɑ̃	1.0
ˈoi̯	ˈʏː	1.0
ˈoĩ̯	ˈɪː_ʉ	1.0
ˈĩː	ˈyːœ̯_n	1.0
ˈẽː	ˈœː	1.0
ˈeː	ˈʉː	1.0
ˈãː	ˈiːe̯	1.0
ˈau̯	ˈɑːu̯	1.0
ˈa_l	ˈɔː	1.0
ʦ_v	tʰ	1.0
ʃ_d̥	s_t	1.0
ʀ	r	1.0
ɛː	ɔ̃	1.0
ɑ	ɑ	1.0
ɐ_n	nː	1.0
ŋ_ɡ̊	kː	1.0
ŋ	ŋ_ɡ	1.0
z̥	t	1.0
v̥	p	1.0
v_ˈo	ˈʉ	1.0
p	b	1.0
oː	ˈœː	1.0
n_s	sː	1.0
l_ˈi	ɽ_j	1.0
kʰ	kʰ	1.0
j	-	1.0
i	ʉ_ŋ	1.0
m	m	0.901
f	f	0.841
ə	ɑ	0.78
ɐ	r	0.778
ˈai̯	ˈɑːi̯	0.767
ˈu	ˈʉ	0.746
s	s	0.722
ˈɔ	ˈʉə̯	0.721
b̥	b	0.693
ˈi	ˈɪ	0.673
l	ɽ	0.669
ˈɑ	ˈɑ	0.647
ɣ̊	ɣ	0.629
ʒ̊	-	0.621
x	k	0.611
ˈoː	ˈoː	0.601
ˈe	ˈɛ	0.592
ˈo	ˈʉ	0.577
ˈiː	j_ˈʉːə̯	0.559
v	w	0.527
æ̆	r	0.491
ˈa	-	0.488
æ̆	ɛ_r	0.459
k	-	0.444
ɡ̊	ɡ	0.43
ˈo	-	0.423
ʦ	tʰ	0.417
n	n	0.411
ˈaː	ˈœː	0.41
ˈe	-	0.408
ˈoː	-	0.399
d̥	ð	0.393
x	ɣ	0.389
ʒ̊	ɣ	0.379
ɣ̊	-	0.371
ʦ	tː	0.36
ˈa	ˈɑː	0.343
ˈɛ	-	0.333
t	d	0.32
ˈaː	-	0.314
d̥	d	0.314
b̥	v	0.307
ɡ̊	-	0.304
ˈɑː	ˈɑ_r	0.296
ˈɔ	-	0.279
ˈɑː	ˈɑː	0.279
ˈaː	ˈiːe̯	0.276
v	-	0.272
ɡ̊	ʥ	0.267
ˈɑː	ˈɔː	0.257
t	t	0.256
ˈu	-	0.254
ˈɛ	ˈɛ	0.25
ˈɛ	ˈæ	0.25
ˈiː	-	0.249
t	tʰ	0.24
k	ɡ	0.24
ˈai̯	-	0.233
ʦ	t	0.224
ʃ	k	0.222
n	nː	0.222
k	kʰ	0.203
ˈɑ	-	0.202
ʃ	s_k	0.202
ʃ	s	0.202
v	v	0.201
ʃ	ɣ	0.194
ˈiː	ˈʉːə̯	0.192
t	ð	0.184
ʃ	s_ʨ	0.18
n	n_d	0.174
ɐ	ˈʉːə̯	0.173
n	-	0.172
d̥	tʰ	0.17
ˈa	ˈɑ	0.169
ˈɛ	j	0.167
ˈɑː	-	0.167
ə	ɔ	0.167
s	t	0.166
ˈɑ	ˈɔ̃ː	0.15
l	l	0.149
l	lː	0.135
k	ʥː	0.113
s	s_j	0.112
m	mː	0.099
ˈi	-	0.097
f	v	0.092
ˈi	ˈʏ	0.08
ˈi	j	0.08
d̥	-	0.078
f	pʰ	0.067
ə	ɛ_n	0.054
