Swabian	Middle English	probability
ˈɪ	ˈi	1.0
ˈɔə̯	ˈoː	1.0
ˈɔe̯	ˈɔː	1.0
ˈɔ	ˈɔ	1.0
ˈuː	ˈuː	1.0
ˈu_ɡ	ˈi_ʤ	1.0
ˈiə̯_ɡ	ˈiː	1.0
ˈiə̯	ˈeː	1.0
ˈeə̯	ˈɛ	1.0
ˈe	ˈi	1.0
ˈaː_ɡ	ˈæi̯	1.0
ʦ	t	1.0
ʕ	r	1.0
ʃ_l	s_l	1.0
ʃ_d	s_t	1.0
ɪ	iː	1.0
t	d	1.0
m	m	1.0
kʰ	k	1.0
j	j	1.0
i	ŋ	1.0
h	h	1.0
eə̯	eː	1.0
e	ə	1.0
d_ʁ	d_r	1.0
ʋ	w	0.923
ʁ	r	0.901
n	n	0.893
ˈəi̯	ˈiː	0.833
ʃ	ʃ	0.783
ˈuə̯	ˈoː	0.754
a	ə_n	0.735
f	f	0.732
ʌ	ə_r	0.701
ˈɔː	ˈɛː	0.688
ˈo	ˈu	0.673
b	b	0.663
ˈiː	ˈeː	0.659
ˈɛ	ˈɛ	0.655
ˈao̯	ˈuː	0.609
ˈɛː	-	0.6
s	s	0.599
ˈoː	ˈɛː	0.592
l	l	0.581
ˈu	ˈu	0.564
d	d	0.562
x	x	0.553
ˈeː	-	0.509
ŋ	ŋ_ɡ	0.505
ˈaː	ˈa	0.5
ˈaː	-	0.5
ˈeː	ˈeː	0.491
x	ç	0.447
ç	k	0.445
ˈu	-	0.436
ˈi	ˈi	0.413
ˈɛː	ˈi	0.4
ˈi	-	0.395
ˈa	ˈa	0.391
l	ɫ	0.385
s	t	0.356
ˈiː	-	0.341
b	v	0.337
ˈa	ˈɔː	0.329
ˈae̯	ˈeː	0.327
ç	ç	0.313
ˈɔː	-	0.312
ɡ	k	0.305
ɡ	ɡ	0.283
ˈao̯	ˈɛː	0.276
d	θ	0.276
ŋ	n_ɡ	0.271
ˈae̯	ˈɔː	0.268
ˈae̯	ˈiː	0.268
ˈuə̯	-	0.246
ç	ʧ_ə	0.242
ˈa	ˈaː	0.229
ʌ	r	0.223
ŋ	ŋ	0.223
ʃ	s	0.217
f	p	0.211
ˈoː	-	0.205
ˈoː	ˈu	0.203
ˈi	ˈiː	0.192
ˈəi̯	ˈeː	0.167
ˈɛ	ˈiː	0.156
a	n	0.154
ˈae̯	-	0.138
ˈo	ˈɔ	0.126
ˈo	-	0.117
ˈao̯	ˈæi̯	0.114
ɡ	ə	0.112
ɡ	ˈæi̯	0.108
ɡ	ˈiː	0.107
n	-	0.107
ʁ	r_ˈeː	0.099
ˈo	ˈoː	0.084
ˈɛ	ˈɛː	0.079
ˈɛ	-	0.077
ʋ	ʍ	0.077
ʌ	r_ə	0.076
d	t	0.066
a	ə	0.065
d	ð	0.064
f	v	0.057
ɡ	j	0.05
