Spanish	Spanish	probability
θ_ˈe	ʃ_e	1.0
θ_a	ɾ_ɜ	1.0
θ_#>	w_#>	1.0
β_o	p	1.0
β_e	w	1.0
ˈo_n_#>	ˈo_#>	1.0
ˈi_o	ˈi_w	1.0
ˈe_θ	w	1.0
ˈe_β	w	1.0
ˈe_ʧ	ˈi_t	1.0
ˈe_ɣ	k	1.0
ˈe_x	ˈæ_ʎ	1.0
ˈe_j	ˈi	1.0
ˈa_ð	ˈa_t	1.0
ˈa_n_o_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʝ_o_#>	ʎ_#>	1.0
ʝ_a	l_ɐ	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_n	r_n	1.0
ɾ_k	r_k	1.0
ɾ_#>	r_#>	1.0
ɡ_o	k	1.0
ŋ	ŋ	1.0
ð_ɾ	ɾ	1.0
ð_o	t	1.0
x_o_#>	ʎ_#>	1.0
t	t	1.0
s_o_#>	s_#>	1.0
s_#>	s_#>	1.0
r	r	1.0
n_ˈi	n_d	1.0
n_o_#>	#>	1.0
n_#>	#>	1.0
l_e	ʎ_e	1.0
l_#>	l_#>	1.0
k_ˈo	k_ˈu	1.0
k_o_#>	k_#>	1.0
k	k	1.0
i	i	1.0
f	f	1.0
e_#>	#>	1.0
b_ɾ_e_#>	#>	1.0
a_θ	a	1.0
a_m	a_m	1.0
<#_θ	<#_s	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_x	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
m	m	0.973
o_#>	#>	0.962
p	p	0.944
w_ˈe	ˈɒ	0.913
n	n	0.906
ˈi	ˈi	0.897
ˈu	ˈu	0.87
s	s	0.841
ɡ	ɡ	0.833
d	d	0.833
ɲ	ɲ	0.8
ð	ð	0.8
<#	<#_f	0.722
x	ʎ	0.714
l	l	0.708
ʧ	t	0.667
w	ˈɒ	0.667
j_ˈe	ˈe	0.647
ɣ	ɣ	0.643
θ	-	0.615
u	-	0.6
b	v	0.588
o	o	0.586
ɾ	ɾ	0.576
β	β	0.5
ʝ	ʤ	0.5
ʝ	ʎ	0.5
n_a	n_e	0.5
n_a	n	0.5
#>	l_#>	0.5
#>	e_#>	0.5
ˈo	ˈo	0.455
j	-	0.455
e	e	0.452
a	ɐ	0.447
ɟ͡ʝ	p_l	0.444
ˈe	ˈæ	0.442
b	b	0.412
u	u	0.4
θ	s	0.385
j	j	0.364
j_ˈe	ˈæ	0.353
ˈo	ˈɒ	0.341
ʧ	ˈi_t	0.333
ɟ͡ʝ	ʤ	0.333
w	w	0.333
ɾ	r	0.288
x	ʃ	0.286
β	v	0.25
ˈe	ˈe	0.233
ɟ͡ʝ	k_l	0.222
ɣ	k	0.214
a	ɜ	0.212
o	-	0.207
ɲ	-	0.2
ð	t	0.2
j	ˈæ	0.182
ɡ	k	0.167
l	-	0.167
d	-	0.167
<#	<#_ʤ	0.167
a	ɞ	0.165
a	a	0.153
ɣ	ɡ	0.143
ˈu	-	0.13
e	ˈæ	0.129
e	ɞ	0.129
β	w	0.125
β	-	0.125
l	ʎ	0.125
ˈe	ˈi	0.116
s	z	0.114
<#	<#_ʎ	0.111
ˈi	ˈe	0.103
e	-	0.097
n	-	0.094
w_ˈe	ˈo	0.087
ɾ	ɾ_ɜ	0.085
ˈe	w	0.07
ˈe	-	0.07
o	ˈæ	0.069
o	ɾ	0.069
o	e	0.069
ˈo	ˈu	0.068
ˈo	ˈa_l	0.068
ˈo	-	0.068
e	o	0.065
e	i	0.065
e	f_o	0.065
p	-	0.056
ɾ	-	0.051
