Occitan	Venetian	probability
a	a	0.859
b	b	0.916
b	-	0.084
d	d	1.0
e	e	0.472
e	o	0.271
e	i	0.114
e	a	0.055
f	f	1.0
i	i	0.476
i	j	0.165
i	ˈi	0.149
i	o	0.131
i	ˈo	0.08
j	-	0.511
j	d_e	0.193
j	ˈi	0.164
j	t	0.07
j	j	0.054
k	k	0.802
k	ɡ_o	0.136
l	ɰ	0.318
l	j	0.18
l	o	0.17
l	l	0.16
l	-	0.063
m	m	0.871
m	ŋ	0.075
n	n	0.543
n	ŋ_t	0.168
n	ŋ	0.123
n	ɲ	0.082
p	p	0.956
r	r	0.911
r	r_n	0.072
s	s	0.889
s	-	0.057
t	t	0.735
t	-	0.145
t	d_o	0.086
u	o	0.807
u	e	0.072
v	v	1.0
w	-	0.286
w	v_e	0.218
w	o	0.196
w	l	0.158
w	ˈa	0.077
y	j	1.0
z	z	0.368
z	-	0.344
z	s	0.165
z	ʧ	0.086
ð	-	0.579
ð	d	0.385
ŋ	ŋ	1.0
ɔ	a	0.992
ɡ	ɡ	0.934
ɡ	ʤ	0.05
ɣ	ɡ	0.883
ɣ	-	0.06
ɣ	w	0.056
ɥ	ˈo	0.645
ɥ	-	0.257
ɥ	v	0.099
ɲ	ɲ	0.962
ɾ	r	0.879
ʎ	ʧ	0.257
ʎ	-	0.224
ʎ	j	0.224
ʎ	ɡ	0.148
ʎ	ʤ	0.148
ʒ	z	0.63
ʒ	-	0.327
ʤ	d	0.564
ʤ	ɡ	0.213
ʤ	z	0.187
ʦ	z	0.738
ʦ	s_o	0.262
ʧ	t_o	0.525
ʧ	t	0.237
ʧ	z	0.147
ʧ	k	0.074
ˈa	ˈa	0.957
ˈe	ˈe	0.772
ˈe	ˈɛ	0.102
ˈe	e	0.054
ˈi	ˈi	0.93
ˈu	ˈo	0.674
ˈu	ˈu	0.132
ˈu	ˈɔ	0.076
ˈy	ˈu	0.725
ˈy	ˈo	0.16
ˈɔ	ˈɔ	0.559
ˈɔ	ˈo	0.441
ˈɛ	ˈɛ	0.522
ˈɛ	ˈe	0.375
ˈɛ	-	0.055
β	v	0.814
β	b	0.092
β	p	0.051
