Insular North Frisian	Elfdalian	probability
ˈʏ_ç	rː	1.0
ˈɛː	-	1.0
ˈɔː_p	pː	1.0
ˈɔa̯_l	ˈɔː	1.0
ˈœ_ç	ʥː	1.0
ˈiː_ɐ	a	1.0
ˈaː	ˈɑ	1.0
ʃ	s	1.0
ʁ̥	r	1.0
ɪ	ʉ	1.0
ɡ	ʥ	1.0
ə_f	v	1.0
ŋ_k	kː	1.0
ŋ	ŋ_ɡ	1.0
x_t	tː	1.0
x	-	1.0
tʲ	tʰ_j_ˈo	1.0
tʰ	tʰ	1.0
s_l	l̥	1.0
pʰ	pʰ	1.0
p	p	1.0
nʲ	n	1.0
lʲ	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h_ˈɔː	ˈɔ	1.0
e	-	1.0
b	b	1.0
aɪ̯	ɔ̃	1.0
s	s	0.976
m	m	0.918
r	r	0.903
ɾ	ð	0.827
n	n	0.78
f	f	0.761
ˈaʊ̯	-	0.718
t	t	0.709
v	w	0.693
k	k	0.684
ə	-	0.678
ˈɔa̯	ˈœː	0.661
ˈyː	-	0.66
ˈɔ	-	0.654
ˈøː	-	0.647
l	ɽ	0.622
ˈɛ	-	0.605
ˈaɪ̯	ˈɛ	0.59
ˈuː	-	0.579
ˈœ	-	0.556
d	d	0.503
h	ˈoː	0.5
h	j	0.5
ɐ	r	0.49
ˈʏ	ˈɑːu̯	0.463
ˈa	ˈɑ	0.463
ˈʊ	ˈʉ	0.445
ˈɪ	ˈɪ	0.438
ç	ɣ	0.432
ˈoː	-	0.424
ˈaɪ̯	ˈɑː_ɣ	0.41
ˈoː	ˈœː	0.36
ˈøː	ˈʉːə̯	0.352
ˈa	-	0.35
ˈɔ	ˈʉːə̯	0.346
ç	-	0.343
ˈyː	ˈʏː	0.34
ˈɔa̯	-	0.339
ˈɔː	ˈɔː	0.338
ˈɔː	ˈɑː	0.335
ˈɔː	-	0.327
ə	ɛ	0.322
k	ʨ	0.316
ɐ	ɛ_r	0.297
ˈaʊ̯	ʏ	0.282
d	tʰ	0.281
ˈeː	-	0.279
ˈuː	ˈʉə̯	0.272
ˈœ	ˈʉːə̯	0.258
ˈʏ	-	0.242
ˈʊ	-	0.239
ˈeː	ˈɛ	0.239
f	v	0.239
ˈɪ	ˈɑːi̯	0.228
ˈiː	j	0.227
ˈiː	ˈiːe̯	0.225
ç	ɡː	0.225
ˈoː	ˈoː	0.216
ˈiː	ˈɪː	0.212
ˈʊ	ˈɪ	0.195
ˈɪ	-	0.192
ˈa	ˈæ	0.188
ˈœ	ˈɑ	0.186
v	-	0.181
ˈiː	ˈɑːi̯	0.179
n	nː	0.174
ɾ	-	0.173
l	lː	0.169
ˈiː	-	0.157
ˈʏ	ˈʉː	0.154
ˈuː	ˈo	0.149
ˈeː	j	0.147
ˈɪ	ˈɪː	0.142
ˈeː	ˈyːœ̯	0.14
d	tː	0.14
v	w_ˈɛː	0.127
ɐ	-	0.124
l	l	0.121
ˈʊ	ˈʉːə̯	0.12
ˈɛ	ˈɪ	0.117
t	-	0.116
ˈɛ	ˈʉ	0.113
ˈʏ	ˈʏ	0.102
t	tː	0.102
ˈɛ	ˈɛ	0.101
ˈeː	ˈɑ	0.098
ˈeː	ˈɪː	0.097
r	ˈʉə̯	0.097
ɐ	nː	0.089
l	-	0.088
m	mː	0.082
d	-	0.076
t	d	0.073
