Middle High German	American English	probability
ˈɛ_l	ˈɛ_ɫ	1.0
ˈɑ_ɡ	ˈeɪ̯	1.0
ˈɑ_n	ˈu	1.0
ˈøː	ˈi	1.0
ˈøy̯	-	1.0
ˈæː	ˈi	1.0
ˈyə̯	ˈi	1.0
ˈu_r	ˈɝ	1.0
ˈou̯	ˈi	1.0
ˈo_n	ˈʌ_n	1.0
ˈiə̯_ɡ	ˈaɪ̯	1.0
ˈi_r	ˈi	1.0
ˈeː	ˈoʊ̯	1.0
ʦː	ʔ	1.0
ʃː	ʃ	1.0
ɛ	t_i	1.0
ə_ɡ̊	i	1.0
ə_r	ɚ	1.0
ə_l	ɫ	1.0
ɑː	ˈi	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
x_t	ʔ	1.0
v	f	1.0
tː	d	1.0
t_ə	ð	1.0
s̻	ʔ	1.0
s_ə	z	1.0
s	s	1.0
r_ə	ɚ	1.0
r_n	ɹ_n	1.0
p	p	1.0
oː	n	1.0
ou̯	ˈi	1.0
nː	n	1.0
n_ə	n	1.0
mː	m	1.0
m	m	1.0
lː	ɫ	1.0
l_ə	ɫ	1.0
kʰ_n	n	1.0
k	k	1.0
j	j	1.0
i	i	1.0
fː	p	1.0
d̥	d	1.0
d_ə	d	1.0
b_ə	v	1.0
b	b	1.0
w	w	0.932
ə	-	0.915
f	p	0.825
h	h	0.781
d	θ	0.772
ˈei̯	ˈoʊ̯	0.763
ˈe	ˈɛ	0.742
kʰ	kʰ	0.718
x	k	0.697
ˈu	ˈʌ	0.693
l	ɫ	0.662
kː	ʤ	0.656
ˈi	ˈɪ	0.645
ʦ	tʰ	0.634
ˈy	ˈɪ	0.63
xː	k	0.618
ɡ	ɡ	0.615
ˈiə̯	ˈi	0.605
ˈuː	ˈaʊ̯	0.589
t	d	0.588
p͡f	p	0.569
ʃ	s	0.533
ˈɑ_l	ˈæ	0.522
r	ɹ	0.52
ˈyː	ˈaɪ̯	0.507
ˈoː	ˈɛ	0.504
s̻ː	ʔ	0.5
s̻ː	ɾ	0.5
ˈoː	-	0.496
ˈyː	-	0.493
ˈiː	ˈaɪ̯	0.491
ˈɑː	ˈi	0.489
n	-	0.48
ˈɑ_l	ˈoʊ̯_ɫ	0.478
ʃ	ʃ	0.467
n	n	0.462
p͡f	pʰ	0.431
xː	ʧ	0.382
ˈy	-	0.37
ˈo	ˈɔ	0.37
ˈiː	ˈʌɪ̯	0.364
ˈɛ	-	0.347
kː	-	0.344
l	l	0.338
t	t	0.332
ˈɑː	-	0.324
ˈuə̯	ˈu	0.319
ˈo	-	0.31
ˈu	-	0.307
ˈɛ	ˈɛ	0.306
x	ˈʌɪ̯	0.303
ˈuː	ˈʌ	0.293
kʰ	ʧ	0.282
ɡ	-	0.271
ˈuə̯	ˈʌ	0.258
ˈuə̯	ˈʊ	0.258
ˈe	-	0.258
r	ɚ	0.254
ˈɑ	ˈeɪ̯	0.241
ˈei̯	ˈɛ	0.237
ˈi	ˈaɪ̯	0.235
d	ð	0.228
ˈiə̯	-	0.224
ˈɑ	ˈɑ	0.221
h	-	0.219
ʦ	t	0.218
ˈɑ	ˈɛə̯	0.198
ˈɛ	ˈɑ	0.188
ˈɑː	ˈɛ	0.187
ˈo	ˈɑ	0.183
f	v	0.175
ˈiə̯	ˈɪ	0.172
ˈuə̯	ˈaʊ̯	0.165
ˈɑ	ˈæ	0.162
ˈɛ	ˈɪ	0.159
ʦ	ʔ	0.148
ˈiː	ˈɪ	0.146
ˈo	ˈʊ	0.137
r	ˈɔ_ɹ	0.122
ˈuː	-	0.118
ɡ	j	0.113
t	ʔ	0.08
ˈɑ	-	0.079
ˈi	ˈi	0.074
r	ˈi	0.073
w	-	0.068
ˈɑ	ˈɔ	0.063
ə	ə	0.054
