Yiddish	Old Norse	probability
a	ɑ	1.0
b	b	0.662
b	v	0.262
b	-	0.051
d	θ	0.406
d	d	0.319
d	ð	0.182
d	-	0.093
f	f	0.592
f	p	0.206
f	v	0.082
f	kʰ	0.055
h	h	0.89
h	ç	0.11
j	-	0.678
j	ˈɑː	0.322
k	kʰ	0.459
k	ɣ	0.101
k	kː	0.098
k	k	0.064
k	ɟː	0.058
k	ɡ	0.058
k	ɡː	0.058
l	l	0.878
l	lː	0.087
m	m	0.893
m	v	0.078
n	n	0.376
n	ɑ	0.235
n	-	0.215
n	nː	0.115
p	p	0.752
p	v	0.248
s	t	0.909
s	s	0.091
t	ð	0.423
t	d	0.298
t	-	0.095
t	t	0.092
v	v	0.613
v	-	0.221
v	x	0.166
z	s	0.818
z	sː	0.111
ŋ	ŋ	0.979
ə	i	0.397
ə	-	0.228
ə	ɑ	0.209
ə	a	0.085
ə	rː	0.065
ɛ	-	0.527
ɛ	i	0.473
ɡ	ɡ	0.482
ɡ	ɣ	0.302
ɡ	ɟ	0.155
ɪ	u	0.5
ɪ	ɑ	0.5
ʀ	r	0.875
ʃ	s	0.963
ʎ	j	1.0
ʦ	tʰ	0.554
ʦ	t	0.326
ʦ	tː	0.12
ʧ	c	1.0
ˈa	ˈɑ	0.582
ˈa	ˈa	0.133
ˈa	ˈɑː	0.094
ˈa	ˈu	0.057
ˈa	ˈɛ	0.05
ˈaɪ̯	ˈiː	0.562
ˈaɪ̯	ˈyː	0.192
ˈaɪ̯	ˈɛ	0.111
ˈaɪ̯	ˈe	0.057
ˈi	ˈy	1.0
ˈɔ	ˈɑː	0.215
ˈɔ	ˈɑ	0.215
ˈɔ	ˈu	0.104
ˈɔ	ˈy	0.091
ˈɔ	-	0.073
ˈɔ	ˈo	0.069
ˈɔ	ˈɔ	0.054
ˈɔ	ˈe	0.053
ˈɔɪ̯	ˈuː	0.27
ˈɔɪ̯	ˈɑu̯	0.202
ˈɔɪ̯	ˈøy̯	0.158
ˈɔɪ̯	ˈɑ	0.08
ˈɔɪ̯	ˈo	0.072
ˈɔɪ̯	ˈɒu̯	0.063
ˈɔɪ̯	ˈu	0.062
ˈɛ	ˈe	0.235
ˈɛ	j	0.232
ˈɛ	ˈɛ	0.126
ˈɛ	ˈo	0.083
ˈɛ	ˈu	0.077
ˈɛ	ˈiː	0.06
ˈɛ	ˈøy̯	0.051
ˈɛɪ̯	ˈɛi̯	0.782
ˈɛɪ̯	ŋ	0.128
ˈɪ	ˈi	0.334
ˈɪ	j	0.153
ˈɪ	ˈy	0.099
ˈɪ	ˈøː	0.088
ˈɪ	ˈeː	0.082
ˈɪ	ˈe	0.065
ˈɪ	ˈu	0.053
ˈɪ	ˈyː	0.051
ˈʊ	ˈu	0.488
ˈʊ	ˈoː	0.174
ˈʊ	ˈo	0.132
ˈʊ	ˈɔː	0.093
χ	k	0.471
χ	tː	0.343
χ	s	0.078
