Romagnol	Romagnol	probability
θ_#>	w_#>	1.0
θ	s	1.0
ˈʌ̃_#>	ˈa_#>	1.0
ˈʌ̃	ˈa	1.0
ˈɛ̃	ˈe	1.0
ˈɛə̯_t	ˈi_t	1.0
ˈɔə̯	ˈɔ	1.0
ˈou̯_z	ˈɛ_w	1.0
ˈi_#>	ˈi_#>	1.0
ˈeə̯_r	ˈa_r	1.0
ˈeə̯_l	ˈa_l	1.0
ˈe	ˈɛ	1.0
ˈaː	ˈa	1.0
ˈa	ˈa	1.0
ɲ	ɲ	1.0
ɡ_ɐ	ɣ_ə	1.0
ɡ_#>	k_#>	1.0
ɐ_v	ə_β	1.0
ɐ_r	ɾ_ə	1.0
ɐ_l	ə_l	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
v_ɐ	w	1.0
v_#>	#>	1.0
u	u	1.0
t_m	mː	1.0
r_ˈʌ̃	ɾ_ˈa	1.0
r_ˈɛ	ɾ_ˈɛ	1.0
r_#>	#>	1.0
n_t_#>	n_#>	1.0
m	m	1.0
l_ˈɛ	ʎ_ˈe	1.0
l_#>	l_#>	1.0
k_r	k_ɾ	1.0
j̃	-	1.0
j_ˈɔə̯	ˈi	1.0
i_#>	ə_s_#>	1.0
f	f	1.0
e	ˈe_j	1.0
d_ˈɛ	d_ˈi	1.0
d_ɐ	ə	1.0
d_#>	t_#>	1.0
b_ɐ	β_ə	1.0
a	ə	1.0
<#_ˈɔə̯	<#_ˈɔ	1.0
<#_ɐ	<#_ə	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_d	<#_d	1.0
<#	<#_ə	1.0
p	p	0.939
k	k	0.929
ɐ	ə	0.91
s	s	0.897
ˈeə̯	ˈa	0.833
ɡ	ɡ	0.833
ˈeə̯_#>	ˈa_#>	0.818
n	n	0.818
l	ʎ	0.795
t	t	0.788
b	b	0.778
ˈɛə̯	ˈe	0.75
ˈeː	ˈɛ	0.75
ʧ	ʎ	0.75
ˈi	ˈi	0.667
ˈẽ	ˈi	0.667
ð	ʒ	0.667
ˈu	ˈu	0.625
ʤ	ɡ_l	0.6
ˈou̯	ˈo	0.583
d	-	0.545
ˈõũ̯_#>	ˈo_#>	0.5
ˈõũ̯_#>	#>	0.5
v	b	0.5
r	r	0.5
i	ə	0.5
i	i	0.5
ˈɔ	ˈɔ	0.462
ˈɛ	ˈɛ	0.458
d	ð	0.455
r	ɾ	0.447
#>	ə_#>	0.444
j	l	0.438
ˈo	ˈu	0.435
ˈou̯	ˈɔ	0.417
ʤ	ʒ	0.4
ˈɔ	ˈu	0.385
ˈu	ˈɔ	0.375
z	s	0.375
z	-	0.375
ˈo	ˈo	0.348
ˈẽ	ˈe	0.333
#>	s_#>	0.333
v	w	0.278
ˈɛə̯	ˈɛ	0.25
ˈɛ	ˈe	0.25
ˈeː	ˈe	0.25
ʧ	k_l	0.25
z	w	0.25
j	-	0.25
ˈi	ˈɛ	0.222
v	β	0.222
ˈo	ˈɔ	0.217
l	l	0.205
ˈeə̯_#>	#>	0.182
ˈɛ	ˈi	0.167
ˈeə̯	ˈa_l	0.167
ɡ	ɣ	0.167
ð	ʧ	0.167
ð	-	0.167
ˈɔ	ˈo	0.154
ˈɛ	ə	0.125
j	ʎ	0.125
j	z	0.125
t	j_t	0.121
n	-	0.114
ˈi	-	0.111
b	b_ˈɔ	0.111
b	-	0.111
#>	w_#>	0.111
#>	t_#>	0.111
s	ʃ	0.103
t	-	0.091
k	-	0.071
n	ɲ	0.068
j	ʎː	0.062
p	-	0.061
r	ɾ_ə	0.053
ɐ	-	0.051
