Piedmontese	Western Lombard	probability
b	b	1.0
f	f	1.0
k	k	1.0
p	p	1.0
ə	e	1.0
ɲ	ɲ	1.0
ʧ	ʧ	1.0
e	e_r	0.051
i	ĩ	0.221
i	i	0.341
j	j	0.561
m	m	0.971
ˈu	ˈũ	0.101
j	-	0.192
t	t	0.932
u	-	0.122
ɡ	ɡ	0.632
ˈe	ˈeː	0.262
ˈe	ˈa	0.442
ˈø	ˈœ	0.162
ˈɔ	ˈu	0.132
ˈɛ	ˈeː	0.062
d	d	0.923
e	e	0.863
i	ɛ	0.133
w	-	0.323
ˈa	ˈa	0.453
ˈe	-	0.063
ˈi	ˈi	0.363
v	v	0.894
z	s	0.724
ŋ	-	0.094
ʤ	ʤ	0.504
ˈi	ˈiː	0.514
ˈø	ˈɔ	0.064
ˈɛ	ˈe	0.054
ˈɛ	ˈɛ	0.884
a	-	0.05
a	a	0.95
e	ˈi	0.085
i	-	0.145
j	ʧ	0.185
s	s	0.865
ˈi	ˈĩ	0.085
ˈu	-	0.075
ˈy	ˈy	0.115
ˈø	ˈøː	0.565
i	e	0.16
s	ʧ	0.116
v	f	0.106
z	z	0.216
ŋ	n	0.906
d	t	0.077
w	w	0.677
ʤ	ʒ	0.457
ˈa	ˈɑː	0.547
ˈu	ˈuː	0.317
ˈu	ˈu	0.507
l	l	0.978
u	u	0.878
ɡ	k	0.368
n	n	0.959
r	r	0.979
ˈe	ˈɑː	0.069
ˈe	ˈɛ	0.139
ˈy	ˈyː	0.849
ˈø	ˈøː_k	0.209
ˈɔ	ˈoː	0.079
ˈɔ	ˈɔ	0.79
