Faroese	Proto-Germanic	probability
a	ɑ_n	0.34
a	j	0.178
a	ɔ̃ː	0.167
a	ɔːː	0.145
a	ɑ	0.056
b̥	b	1.0
d̥	d	0.961
d̥	ð	0.047
f	ɸ	0.967
f	x	0.037
f	-	0.034
h	x	0.956
h	-	0.042
h	k	0.033
j	ˈe	0.317
j	ð	0.205
j	-	0.152
j	l	0.152
j	ɣ	0.115
k	k	0.625
k	k_s	0.258
k	x	0.082
kʰ	k	0.52
kʰ	xʷ	0.37
kʰ	kʷ	0.093
l	l	0.738
l	ɑ_l	0.085
l	l_ɔː	0.079
l	-	0.033
l	l_ɑ	0.033
l̥	l	1.0
m	m	0.97
m	mː	0.04
n	n	0.89
n	m	0.057
n	ð	0.035
n	-	0.032
nː	nː	0.437
nː	n_θ	0.356
nː	ɑ̃	0.121
nː	n	0.068
n̥	n_ɑ̃	0.513
n̥	n	0.218
n̥	n_ɑ	0.084
n̥	-	0.075
n̥	ɔː	0.067
p	p	1.0
r	ˈi	1.0
s	s	0.973
sː	s	0.429
sː	sː	0.052
t	t	0.629
t	r	0.142
t	-	0.11
t	t_ɑ̃	0.066
t	ð	0.043
t_l̥	lː	1.0
tʰ	θ	0.447
tʰ	t	0.426
tʰ	d	0.12
tː	β	0.871
tː	pː	0.052
v	w	0.336
v	β	0.216
v	-	0.191
v	ɸ	0.102
v	ɣ	0.057
w	ð	0.359
w	-	0.162
w	ɑ̃	0.102
w	ɔ̃ː	0.099
w	ɔːː	0.074
ŋ	ŋ	0.681
ŋ	n	0.133
ŋ	-	0.116
ŋ	n_x	0.062
ə	ɔːː	1.0
ɛ	ɑ	1.0
ɡ̊	ɣ	0.463
ɡ̊	ɡ	0.223
ɡ̊	-	0.158
ɡ̊	ɡ_r	0.061
ɡ̊	x	0.034
ɡ̊_f	z	1.0
ɪ	ɛː	0.286
ɪ	i	0.241
ɪ	iː	0.108
ɪ	u	0.094
ɪ	-	0.072
ɲ	ŋ	0.493
ɹ	z	0.57
ɹ	r	0.305
ɹ	-	0.04
ɹ	r_ɑ̃	0.031
ɹ	r_i	0.029
ɹ_a	r	0.243
ɹ_ʊ	r	1.0
ɹː	k	0.415
ɹː	r	0.205
ɹː	ˈɑu̯	0.205
ʃ	s_k	0.432
ʃ	s	0.32
ʃ	-	0.165
ʈ	t	1.0
ʊ	ɑ	0.625
ʊ	i	0.119
ʊ	u	0.099
ʊ	-	0.07
ʊ	u_n	0.031
ʊ_ɹ	ɑ̃	0.869
ʊ_ɹ	r	0.114
ʊ̯ˈiː	ˈiː	0.243
ʎ	l	1.0
ʤ̊	ɣ	0.351
ʤ̊	-	0.186
ʤ̊	d	0.109
ʤ̊	j	0.095
ʤ̊	x	0.077
ʧ	ɣ	0.493
ʧʰ	k	0.394
ʧʰ	xʷ	0.292
ʧʰ	θ	0.292
ʧː	w	0.493
ʰk	k	0.66
ʰk	kː	0.16
ʰkː	ŋ_k	0.561
ʰkː	k	0.425
ʰp	p	1.0
ʰt	t	1.0
ʰtː	x_t	1.0
ʰʧ	kʷ	0.493
ˈa	ˈɑ	0.835
ˈa	j	0.058
ˈa	ˈĩː	0.058
ˈa	-	0.051
ˈai̯	ˈɑi̯	1.0
ˈaːi̯	ˈɑi̯	1.0
ˈeə̯	ˈɑ	1.0
ˈeː	ˈe	0.54
ˈeː	ˈɑ	0.224
ˈeː	ˈi	0.111
ˈeː	ˈeː	0.078
ˈiː	ˈi	0.598
ˈiː	ˈu	0.296
ˈiː	ˈɑ	0.08
ˈoː	ˈɛː	0.33
ˈoː	ˈe	0.283
ˈoː	ˈu	0.187
ˈuː	ˈu	0.533
ˈuː	ˈe	0.142
ˈuː	ˈeu̯	0.142
ˈuː	ˈɑi̯	0.093
ˈøː	ˈɔː	0.426
ˈøː	ˈɑ	0.226
ˈøː	-	0.149
ˈøː	ˈe	0.143
ˈœ	ˈu	0.185
ˈœ	-	0.161
ˈœ	w	0.107
ˈœ	ˈeu̯	0.107
ˈœ	ˈɑu̯	0.107
ˈɔ	ˈu	0.412
ˈɔ	ˈɑ	0.361
ˈɔ	ˈu_n	0.146
ˈɔ	ˈɛː	0.056
ˈɔːi̯	ˈɑu̯	1.0
ˈɔːu̯	ˈɔː	0.548
ˈɔːu̯	ˈeu̯	0.223
ˈɔːu̯	ˈeu̯_x	0.143
ˈɔːu̯	ˈe	0.072
ˈɔ̯aː	ˈɛː	0.344
ˈɔ̯aː	ˈɑ_x	0.172
ˈɔ̯aː	ˈɑi̯	0.168
ˈɔ̯aː	ˈɑu̯	0.146
ˈɔ̯aː	ˈɑ	0.127
ˈɛ	ˈɑ	0.483
ˈɛ	ˈɑi̯	0.175
ˈɛ	ˈi	0.158
ˈɛ	ˈe	0.158
ˈɛːa̯	ˈɑ	0.621
ˈɛːa̯	ˈe_w	0.108
ˈɛːa̯	ˈe	0.072
ˈɛːa̯	ˈiː	0.072
ˈɛːa̯	-	0.061
ˈɛːi̯	ˈɑu̯	0.895
ˈɛːi̯	ˈɑi̯	0.096
ˈɪ	ˈi	0.56
ˈɪ	ˈu	0.195
ˈɪ	ˈuː	0.144
ˈɪ	w	0.057
ˈɪ	ˈe	0.047
ˈʉːu̯	ˈuː	0.875
ˈʉːu̯	ˈeu̯	0.108
ˈʊ	ˈu	0.737
ˈʊ	ˈe	0.124
ˈʊ	ˈuː	0.057
ˈʊ	r	0.05
ˈʊ	ˈiu̯	0.043
ˈʊ_t	ˈu	1.0
ˈʊ̯iː	ˈiː	0.459
ˈʊ̯iː	ˈi	0.097
