Limburgish	Limburgish	probability
β	v	1.0
ˈʏː	-	1.0
ˈʊ	ˈʊ	1.0
ˈœ_k	ˈɛː_x	1.0
ˈœ	-	1.0
ˈæ	-	1.0
ˈyː	-	1.0
ˈu	ˈoː	1.0
ˈi_#>	ˈeː_#>	1.0
ˈeː_ʀ	ˈɛɪ̯	1.0
ʃ	s_k	1.0
ʀ_t	t	1.0
ɪ	-	1.0
ɡ	-	1.0
ə_ʀ	r	1.0
ə_v̥	v_ə	1.0
ə_m	m	1.0
ə_k	k	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
w	l	1.0
v̥_#>	f_#>	1.0
t	t	1.0
s_l	s_l	1.0
p	p	1.0
m	m	1.0
l_ə	l	1.0
l	l	1.0
j_ə	d_ə	1.0
i	i	1.0
d̥	d	1.0
d_ʀ	d_r	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_ɣ	<#_j	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#	<#_ˈa	1.0
n	n	0.951
ʀ	r	0.925
z	s	0.917
ɦ	h	0.913
ɣ	ɣ	0.857
ŋ	ŋ	0.846
k	k	0.828
#>	ə_#>	0.821
v	f	0.786
ɣ̊	x	0.778
x	x_t	0.778
ˈɪ	-	0.75
ˈɛːi̯	-	0.75
ˈuː	ˈuː	0.7
<#_d	<#_d	0.636
ˈɑː	ˈoːu̯	0.6
ˈœi̯	-	0.6
ˈæː	ˈɛ	0.6
ˈiː	ˈi	0.6
ə	ə	0.594
ˈɪː	ˈɪ	0.583
ˈoː	ˈuː	0.571
ˈøː	ˈɛɪ̯	0.556
d	d	0.556
ˈʊː_ʀ	ˈoːu̯_d	0.5
ˈʊː_ʀ	ˈoːu̯	0.5
ˈɛː	ˈeː	0.5
ˈɔː	ˈoː	0.5
ˈɔu̯	ˈuː	0.5
ˈɔu̯	-	0.5
ˈeː_v	ˈiːu̯	0.5
ˈeː_v	ˈeːu̯	0.5
v̥	x	0.5
v̥	v	0.5
d	-	0.444
ˈɛ	ˈiː	0.429
ˈoː	ˈoːu̯	0.429
ˈi	ˈoː	0.429
ˈɑː	-	0.4
ˈœi̯	ˈuː	0.4
ˈæː	ˈiː	0.4
ˈiː	ˈiː	0.4
s	s	0.391
ˈʊː	ˈʊ	0.368
ˈaː	ˈɔː	0.368
ˈɔ	ˈɔ	0.364
<#_d	<#_t	0.364
ˈøː	ˈuː	0.333
j	-	0.333
ˈeː	j_ˈoː	0.318
ˈaː	-	0.316
s	s_k	0.304
ˈɛ	ˈɪ	0.286
ˈɛ	-	0.286
ˈi	ˈɪ	0.286
ˈi	ˈɛɪ̯	0.286
ˈɔ	-	0.273
ˈʊː	ˈoːu̯	0.263
ˈɪː	ˈiː	0.25
ˈɪ	ˈa	0.25
ˈɛːi̯	ˈɔːɪ̯	0.25
ˈɔː	ˈoːu̯	0.25
ˈɔː	-	0.25
ˈɒː	ˈɛɪ̯	0.25
ˈɒː	ˈoː	0.25
ˈɑ	ˈɔː	0.231
ˈɑ	ˈaː	0.231
ˈɑ	ˈa	0.231
ˈeː	ˈi	0.227
ˈeː	-	0.227
ɣ̊	ɣ	0.222
x	x	0.222
j	ə	0.222
j	l	0.222
j	d_ə	0.222
s	s_t	0.217
ˈʊː	-	0.211
ˈuː	-	0.2
ˈɛː	ˈiː	0.188
ˈɛː	-	0.188
ˈɔ	ˈʊ	0.182
ˈɔ	ˈoːu̯	0.182
ˈɪː	-	0.167
ˈɒː	ˈɔː	0.167
ˈɒː	ˈoːu̯	0.167
ˈɒː	ˈiː	0.167
ˈʊː	ˈuː	0.158
ˈɑ	ˈɛ	0.154
ˈɑ	-	0.154
ŋ	-	0.154
ɣ	ɡ	0.143
ˈeː	ˈeː	0.136
ˈɛː	ˈaː	0.125
ə	ə_n	0.125
ˈøː	ˈœː	0.111
ˈaː	ˈɔ	0.105
ˈaː	ˈoːu̯	0.105
ˈaː	ˈoː_l	0.105
k	-	0.103
ˈuː	ˈøː	0.1
ə	j_ə	0.094
ˈeː	j	0.091
ɦ	h_ˈeː	0.087
s	k	0.087
z	s_j	0.083
#>	s_#>	0.077
v	ɣ	0.071
v	f_ˈɔː	0.071
v	-	0.071
k	ɣ	0.069
ə	ɪ	0.062
#>	x_#>	0.051
#>	d_#>	0.051
