Dalmatian	Nuorese	probability
<#	<#_i	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_j	<#	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_t	<#_t	1.0
<#_v	<#_b	1.0
<#_ʧ	<#_k	1.0
a_#>	a_#>	1.0
a_r	a_ɾ	1.0
a_t	a_t	1.0
b	b	1.0
d	ð_i	1.0
e_#>	ă_#>	1.0
e_d	ð	1.0
i	e	1.0
i_#>	ɔ_z	1.0
k_l	k_ɾ	1.0
l_#>	ɖː_u	1.0
n_t	n_t	1.0
p_#>	z_ŭ	1.0
r_n	r	1.0
s_t	s_t	1.0
t	t	1.0
w_ˈɔ	ˈa	1.0
ŋ	-	1.0
ŋ_ɡ	ŋ_ɡ	1.0
ʎ	ʣ	1.0
ˈa_l	ˈi_s	1.0
ˈa_r	ɛ_ɾ	1.0
ˈa_ŋ_ɡ	m	1.0
ˈe_ʎ	ˈi_ʣ	1.0
ˈu_f	ˈo_β	1.0
ˈu_n	ˈɔ_n	1.0
ˈu_r	ˈa_ɾ	1.0
ˈu_ŋ	ˈa_n	1.0
l	ɖː	0.091
ˈa	ˈa	0.211
ˈe	ˈi	0.571
#>	ɛ_#>	0.492
p	p	0.222
p	s_p	0.222
p	-	0.222
s	s_i	0.222
s	z	0.222
ŋ_#>	n_ɛ	0.2
ˈa	-	0.632
ˈo_j	ˈɔ_j	0.222
ˈu	ˈɔ	0.312
<#_s	<#_s	0.733
k	m	0.083
o	o	0.263
p	k	0.333
v	β_ɛ	0.333
w	ˈa	0.333
w_ˈa	ˈo	0.263
ˈo	ˈo	0.3
<#_r	<#_r	0.4
a	a	0.714
j	j	0.4
j_ˈa	ˈɛ	0.4
ˈa_w	ˈu	0.4
e	ˈɛ	0.25
e	ɛ	0.25
e	-	0.5
j_ˈa	ˈi	0.15
j_ˈa	ˈe	0.45
l	ɾ	0.5
m	m_i	0.25
m	m	0.75
n	nː	0.235
o	ˈɔ	0.105
o	ɔ	0.105
r	r	0.095
w	ˈu	0.25
w	-	0.25
ˈa_j	ˈɛ	0.25
ˈa_j	ˈi	0.75
ˈi	ˈe	0.25
ˈi	ˈɛ	0.75
ˈu	ˈu	0.125
ˈu	ˈa	0.375
<#_r	<#_ɾ	0.6
a	-	0.286
j	-	0.6
o	-	0.526
s	s	0.556
ˈa_w	ˈɔ	0.6
#>	a_#>	0.057
#>	u_#>	0.377
<#_s	<#_i	0.267
k	k	0.917
n	n	0.647
r	ɾ	0.857
v	β	0.667
w	ˈo	0.167
ˈo	ˈu	0.7
n	-	0.118
w_ˈa	ˈɔ	0.368
w_ˈa	ˈa	0.368
ŋ_#>	n_u	0.8
ˈa	ˈi	0.158
ˈo_j	ˈu	0.778
ˈu	ˈo	0.188
l	l	0.409
ˈe	ˈe	0.429
