Provençal	Provençal	probability
ˈɔ	-	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈe_ʀ	ɾ_t	1.0
ˈe_#>	u_#>	1.0
ˈã	ˈa	1.0
ʧ	t	1.0
ʀ_k	ɾ_k	1.0
ɾ_e	ɾ_u	1.0
ɥ_ˈe	ˈɔ	1.0
ɥ	-	1.0
ŋ_k	m_ɛ	1.0
ŋ_d	nː	1.0
y	u	1.0
w_ˈẽ	ˈo	1.0
w_t	j	1.0
ũ	ɔ	1.0
t	t	1.0
s_#>	k_ɛ_#>	1.0
p_l	p_ɾ	1.0
p	p	1.0
m	m	1.0
k_l	k_ɾ	1.0
k	k	1.0
j_ɾ	t_ɾ	1.0
j_ɔ	ʣ_a	1.0
j_s	s	1.0
j_#>	#>	1.0
ĩ	i	1.0
i	-	1.0
f	f	1.0
d_ɔ	t_a	1.0
ã	a	1.0
a_ɾ	a_ɾ	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_i	1.0
<#	<#_i	1.0
ɔ	a	0.918
<#_k	<#_k	0.889
ˈy	ˈu	0.833
n	n	0.812
v	b	0.783
ˈi	ˈi	0.731
b	b	0.727
ˈu	ˈu	0.64
ˈẽ	ˈe	0.6
ɾ	ɾ	0.6
<#_ʀ	<#	0.6
l	l	0.588
w_ˈe	ˈo	0.562
ʤ	-	0.538
s	s	0.538
ˈũ	ˈu	0.5
ʀ	ɾ	0.5
ɲ	n_ʣ	0.5
ɡ	ɡ	0.5
z	k	0.5
z	-	0.5
d	d	0.5
ˈɛ	ˈɛ	0.483
ˈa	ˈa	0.481
#>	u_#>	0.48
ˈe	ˈi	0.467
ʤ	ɡ	0.462
w_ˈe	ˈɔ	0.438
e	ɛ	0.417
ˈẽ	ˈɛ	0.4
<#_ʀ	<#_ɾ	0.4
ˈɛ	ˈe	0.379
ɡ	-	0.375
ʀ	r	0.364
u	ɔ	0.357
#>	ɛ_#>	0.337
ɲ	nː	0.333
ˈũ	ˈɔ	0.3
d	t	0.3
ŋ	n_u	0.282
ˈu	ˈɔ	0.28
ˈa	ˈa_ɾ	0.269
ˈe	ˈɛ	0.267
s	k	0.256
j	-	0.241
l	-	0.235
v	β	0.217
u	ˈɔ	0.214
u	u	0.214
u	-	0.214
e	i	0.208
ŋ	n_t	0.205
ˈũ	-	0.2
ˈi	ɛ	0.192
n	nː	0.188
b	p	0.182
w	l_u	0.179
l	ɾ	0.176
j	ˈe	0.172
j	k_ɾ	0.172
ɾ	ɛ_ɾ	0.171
ˈy	ˈu_t	0.167
ɲ	ɲ	0.167
ŋ	n_ɛ	0.154
ŋ	n	0.154
j	u	0.138
ʀ	-	0.136
ˈe	-	0.133
s	z	0.128
ɡ	s	0.125
e	a	0.125
#>	ɾ_ɛ_#>	0.112
<#_k	<#	0.111
e	ɔ̆	0.104
ŋ	ŋ	0.103
ŋ	nː	0.103
w	β_ɛ	0.103
w	ɛ	0.103
w	ɖː_u	0.103
w	u	0.103
w	-	0.103
d	n	0.1
d	-	0.1
ˈa	ˈa_t	0.096
b	-	0.091
ɔ	-	0.082
ˈu	ˈo	0.08
ˈi	i	0.077
w	ˈɔ	0.077
w	ɾ	0.077
s	ʦ	0.077
ˈɛ	ˈɛ_ð	0.069
ˈɛ	-	0.069
j	ɣ_ɛ	0.069
j	ɛ	0.069
j	s	0.069
j	k	0.069
ˈe	ˈo	0.067
ˈe	s_i	0.067
e	e	0.062
ˈa	ɾ_ˈa	0.058
ˈa	-	0.058
ɾ	ɔ_ɾ	0.057
ɾ	z	0.057
ɾ	r	0.057
ɾ	-	0.057
w	β	0.051
w	ˈo	0.051
w	o	0.051
