Elfdalian	Ripuarian	probability
ˈʉːə̯_ɣ	j	1.0
ˈɪ̃ː	ˈiː_ɐ	1.0
ˈɛ_tː	e	1.0
ˈœ	ˈɛ	1.0
ˈæː	-	1.0
ˈyːœ̯	ˈøː	1.0
ˈyœ̯	-	1.0
ˈoː	-	1.0
ʥː	k	1.0
ʥ	j	1.0
ʏ	ˈʏ_v	1.0
ʉ	-	1.0
ɽ	l	1.0
ɪ	-	1.0
ɡː	-	1.0
ɡ	j	1.0
ɛ_ɽ	ɫ	1.0
ɛ_r	ɐ	1.0
ɛ_n	ə	1.0
ɛ	-	1.0
ɔ̃	ŋ	1.0
ɑ̃	ˈøː_s	1.0
ɑ	ə	1.0
ŋ_ɡ	ŋ	1.0
w_ˈɛː	ʋ	1.0
sː	n_z̥	1.0
s_ʨ	ʃ	1.0
s_k	ʃ	1.0
s_j	z	1.0
rː	ˈyː_ɕ	1.0
r_ɑ	ɐ	1.0
r_t	ʦ	1.0
r_d	d̥	1.0
pː	p	1.0
p	p	1.0
n_d	ŋ	1.0
mː	m	1.0
m	m	1.0
l̥	ʃ_l	1.0
lː	ɫ	1.0
l	ɫ	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
j_ˈʉːə̯	ˈeː	1.0
f	f	1.0
d_j	d	1.0
b	b	1.0
a	ə	1.0
w	ʋ	0.881
r	ʀ	0.825
n	n	0.769
nː	n	0.743
d	d	0.724
ˈæ	ˈɛ	0.719
ˈɑːu̯	ˈuː	0.717
ˈʉː	-	0.715
ˈœː	-	0.715
t	s	0.712
ɔ	ə	0.703
ŋ	ŋ	0.703
ˈɑː	ˈaː	0.684
ˈɪ	ˈe	0.659
ʨ	k	0.651
ˈo	ˈe	0.637
tʰ	d	0.633
ˈʉ	ˈo	0.604
ˈɔː	ˈɔː	0.604
ˈiːe̯	ˈeː	0.604
ˈʏ	ˈœ	0.6
ˈɔ	ˈa	0.6
ˈɑːi̯	-	0.517
ɣ	ɕ	0.516
k	ɕ	0.501
ˈɔ̃ː	n	0.5
ˈɔ̃ː	-	0.5
s	z	0.492
ˈɑːi̯	ˈiː	0.483
ˈɑ	ˈa	0.482
ˈʏː	ˈyː	0.462
ð	d̥	0.461
ˈɛ	-	0.42
ð	d	0.419
ˈʉə̯	-	0.413
ˈʏ	-	0.4
ˈɔ	-	0.4
ˈiːe̯	-	0.396
tː	t	0.393
j	-	0.376
tʰ	ʦ	0.367
ˈʉə̯	ˈoː	0.364
ˈo	ˈa	0.363
ˈʉːə̯	ˈeː	0.361
ˈʏː	-	0.358
v	-	0.353
ʨ	-	0.349
tː	-	0.337
ˈɪː	-	0.328
ˈɪː	ˈe	0.325
s	ʃ	0.321
ˈɑː	ˈa	0.316
ˈɑ	ˈaː	0.31
ɣ	-	0.301
ɔ	-	0.297
ŋ	-	0.297
ˈʉːə̯	ˈoː	0.29
t	t	0.288
ˈʉː	ˈoː	0.285
ˈœː	ˈuː	0.285
ˈɑːu̯	-	0.283
ˈæ	ˈɛː	0.281
tː	ɕ	0.27
k	x	0.267
nː	ŋ	0.257
k	k	0.232
n	ŋ	0.231
ˈɔː	-	0.227
j	ˈiː	0.224
j	ˈeː	0.224
ˈʉə̯	ˈʊ	0.223
ˈɛ	ˈe	0.223
ˈɛ	ˈeː	0.22
v	v̥	0.217
v	v	0.213
ˈɑ	ˈɛ	0.208
ˈʉːə̯	-	0.201
ˈɪː	ˈɪ	0.192
ˈɪ	ˈɪ	0.191
s	-	0.187
ɣ	ɣ̊	0.183
ˈʏː	ˈøʏ̯	0.18
ˈʉ	ˈœ	0.178
j	ˈɛ	0.176
ˈɔː	ˈa_ɫ	0.169
d	d̥	0.157
ˈɪː	ˈeː	0.155
ˈʉːə̯	ɫ	0.148
ˈɛ	ˈy	0.138
r	ɐ	0.136
ð	-	0.12
w	-	0.119
d	ɡ̊	0.118
ˈɪ	-	0.116
v	f	0.11
ˈʉ	ˈɔ	0.109
ˈʉ	-	0.109
v	ə_f	0.107
