Scots	Eastphalian	probability
b	b	1.0
e	ɪ	1.0
l	l	1.0
m	m	1.0
pʰ	p	1.0
x	x	1.0
z	z	1.0
ŋ	ŋ	1.0
ɛ	n	1.0
ʃ	ʃ	1.0
ʍ	v	1.0
ʤ	k	1.0
ʧ	k	1.0
ˈaː	ˈɛ	1.0
ˈaːɪ̯	ˈiː	1.0
ˈøː	ˈaʊ̯	1.0
ˈɛː	ˈɛː	1.0
ə	ɐ	0.761
ˈi	ˈɒː	0.1
ˈiː	ˈyː	0.071
ˈiː	ˈiː	0.1
ˈiː	ˈeo̯	0.141
ˈø	ˈoː	0.1
ˈø	ˈaʊ̯	0.551
ˈɑː	ˈɔ	0.171
ˈʌu̯	ˈoː	0.561
i	ɒː	0.292
i	ɪ	0.532
j	ˈeː	0.092
kʰ	k	0.912
r	r	0.352
v	f	0.352
ˈaɪ̯	ˈiː	0.212
ˈeː	ˈɛː	0.132
ˈeː	ˈaː	0.132
ˈeː	ˈa	0.192
ˈiː	ɐ	0.112
ˈo	ˈoː	0.652
ˈu	ˈuː	0.642
ˈuː	ˈuː	0.572
ˈø	ˈʊ	0.12
ˈɑː	ˈa	0.72
ˈɪ	ˈɛ	0.052
ˈʌu̯	ˈɛɪ̯	0.342
j	j	0.523
r	-	0.063
tʰ	b	0.093
ð	d	0.393
ə	-	0.223
ˈa	ˈaː	0.063
ˈe	ˈeo̯	0.113
ˈi	ˈɔ	0.083
ˈo	ˈʊ	0.053
ˈoː	ˈɔ	0.753
ˈu	ˈʊ	0.173
ˈuː	ˈaʊ̯	0.133
ˈø	ˈɒː	0.063
ˈø	ˈɛː	0.083
ˈø	ˈɛɪ̯	0.083
d	d	0.624
f	f	0.954
p	b	0.194
s	z	0.404
ç	x	0.494
ˈaɪ̯	ˈøː	0.394
ˈaɪ̯	ˈɪ	0.394
ˈiː	ˈɒː	0.114
ˈiː	ˈɛɪ̯	0.394
ˈəi̯	ˈeː	0.174
d	t	0.245
h	k	0.085
h	h	0.915
n	n	0.935
r	ɐ	0.585
t	t	0.975
ˈe	ˈaɪ̯	0.065
ˈe	ˈɒː	0.205
ˈe	ˈɛɪ̯	0.515
ˈeː	ˈɒː	0.255
ˈo	ˈɔ	0.295
ˈu	w	0.185
ˈəi̯	ˈiː	0.665
ˈɛ	ˈɪ	0.075
ˈɛ	ˈɛ	0.305
θ	d	0.825
d	-	0.086
i	ə	0.176
j	ˈøː	0.246
k	k	0.986
p	p	0.806
s	ʃ	0.096
w	w	0.086
w	-	0.126
ç	ç	0.506
ˈa	ˈeː	0.096
ˈa	ˈa	0.706
ˈeː	ˈoː	0.056
ˈeː	ˈɛ	0.156
ˈi	ˈɛɪ̯	0.106
ˈi	ˈɔʏ̯	0.276
ˈoː	ˈɛː	0.06
ˈɛ	ˈa	0.196
ˈɪ	ˈɔ	0.056
ˈɪ	ˈʏ	0.096
ˈʌ	ˈʊ	0.576
tʰ	t	0.907
ð	-	0.607
ɡ	j	0.097
ɡ	ɣ	0.777
ˈi	ˈeo̯	0.097
ˈoː	ˈeo̯	0.187
ˈuː	ˈʊ	0.087
ˈɑː	ˈɛɪ̯	0.07
ˈɪ	ˈoː	0.067
ˈɪ	ˈɪ	0.507
ˈʌu̯	ˈɔ	0.097
θ	t	0.097
kʰ	-	0.088
v	v	0.648
ˈuː	ˈiː	0.208
ˈɛ	ˈeː	0.058
ˈɛ	ˈɛɪ̯	0.258
θ	-	0.078
j	-	0.139
s	s	0.499
w	v	0.789
ɡ	-	0.109
ˈi	ˈuː	0.09
ˈi	ˈøː	0.09
ˈəi̯	ˈuː	0.059
ˈʌ	ˈɒː	0.079
ˈʌ	ˈoː	0.079
ˈʌ	ˈʏ	0.219
