East Low German	English	probability
ˈɪ_ç	ˈaɪ̯_t	1.0
ˈɛː	ˈe	1.0
ˈɔʏ̯	ˈiː	1.0
ˈœː	ˈɐ	1.0
ˈyː	ˈɪ	1.0
ˈuː_æ	ˈɔː	1.0
ˈoː	ˈɛ	1.0
ˈiː_#>	ˈiː_#>	1.0
ˈeː	ˈəʊ̯	1.0
ˈaː	ˈɑː	1.0
ˈaʊ̯_x	ˈaɪ̯	1.0
ˈaʊ̯_t	ˈe_d	1.0
ˈa_l	ˈɑː	1.0
ɾ	ð	1.0
ɪ	ɪ	1.0
ɡ_l	ɫ	1.0
ŋ	ŋ	1.0
ç_#>	#>	1.0
z	s	1.0
x_t	t	1.0
x	-	1.0
w	w	1.0
v	w	1.0
tʰ	tʰ	1.0
p	p	1.0
l_ˈae̯	l	1.0
k_#>	#>	1.0
h	h	1.0
d_n	d	1.0
b_m	v	1.0
b	b	1.0
r	ɹ	0.926
m	m	0.923
f	f	0.906
t	t	0.778
s	s	0.765
ˈʏ	ˈɪ	0.75
ˈʊ	ˈɐ	0.75
æ	ə	0.75
ɡ	ɡ	0.727
n	n	0.696
k	k	0.688
ˈiː	ˈaɪ̯	0.667
ˈuː	ˈaʊ̯	0.643
d	d	0.614
ˈɛ	ˈe	0.6
ŋ_#>	#>	0.6
kʰ	kʰ	0.583
j	ɡ	0.571
l	l	0.558
ˈɪ	ˈɪ	0.542
ʃ	ʃ	0.542
ˈɔ	ˈɒ	0.5
ç	ˈaɪ̯	0.5
ç	ʤ	0.5
ˈa	ˈæ	0.474
ʃ	s	0.458
l	ɫ	0.442
j	j	0.429
ŋ_#>	ˈaɪ̯_#>	0.4
ˈae̯	ˈəʊ̯	0.389
d	θ	0.386
ˈɒː	ˈiː	0.385
ˈɒː	ˈeɪ̯	0.385
ˈiː	ˈɪ	0.333
ˈae̯	ˈiː	0.333
ˈɪ	ˈaɪ̯	0.292
ɡ	-	0.273
n	-	0.261
ˈʏ	ˈɐ	0.25
ˈʊ	ˈʊ	0.25
ˈɔ	ˈəʊ̯	0.25
ˈɔ	ˈɐ	0.25
kʰ	ʧ	0.25
ˈaʊ̯	ˈuː	0.235
ˈaʊ̯	ˈiː	0.235
ˈɒː	ˈɐ	0.231
t	d	0.222
ˈuː	ˈɐ	0.214
ˈa	ˈeɪ̯	0.211
ˈɛ	ˈɪ	0.2
ˈɛ	ˈeɪ̯	0.2
k	ʧ	0.188
ˈaʊ̯	ˈʊ	0.176
ˈae̯	ˈe	0.167
kʰ	-	0.167
ˈuː	-	0.143
k	k_ɪ	0.125
ˈaʊ̯	ˈəʊ̯	0.118
ˈaʊ̯	ˈɐ	0.118
ˈaʊ̯	ˈaʊ̯	0.118
s	z	0.118
s	k_s	0.118
ˈae̯	ˈɪ	0.111
æ	d_ə	0.107
ˈa	ˈɔː	0.105
ˈa	ˈɒ	0.105
ˈa	ˈɑː	0.105
f	v	0.094
ˈɪ	ˈəʊ̯	0.083
ˈɪ	ˈe	0.083
m	v	0.077
r	-	0.074
æ	ˈɔː	0.071
æ	ɡ_ə	0.071
