Pennsylvania German	Middle High German	probability
ˈɔ	ˈo	1.0
ˈuː	ˈuə̯	1.0
ˈaʊ̯	ˈuː	1.0
ˈa_s	ˈɑ_s̻ː	1.0
ʃ_d̥	s_t	1.0
ɾ	r	1.0
ɪ_ç	ə	1.0
ɣ	ɡ_ə	1.0
ɡ	ɡ	1.0
ə_m	m	1.0
t	t	1.0
p	p	1.0
n_s	n_s	1.0
h	h	1.0
eː	ɛ_h	1.0
l	l	0.975
m	m	0.962
b	b	0.952
ˈa	ˈɑ	0.931
ʃ	ʃ	0.854
ʦ	ʦ	0.851
n	n	0.842
ʋ	w	0.822
ˈɪ	ˈi	0.76
ˈʊ	ˈu	0.755
b̥	b̥	0.75
f	v	0.73
ə	ə_n	0.724
j	ɡ	0.703
ˈiː	ˈiə̯	0.689
x	x	0.682
ˈɛː	ˈɛ	0.634
s	s	0.634
ˈɛ	ˈɛ	0.619
ɑ	r	0.606
ˈɔː	ˈɑ	0.572
d̥	t	0.563
ˈaɪ̯	ˈiː	0.561
ç	x	0.56
d	t	0.555
k	kʰ	0.53
ɪ	ə	0.5
ˈoː	ˈɑː	0.468
ˈaː	ˈu	0.468
ɡ̊	ɡ̊	0.458
ˈeː	ˈei̯	0.437
ŋ	ŋ_ɡ	0.426
d	d	0.424
ˈoː	ˈoː	0.415
d̥	d̥	0.392
ˈaɪ̯	ˈyː	0.372
ŋ	ŋ_ɡ̊	0.368
ɡ̊	kː	0.337
ɪ	-	0.333
ɑ	ə_r	0.329
x	xː	0.318
ç	ɡ̊	0.301
ˈɔː	ˈou̯	0.3
ˈaː	ˈo_r	0.298
k	kː	0.298
j	j	0.297
s	s̻	0.294
ˈɛː	-	0.291
ˈɛ	ˈe	0.256
b̥	b_ə	0.25
f	f	0.241
ˈɪ	ˈy	0.24
ˈaː	ˈɑ_r	0.234
ˈiː	ˈyə̯	0.214
ŋ	ŋ	0.207
ɡ̊	-	0.205
ʋ	b_ə	0.178
k	k	0.171
ɪ	i	0.167
ˈʊ	ˈo	0.154
ʦ	ʦː	0.149
ˈeː	ˈeː	0.146
ʃ	s	0.146
ç	xː	0.139
ə	ə	0.129
ˈɛ	ˈy	0.125
ˈoː	-	0.118
ə	n	0.113
ˈeː	ˈøː	0.101
ˈeː	ˈɛ_h	0.1
ˈeː	ˈei̯_n	0.098
ˈiː	-	0.096
ˈɔː	ˈɑː	0.095
ˈʊ	ˈuə̯	0.091
n	nː	0.081
ˈɛː	ˈæː	0.075
s	s̻ː	0.072
ˈa	ˈo_r	0.069
ˈaɪ̯	-	0.067
ˈeː	ˈɛ	0.065
ɑ	r_ə	0.065
n	n_d	0.059
ˈeː	ˈi	0.055
