Pennsylvania German	Pennsylvania German	probability
ˈɪ_ç	ˈeː_ɡ	1.0
ˈɔɪ̯	ˈɛ_ɡː	1.0
ˈoː_d̥	ˈæʉ̯	1.0
ˈoː	ˈoː	1.0
ˈa_x	ˈɔ	1.0
ʋ_ˈɔ	ˈʉ	1.0
ʃ_ˈɪ	ʂ	1.0
ɡ̊	ɡ	1.0
ə_m	m	1.0
ɑ_#>	#>	1.0
ŋ_k	ʰkː	1.0
ç_t	ʰtː	1.0
s_#>	s_#>	1.0
p	p	1.0
n_s	sː	1.0
l_ˈiː	j_ˈʉː	1.0
j	-	1.0
h	h	1.0
f_#>	p_#>	1.0
eː	e_n	1.0
d̥_#>	#>	1.0
d̥	d	1.0
d_ɑ	ɾ	1.0
<#_ʋ	<#	1.0
<#_ɾ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
m	m	0.958
b	b	0.95
ɾ	ɾ	0.92
ŋ	ŋː	0.875
ɪ	-	0.857
l	l	0.822
ˈaʊ̯	ˈʉː	0.818
ɡ	ɡ	0.769
ˈɛː	ˈɛ	0.75
ʋ	ʋ	0.739
t	t	0.7
ʃ	s	0.69
f	f	0.68
ˈuː	ˈuː	0.667
ə	ɑ	0.667
b̥_#>	ʋ_#>	0.667
ˈa	ˈɑ	0.621
x	k	0.571
ˈʊ	ˈʉ	0.562
ʦ	tʰ	0.556
ˈeː	ˈæɪ̯	0.524
#>	n_#>	0.524
ˈɪ	ˈɪ	0.5
ˈɔː_ɑ	ˈɑ_ɾ	0.5
ˈɔː_ɑ	ˈoː_ɾ	0.5
ˈaɪ̯	ˈiː	0.5
ɣ	ɡ	0.5
ɣ	-	0.5
ç	k	0.5
d	d	0.486
ɑ	ɾ	0.474
k	kʰ	0.471
ˈɛ	ˈɛ	0.45
x	-	0.429
s	t	0.429
n	nː	0.429
ˈiː	ˈyː	0.417
ˈɔː	ˈɑː	0.4
ˈeː	-	0.381
ˈɔ	ˈʉ	0.375
ˈɔ	-	0.375
s	s	0.371
n	n	0.343
ˈiː	-	0.333
b̥_#>	#>	0.333
ˈɪ	ˈʏ	0.318
d	tʰ	0.314
ˈʊ	-	0.312
ç	ɡ	0.3
t	ʰtː	0.3
#>	ɾ_#>	0.286
ˈɔː	ˈæʉ̯	0.267
ˈɛː	ˈæ	0.25
ˈɔ	ˈɔ	0.25
ˈiː	ˈøː	0.25
ˈaː	ˈʊ_ɾ	0.25
ˈaː	ˈɔ	0.25
ˈaː	ˈɑ	0.25
ˈaː	ɾ	0.25
ə	-	0.244
k	ɡː	0.235
ɡ	j	0.231
ʦ	tː	0.222
ʦ	-	0.222
ɑ	e	0.211
ˈa	ˈɑː	0.207
ˈɛ	ˈeː	0.2
ˈɔː	-	0.2
ˈaɪ̯	ˈyː	0.2
ç	-	0.2
ˈɪ	-	0.182
ˈaʊ̯	-	0.182
l	lː	0.178
k	-	0.176
ʃ	s_k	0.172
ˈuː	ˈʉː	0.167
ˈuː	ˈøː	0.167
f	ʋ	0.16
ˈɛ	-	0.15
ˈaɪ̯	ˈɛ	0.15
ˈaɪ̯	-	0.15
ɪ	ŋ	0.143
d	-	0.143
ʃ	ʂ	0.138
ˈɔː	ˈɑ	0.133
ʋ	kʰ_ʋ	0.13
ˈʊ	ˈuː	0.125
ŋ	ɲ	0.125
f	p	0.12
k	ç	0.118
n	n_d	0.114
ɑ	ˈæː_ɾ	0.105
ɑ	ɾ_e	0.105
ɑ	ə_ɾ	0.105
ˈa	-	0.103
ˈɛ	ˈɔ	0.1
ˈɛ	j	0.1
ˈeː	ˈøː	0.095
#>	ɑ_#>	0.095
#>	nː_#>	0.095
ə	j_ɑ	0.089
ʋ	-	0.087
s	s_e	0.086
ɾ	-	0.08
ˈa	ˈɛ	0.069
s	ʰtː	0.057
s	ʂ	0.057
n	ˈoː	0.057
n	-	0.057
d	ç	0.057
