Nynorsk Norwegian	Limburgish	probability
b	b	1.0
d	d	0.564
d	t	0.313
d	-	0.121
e	-	0.52
e	ə	0.236
e	j	0.12
e	ˈɔu̯	0.08
e	ʀ	0.04
f	v	0.938
f	ˈv	0.062
h	ɦ	0.957
h	k	0.049
j	-	0.496
j	ɣ	0.356
j	ˈeː	0.072
j	ɡ	0.07
k	k	0.399
k	-	0.329
k	x	0.086
k	ʦ	0.083
k	ʃ	0.079
kʰ	k	0.526
kʰ	β	0.185
kʰ	-	0.112
kʰ	v	0.112
l	l	0.647
l	l_ə	0.136
l	ə_l	0.102
l	j	0.064
l	-	0.045
l_e	l	1.0
lː	l	0.562
lː	w	0.239
lː	j	0.155
m	m	0.779
m	ə_m	0.179
m	f	0.044
mː	m	0.492
n	n	0.683
n	-	0.311
nː	n	0.757
nː	-	0.16
nː	l	0.08
p	p	1.0
pʰ	p	0.492
s	s	0.554
s	z	0.373
s	-	0.069
s_e	s	1.0
sː	s	1.0
t	t	0.799
t	-	0.199
tʰ	d	0.618
tʰ	t	0.238
tʰ	t_β	0.112
v	β	1.0
ç	k	0.375
ç	d	0.301
ç	t	0.199
ç	-	0.083
çː	t	0.492
ŋ	ɪ	0.183
ŋ	-	0.09
ŋː	ŋ	1.0
ɑ	ə	0.796
ɑ	-	0.122
ɑ	d_ə	0.077
ə	-	0.428
ə	j	0.051
ɛ	-	0.373
ɛ	ə	0.183
ɡ	ɣ	0.452
ɡ	x	0.445
ɡ	-	0.05
ɡ	k	0.05
ɡː	k	0.461
ɡː	-	0.197
ɡː	x	0.197
ɪ	ə	0.119
ɲ	ŋ	0.242
ɾ	ʀ	0.94
ɾ	-	0.06
ʃ	s	0.384
ʃ	ʃ	0.384
ʃ	z	0.081
ʉ	-	0.242
ʋ	β	0.372
ʋ	v	0.256
ʋ	-	0.159
ʋ	f	0.138
ʋ	t	0.039
ʰkː	ŋ_k	0.629
ʰkː	k	0.361
ʰtː	x	1.0
ˈeː	ˈeː	0.529
ˈeː	ˈi	0.166
ˈeː	ə	0.109
ˈeː	ˈɛ	0.095
ˈeː	ˈɛi̯	0.076
ˈiː	ˈiː	0.455
ˈiː	ˈeː	0.274
ˈiː	ˈɛ	0.102
ˈiː	ˈɛː	0.088
ˈiː	ˈɪ	0.071
ˈoː	ˈɒː	0.477
ˈoː	ˈi	0.121
ˈoː	ˈʊː	0.095
ˈoː	ˈøː	0.092
ˈoː	j	0.07
ˈuː	ˈʊː	0.407
ˈuː	ˈøː	0.168
ˈuː	ˈoː	0.127
ˈuː	ʀ	0.084
ˈuː	ˈɔ	0.084
ˈyː	ˈeː	0.336
ˈyː	ˈœi̯	0.249
ˈyː	ˈøː	0.122
ˈyː	ˈiː	0.122
ˈyː	ˈyː	0.058
ˈæ	ˈæː	0.492
ˈæɪ̯	ˈɛː	0.715
ˈæɪ̯	ˈɛːi̯	0.154
ˈæɪ̯	ˈɛ	0.108
ˈæʉ̯	ˈu	0.484
ˈæʉ̯	ˈɔu̯	0.223
ˈæʉ̯	ˈɔː	0.207
ˈæːɪ̯	ˈɛː	0.492
ˈøː	ˈøː	0.38
ˈøː	ˈyː	0.158
ˈøː	ˈi	0.158
ˈøː	ˈeː	0.158
ˈøː	ˈɪ	0.111
ˈœ	ˈɛː	0.282
ˈœ	ˈeː	0.282
ˈœʏ̯	ˈuː	0.349
ˈœʏ̯	ˈɔː	0.197
ˈœʏ̯	ˈyː	0.121
ˈœʏ̯	ˈœi̯	0.111
ˈɑ	ˈaː	0.385
ˈɑ	ˈɑː	0.243
ˈɑ	ˈɑ	0.176
ˈɑ	ˈæː	0.072
ˈɑ	ˈæ	0.057
ˈɑː	ˈaː	0.55
ˈɑː	ˈɒː	0.132
ˈɑː	ˈɑ	0.132
ˈɑː	ˈɑː	0.063
ˈɑː	ˈœ	0.052
ˈɔ	ˈœː	0.296
ˈɔ	ˈɑ	0.181
ˈɔ	ˈʏː	0.148
ˈɔ	ˈɔ	0.107
ˈɔ	ˈæ	0.104
ˈɛ	ˈɑ	0.221
ˈɛ	ˈɛ	0.128
ˈɛ	ˈeː	0.128
ˈɛ	ˈæ	0.074
ˈɛ	ˈaː	0.074
ˈɛː	ˈeː	1.0
ˈɪ	ˈɪː	0.525
ˈɪ	ʀ	0.105
ˈɪ	ˈi	0.08
ˈɪ	ɪː	0.08
ˈɪ	ˈɪ	0.078
ˈʉ	ˈɔ	0.339
ˈʉ	ˈɔː	0.162
ˈʉ	ˈuː	0.122
ˈʉ	ˈoː	0.122
ˈʉ	ˈʊː	0.12
ˈʉː	ˈuː	0.512
ˈʉː	ˈeː	0.343
ˈʉː	ˈɔ	0.077
ˈʉː	ˈoː	0.06
ˈʊ	ˈʊː	0.467
ˈʊ	ˈæ	0.12
ˈʊ	ˈɪ	0.12
ˈʊ	ˈœi̯	0.12
ˈʊ	ˈʊ	0.089
ˈʏ	ˈʏ	0.162
ˈʏ	ˈœ	0.162
ˈʏ	ˈɪː	0.162
ˈʏ	-	0.122
ˈʏ	ˈɔ	0.122
