German	Swiss German	probability
<#	ɡ̊	1.0
<#_b	<#_b̥	1.0
<#_d	<#_d̥	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_kʰ	<#_χ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p͡f	<#_p͡f	1.0
<#_tʰ	<#_t	1.0
<#_v	<#_ʋ	1.0
<#_z	<#_s	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_ʁ	<#_r	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʦ	<#_ʦ	1.0
<#_ˈa	<#_ˈɒ	1.0
<#_ˈaɪ̯	<#_ˈæi̯	1.0
<#_ˈoː	<#_ˈoː	1.0
<#_ˈɛ	<#_ˈe	1.0
b̥	b̥_#>	1.0
d̥	d̥_#>	1.0
f	fː_#>	1.0
f_#>	f_#>	1.0
f_n	f_ə	1.0
k	ɡ̊ː_ə	1.0
k_#>	k_#>	1.0
k_s	χ_s	1.0
l	l	1.0
l_ˈuː	l_ˈuə̯	1.0
m	mː	1.0
m_#>	m_#>	1.0
m_ə	m_ə	1.0
n_#>	#>	1.0
n_d̥	ŋ_#>	1.0
n_ə	nː	1.0
n_ɪ	n_i	1.0
p	p	1.0
s_n	sː_ə	1.0
s_t	ʃ_t	1.0
t_n	t_ə	1.0
v	ʋ	1.0
x_#>	χ_#>	1.0
x_t	χ_t	1.0
z	s	1.0
z_ə	s_#>	1.0
ç_#>	ɡ̊_#>	1.0
ç_t	χ_t	1.0
ç_ə	χ_ə	1.0
ɐ_n	r_n	1.0
ɐ_t	r_t	1.0
ə_n	ə	1.0
ɡ	ɡ̊	1.0
ɡ_n	ɡ̊_ə	1.0
ɡ̊_#>	ɡ̊_#>	1.0
ɪ_ç	i_ɡ̊	1.0
ʁ	r	1.0
ʃ_#>	ʃ_#>	1.0
ʦ	ʦ	1.0
ʦ_#>	ʦ_#>	1.0
ˈa_l	ˈɒ_l	1.0
ˈa_n	ˈɒ_n	1.0
ˈa_x	ˈɒ_χ	1.0
ˈa_ɐ	ˈɒ_r	1.0
ˈoː_t	ˈoː_d̥	1.0
ˈuː_#>	ˈuə̯_#>	1.0
ˈøː	ˈøː	1.0
ˈœ	ˈø	1.0
ˈɛ_l	ˈæ_l	1.0
ˈɛː	ˈæ	1.0
ˈɪ_l	ˈi_l	1.0
ˈɪ_n	ˈi_n	1.0
ˈʊ	ˈu	1.0
ˈʊ_ɐ	ˈu_r	1.0
ˈʏ	ˈy	1.0
ˈʏ_k	ˈu_ɡ̊ː	1.0
ˈaː	ˈɒ	0.211
ˈeː	ˈæː	0.231
ˈeː	ˈæ	0.231
ˈyː	ˈyː	0.571
ˈa	ˈɒː	0.2
ˈɪ	ˈi	0.812
d	d̥	0.3
n	n	0.433
ˈa	ˈæ	0.133
ˈoː	ˈo	0.333
ˈuː	ˈyə̯	0.333
ˈɛ	ˈe	0.143
b	b̥_ə	0.714
n	ə_#>	0.4
t	tː	0.154
ç	χ	0.4
ˈaɪ̯	ˈiː	0.524
ˈaʊ̯	ˈau̯	0.4
ˈaː	ˈɒː	0.684
ˈɔ	ˈo	0.824
ˈɔʏ̯	ˈyː	0.714
k_n	k_ə	0.5
k_n	χ_ə	0.5
l_#>	lː_#>	0.25
l_#>	l_#>	0.75
s	sː_#>	0.455
ŋ	ŋ_ɡ̊	0.25
ŋ	ŋ	0.75
ɐ	ə_r	0.545
ɐ_#>	r_ə	0.105
ɐ_#>	r_#>	0.895
ˈaː	ˈoː	0.105
b	-	0.286
s	sː	0.136
ç	χ_#>	0.6
ɐ	-	0.136
ə	ə_#>	0.36
ə	-	0.56
ˈaɪ̯	ˈæi̯	0.476
ˈaʊ̯	ˈuː	0.6
ˈiː	ˈiə̯	0.286
ˈɔ	ˈu	0.176
ˈɔʏ̯	ˈøi̯	0.286
d	d̥_ə	0.7
n	n_#>	0.167
ˈa	ˈɒ	0.667
ˈiː	ˈyː	0.357
ˈiː	ˈi	0.357
ˈoː	ˈoː	0.667
ˈuː	ˈuə̯	0.667
ˈɛ	ˈæ	0.857
t	t	0.308
t	t_#>	0.538
ɐ	r	0.318
ə	i_#>	0.08
ˈeː	ˈeː	0.538
ˈɪ	ˈy	0.188
s	s_#>	0.409
ˈyː	ˈyə̯	0.429
