Catalan	Friulian	probability
d	d	1.0
r	r	1.0
z	-	1.0
ð	d	1.0
ʃ	s	1.0
ʤ	d	1.0
ʧ	s	1.0
t	t	0.921
ʒ	j	0.181
ˈe	ˈɛ	0.181
ˈu	ˈɔ	0.101
ˈɔ	w_ˈɛ	0.061
ˈɔ	ˈa_w	0.101
b	b	0.342
f	f	0.912
ŋ	ŋ_k	0.532
ə	-	0.092
ʎ	j	0.122
ʎ	l	0.762
ʒ	ʤ	0.642
ˈa	ˈaː	0.302
ˈi	ˈi_ŋ	0.072
ˈi	ˈɛ	0.082
ˈi	ˈi	0.62
ˈu	ˈuː_r	0.072
ˈɔ	w_ˈi	0.082
β	-	0.312
j	<#_z	0.063
m	m	0.883
w	w	0.333
ˈo	ˈo_ŋ	0.053
ˈɛ	ˈo	0.083
i	a	0.134
p	p	0.934
s	ʧ	0.224
u	u	0.374
u	o	0.544
ɣ	-	0.474
ɲ	ŋ	0.054
ˈi	ˈiː	0.184
ˈo	ˈoː_r	0.154
ˈɔ	w_ˈa	0.14
ˈɔ	ˈuː	0.214
ˈɛ	ˈɛ	0.064
β	v	0.634
n	n	0.665
ə	a	0.135
ɡ	-	0.125
ɡ	ɡ	0.875
ɾ	r	0.835
ˈe	ˈe	0.205
ˈo	ˈu	0.175
ˈɔ	ˈo	0.215
ˈɛ	j_ˈɛ	0.185
ˈɛ	ˈe	0.445
i	j	0.086
k	k	0.396
l	l	0.96
n	ɲ	0.106
p	f	0.066
s	s	0.686
u	-	0.06
w	-	0.416
ɣ	ɡ	0.526
ɲ	ɲ	0.906
ˈu	ˈo	0.26
ˈɛ	ˈeː	0.116
j	-	0.937
k	c	0.477
m	-	0.117
ʒ	-	0.177
ˈa	ˈa_ŋ	0.057
ˈa	ˈa	0.627
ˈɔ	ˈɔ	0.187
b	v	0.658
f	f_j	0.088
i	i	0.78
w	f	0.158
ŋ	ŋ	0.468
ə	e	0.558
ɾ	-	0.098
ʎ	l_i	0.068
ˈe	j_ˈɛ	0.278
ˈe	ˈi	0.28
ˈo	ˈo	0.518
k	-	0.089
n	n_t	0.229
s	-	0.09
w	t	0.059
ə	i	0.199
ˈo	ˈɔ	0.099
ˈu	ˈuː	0.079
ˈu	ˈu	0.449
ˈɛ	ˈiː	0.079
