Emilian	Catalan	probability
b	-	0.081
b	b	0.751
k	k	0.971
r	ɾ	0.561
z	w	0.401
ɡ	ɣ	0.31
ɡ	ɡ	0.311
ˈaː	ˈe	0.111
ˈiː	ˈe	0.191
ˈɔː	ˈɔ	0.891
ˈɛ	ˈa	0.711
a	ə	0.92
n	ɲ	0.052
p	β	0.052
r	r	0.382
s	ʃ	0.152
t	t	0.932
ð	j	0.092
ɡ	k	0.232
ˈaː	ˈɔ	0.062
ˈo	ˈo	0.052
ˈuː	ˈu	0.732
ˈæ	ˈe	0.702
ˈɔ	ˈo	0.162
ˈɛː	ˈe	0.332
ˈɛː	ˈɛ	0.562
ˈʌ	ˈɔ	0.352
d	t	0.13
d	-	0.163
j	-	0.403
l	l	0.363
s	ə_s	0.183
ð	ʒ	0.743
ŋ	-	0.293
ʧ	ʎ	0.923
ˈe	ˈi	0.793
ˈi	ˈe	0.553
ˈɔ	ˈu	0.123
ˈɛ	ˈɛ	0.093
ˈɛ	ˈe	0.153
θ	s	0.793
e	ə	0.424
f	-	0.054
i	-	0.124
i	i	0.44
l	ʎ	0.594
u	u	0.914
w	w	0.884
ŋ	ŋ	0.164
ʤ	ʒ	0.194
ˈa	ˈe	0.074
ˈe	l	0.094
ˈiː	ˈɛ	0.144
ˈʌ	-	0.104
ˈʌu̯	ˈo	0.704
θ	-	0.104
d	ʤ	0.065
e	w	0.085
e	ˈi	0.175
j	i	0.05
o	r	0.115
s	s	0.645
z	ɾ	0.175
ɲ	n	0.165
ɲ	ɲ	0.835
ʤ	ɡ	0.765
ˈa	ˈa	0.505
ˈe	ˈe	0.055
ˈʌu̯	ˈɛ	0.195
a	-	0.056
f	f	0.896
i	ə	0.436
j	j	0.076
j	l	0.296
u	ə	0.086
w	z	0.116
z	-	0.186
ŋ	n	0.496
ˈaː	ˈa	0.806
ˈiː	ˈi	0.636
ˈuː	ˈɔ	0.246
ˈɔ	ˈɔ	0.646
ˈɛː	ˈa	0.106
ˈʌ	ˈu	0.056
e	u	0.127
m	m	0.927
o	w	0.547
r	-	0.057
t	ð	0.057
v	w	0.197
v	β	0.237
ɡ	-	0.147
ʧ	k	0.077
ˈi	ˈi	0.447
d	ð	0.228
n	n	0.928
o	u	0.338
p	p	0.88
z	s	0.238
ˈa	ˈɛ	0.378
ˈo	w	0.128
ˈæ	ˈɛ	0.298
ˈʌ	ˈo	0.488
b	k	0.059
b	β	0.109
d	d	0.369
e	-	0.179
j	ʎ	0.09
v	b	0.509
ð	-	0.089
ˈo	ˈɔ	0.119
ˈo	ˈɛ	0.129
ˈo	ˈu	0.559
ˈɔ	ˈi	0.069
ˈɔː	ˈu	0.109
ˈʌu̯	ˈɔ	0.09
